domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,de-DE,Created,Created,0,Created
admin,email_outbox.col.id,,de-DE,ID,ID,0,ID
admin,email_outbox.col.last_error,,de-DE,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,de-DE,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,de-DE,Sent,Sent,0,Sent
admin,email_outbox.col.status,,de-DE,Status,Status,0,Status
admin,email_outbox.col.subject,,de-DE,Subject,Subjekt,0,Subjekt
admin,email_outbox.description,,de-DE,"Read-only transactional email delivery history.","Schreibgeschützter Verlauf der transaktionalen E-Mail-Zustellung.",0,"Schreibgeschützter Verlauf der transaktionalen E-Mail-Zustellung."
admin,email_outbox.failures.title,,de-DE,"Recent dead letters","Aktuelle unzustellbare Nachrichten",0,"Aktuelle unzustellbare Nachrichten"
admin,email_outbox.filters.apply,,de-DE,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,de-DE,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,de-DE,Search,Suchen,0,Suchen
admin,email_outbox.filters.search_placeholder,,de-DE,"Subject, message UID, or recipient email","Betreff, Nachrichten-UID oder Empfänger-E-Mail",0,"Betreff, Nachrichten-UID oder Empfänger-E-Mail"
admin,email_outbox.filters.status,,de-DE,Status,Status,0,Status
admin,email_outbox.filters.title,,de-DE,Filters,Filters,0,Filters
admin,email_outbox.list.title,,de-DE,"Recent outbox entries","Aktuelle Ausgangseinträge",0,"Aktuelle Ausgangseinträge"
admin,email_outbox.none,,de-DE,"No emails match the current filter.","Keine E-Mails entsprechen dem aktuellen Filter.",0,"Keine E-Mails entsprechen dem aktuellen Filter."
admin,email_outbox.pagination.page,,de-DE,Page,Seite,0,Seite
admin,email_outbox.status.all,,de-DE,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,de-DE,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,de-DE,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,de-DE,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,de-DE,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,de-DE,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,de-DE,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,de-DE,"Email outbox",E-Mail-Ausgang,0,E-Mail-Ausgang
admin,email_queue.dead_letter,,de-DE,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,de-DE,"No email jobs are waiting right now.","Zurzeit warten keine E-Mail-Jobs.",0,"Zurzeit warten keine E-Mail-Jobs."
admin,email_queue.last_processed,,de-DE,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,de-DE,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,de-DE,"Open email outbox","E-Mail-Ausgang öffnen",0,"E-Mail-Ausgang öffnen"
admin,email_queue.pending,,de-DE,Pending,Pending,0,Pending
