domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,en-US,Created,Created,0,Created
admin,email_outbox.col.id,,en-US,ID,ID,0,ID
admin,email_outbox.col.last_error,,en-US,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,en-US,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,en-US,Sent,Sent,0,Sent
admin,email_outbox.col.status,,en-US,Status,Status,0,Status
admin,email_outbox.col.subject,,en-US,Subject,Subject,0,Subject
admin,email_outbox.description,,en-US,"Read-only transactional email delivery history.","Read-only transactional email delivery history.",0,"Read-only transactional email delivery history."
admin,email_outbox.failures.title,,en-US,"Recent dead letters","Recent dead letters",0,"Recent dead letters"
admin,email_outbox.filters.apply,,en-US,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,en-US,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,en-US,Search,Search,0,Search
admin,email_outbox.filters.search_placeholder,,en-US,"Subject, message UID, or recipient email","Subject, message UID, or recipient email",0,"Subject, message UID, or recipient email"
admin,email_outbox.filters.status,,en-US,Status,Status,0,Status
admin,email_outbox.filters.title,,en-US,Filters,Filters,0,Filters
admin,email_outbox.list.title,,en-US,"Recent outbox entries","Recent outbox entries",0,"Recent outbox entries"
admin,email_outbox.none,,en-US,"No emails match the current filter.","No emails match the current filter.",0,"No emails match the current filter."
admin,email_outbox.pagination.page,,en-US,Page,Page,0,Page
admin,email_outbox.status.all,,en-US,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,en-US,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,en-US,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,en-US,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,en-US,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,en-US,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,en-US,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,en-US,"Email outbox","Email outbox",0,"Email outbox"
admin,email_queue.dead_letter,,en-US,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,en-US,"No email jobs are waiting right now.","No email jobs are waiting right now.",0,"No email jobs are waiting right now."
admin,email_queue.last_processed,,en-US,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,en-US,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,en-US,"Open email outbox","Open email outbox",0,"Open email outbox"
admin,email_queue.pending,,en-US,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,en-US,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,en-US,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,en-US,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,en-US,Running,Running,0,Running
admin,email_queue.status.stale,,en-US,Stale,Stale,0,Stale
admin,email_queue.status.unavailable,,en-US,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,en-US,"Transactional delivery health at a glance.","Transactional delivery health at a glance.",0,"Transactional delivery health at a glance."
admin,email_queue.title,,en-US,"Email queue","Email queue",0,"Email queue"
admin,email_queue.worker,,en-US,Worker,Worker,0,Worker
admin,i18n.col.domain,,en-US,Domain,Domain,0,Domain
admin,i18n.col.key,,en-US,Key,Key,0,Key
admin,i18n.col.reviewed,,en-US,Reviewed,Reviewed,1,Reviewed
admin,i18n.col.source,,en-US,Source,Source,0,Source
admin,i18n.col.status,,en-US,Status,Status,0,Status
admin,i18n.col.translation,,en-US,Translation,Translation,0,Translation
admin,i18n.coverage.missing,,en-US,Missing,Missing,0,Missing
admin,i18n.coverage.reviewed,,en-US,Reviewed,Reviewed,0,Reviewed
admin,i18n.coverage.stale,,en-US,Stale,Stale,0,Stale
admin,i18n.coverage.title,,en-US,"Translation coverage","Translation coverage",0,"Translation coverage"
admin,i18n.coverage.translated,,en-US,Translated,Translated,0,Translated
admin,i18n.domain,,en-US,Domain,Domain,0,Domain
admin,i18n.locale,,en-US,Locale,Locale,0,Locale
admin,i18n.search_placeholder,,en-US,"Search source or translation","Search source or translation",0,"Search source or translation"
admin,i18n.status,,en-US,Status,Status,0,Status
admin,i18n.status.ai_generated,,en-US,AI-generated,AI-generated,0,AI-generated
admin,i18n.status.approved,,en-US,Approved,Approved,0,Approved
admin,i18n.status.missing,,en-US,Missing,Missing,0,Missing
admin,i18n.status.needs_review,,en-US,"Needs review","Needs review",0,"Needs review"
admin,i18n.status.translated,,en-US,Translated,Translated,0,Translated
admin,i18n.title,,en-US,"Translation workbench","Translation workbench",0,"Translation workbench"
admin,i18n.tm.exact_match_only,,en-US,"Exact-match suggestions only","Exact-match suggestions only",0,"Exact-match suggestions only"
admin,i18n.tm.exact_matches,,en-US,"Exact matches","Exact matches",0,"Exact matches"
admin,i18n.tm.exact_then_similar,,en-US,"Exact matches load first. Similar matches load afterwards.","Exact matches load first. Similar matches load afterwards.",0,"Exact matches load first. Similar matches load afterwards."
admin,i18n.tm.no_exact_matches,,en-US,"No exact matches","No exact matches",0,"No exact matches"
admin,i18n.tm.no_similar_matches,,en-US,"No similar matches","No similar matches",0,"No similar matches"
admin,i18n.tm.origin,,en-US,Origin,Origin,0,Origin
admin,i18n.tm.review_placeholders,,en-US,"Review placeholders","Review placeholders",0,"Review placeholders"
admin,i18n.tm.safe,,en-US,Safe,Safe,0,Safe
