domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,es_ES,Created,Created,0,Created
admin,email_outbox.col.id,,es_ES,ID,ID,0,ID
admin,email_outbox.col.last_error,,es_ES,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,es_ES,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,es_ES,Sent,Sent,0,Sent
admin,email_outbox.col.status,,es_ES,Status,Estado,0,Estado
admin,email_outbox.col.subject,,es_ES,Subject,Asunto,0,Asunto
admin,email_outbox.description,,es_ES,"Read-only transactional email delivery history.","Historial de entrega de emails transaccionales de solo lectura.",0,"Historial de entrega de emails transaccionales de solo lectura."
admin,email_outbox.failures.title,,es_ES,"Recent dead letters","Fallos recientes sin entregar",0,"Fallos recientes sin entregar"
admin,email_outbox.filters.apply,,es_ES,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,es_ES,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,es_ES,Search,Buscar,0,Buscar
admin,email_outbox.filters.search_placeholder,,es_ES,"Subject, message UID, or recipient email","Asunto, UID del mensaje o email del destinatario",0,"Asunto, UID del mensaje o email del destinatario"
admin,email_outbox.filters.status,,es_ES,Status,Estado,0,Estado
admin,email_outbox.filters.title,,es_ES,Filters,Filters,0,Filters
admin,email_outbox.list.title,,es_ES,"Recent outbox entries","Entradas recientes de la bandeja de salida",0,"Entradas recientes de la bandeja de salida"
admin,email_outbox.none,,es_ES,"No emails match the current filter.","Ningún email coincide con el filtro actual.",0,"Ningún email coincide con el filtro actual."
admin,email_outbox.pagination.page,,es_ES,Page,Página,0,Página
admin,email_outbox.status.all,,es_ES,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,es_ES,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,es_ES,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,es_ES,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,es_ES,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,es_ES,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,es_ES,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,es_ES,"Email outbox","Bandeja de salida de email",0,"Bandeja de salida de email"
admin,email_queue.dead_letter,,es_ES,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,es_ES,"No email jobs are waiting right now.","No hay trabajos de email esperando ahora.",0,"No hay trabajos de email esperando ahora."
admin,email_queue.last_processed,,es_ES,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,es_ES,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,es_ES,"Open email outbox","Abrir bandeja de salida de email",0,"Abrir bandeja de salida de email"
admin,email_queue.pending,,es_ES,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,es_ES,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,es_ES,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,es_ES,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,es_ES,Running,Running,0,Running
admin,email_queue.status.stale,,es_ES,Stale,Obsoleto,0,Obsoleto
admin,email_queue.status.unavailable,,es_ES,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,es_ES,"Transactional delivery health at a glance.","Estado de la entrega transaccional de un vistazo.",0,"Estado de la entrega transaccional de un vistazo."
admin,email_queue.title,,es_ES,"Email queue","Cola de email",0,"Cola de email"
admin,email_queue.worker,,es_ES,Worker,Worker,0,Worker
admin,i18n.col.domain,,es_ES,Domain,Dominio,0,Dominio
admin,i18n.col.key,,es_ES,Key,Clave,0,Clave
admin,i18n.col.reviewed,,es_ES,Reviewed,Revisado,0,Revisado
admin,i18n.col.source,,es_ES,Source,Fuente,0,Fuente
admin,i18n.col.status,,es_ES,Status,Estado,0,Estado
admin,i18n.col.translation,,es_ES,Translation,Traducción,0,Traducción
admin,i18n.coverage.missing,,es_ES,Missing,Faltante,0,Faltante
admin,i18n.coverage.reviewed,,es_ES,Reviewed,Revisado,0,Revisado
admin,i18n.coverage.stale,,es_ES,Stale,Obsoleto,0,Obsoleto
admin,i18n.coverage.title,,es_ES,"Translation coverage","Cobertura de traducción",0,"Cobertura de traducción"
admin,i18n.coverage.translated,,es_ES,Translated,Traducido,0,Traducido
admin,i18n.domain,,es_ES,Domain,Dominio,0,Dominio
admin,i18n.locale,,es_ES,Locale,Idioma,0,Idioma
admin,i18n.search_placeholder,,es_ES,"Search source or translation","Buscar en fuente o traducción",0,"Buscar en fuente o traducción"
admin,i18n.status,,es_ES,Status,Estado,0,Estado
admin,i18n.status.ai_generated,,es_ES,AI-generated,"Generado por IA",0,"Generado por IA"
admin,i18n.status.approved,,es_ES,Approved,Aprobado,0,Aprobado
admin,i18n.status.missing,,es_ES,Missing,Faltante,0,Faltante
admin,i18n.status.needs_review,,es_ES,"Needs review","Necesita revisión",0,"Necesita revisión"
admin,i18n.status.translated,,es_ES,Translated,Traducido,0,Traducido
admin,i18n.title,,es_ES,"Translation workbench","Banco de trabajo de traducción",0,"Banco de trabajo de traducción"
admin,i18n.tm.exact_match_only,,es_ES,"Exact-match suggestions only","Solo sugerencias de coincidencia exacta",0,"Solo sugerencias de coincidencia exacta"
admin,i18n.tm.exact_matches,,es_ES,"Exact matches","Coincidencias exactas",0,"Coincidencias exactas"
admin,i18n.tm.exact_then_similar,,es_ES,"Exact matches load first. Similar matches load afterwards.","Las coincidencias exactas se cargan primero. Las coincidencias similares se cargan después.",0,"Las coincidencias exactas se cargan primero. Las coincidencias similares se cargan después."
admin,i18n.tm.no_exact_matches,,es_ES,"No exact matches","Sin coincidencias exactas",0,"Sin coincidencias exactas"
admin,i18n.tm.no_similar_matches,,es_ES,"No similar matches","Sin coincidencias similares",0,"Sin coincidencias similares"
admin,i18n.tm.origin,,es_ES,Origin,Origen,0,Origen
admin,i18n.tm.review_placeholders,,es_ES,"Review placeholders","Revisar marcadores de posición",0,"Revisar marcadores de posición"
admin,i18n.tm.safe,,es_ES,Safe,Seguro,0,Seguro
admin,i18n.tm.similar_matches,,es_ES,"Similar matches","Coincidencias similares",0,"Coincidencias similares"
admin,i18n.tm.similarity,,es_ES,Similarity,Similitud,0,Similitud
admin,i18n.tm.source_example,,es_ES,"Source example","Ejemplo de fuente",0,"Ejemplo de fuente"
admin,i18n.tm.title,,es_ES,"Translation memory suggestions","Sugerencias de memoria de traducción",0,"Sugerencias de memoria de traducción"
admin,menu.admin_menu,,es_ES,"Admin menu","Menú de administración",0,"Menú de administración"
admin,menu.blog,,es_ES,Blog,Blog,0,Blog
admin,menu.cli_runner,,es_ES,"CLI Runner","Ejecutor CLI",0,"Ejecutor CLI"
admin,menu.custom_menu,,es_ES,"Custom menu","Menú personalizado",0,"Menú personalizado"
admin,menu.email_outbox,,es_ES,"Email outbox","Bandeja de salida de email",0,"Bandeja de salida de email"
admin,menu.home,,es_ES,"Admin home","Inicio de administración",0,"Inicio de administración"
admin,menu.import_export,,es_ES,"Import / Export","Importar / Exportar",0,"Importar / Exportar"
admin,menu.mcp_tokens,,es_ES,"MCP tokens","Tokens MCP",0,"Tokens MCP"
admin,menu.phpinfo,,es_ES,PHPinfo,"Información de PHP",0,"Información de PHP"
admin,menu.resource_tree,,es_ES,"Website structure","Estructura del sitio web",0,"Estructura del sitio web"
admin,menu.roles,,es_ES,Roles,Roles,0,Roles
admin,menu.runtime_diagnostics,,es_ES,"Runtime diagnostics","Diagnóstico de ejecución",0,"Diagnóstico de ejecución"
admin,menu.section.administration,,es_ES,Administration,Administración,0,Administración
admin,menu.section.configuration,,es_ES,Configuration,Configuración,0,Configuración
admin,menu.section.content,,es_ES,Content,Contenido,0,Contenido
admin,menu.section.developer_tools,,es_ES,"Developer tools","Herramientas para desarrolladores",0,"Herramientas para desarrolladores"
admin,menu.template_engines,,es_ES,"Template engines","Motores de plantillas",0,"Motores de plantillas"
admin,menu.theme_selector,,es_ES,"Theme selection","Selección de tema",0,"Selección de tema"
admin,menu.translations,,es_ES,Translations,Traducciones,0,Traducciones
admin,menu.usergroups,,es_ES,"User groups","Grupos de usuarios",0,"Grupos de usuarios"
admin,menu.widget_preview,,es_ES,"Widget preview","Vista previa del widget",0,"Vista previa del widget"
cms,admin_dropdown.edit_mode,,es_ES,"Edit mode","Modo de edición",0,"Modo de edición"
cms,admin_dropdown.edit_mode_off,,es_ES,off,desactivado,0,desactivado
cms,admin_dropdown.edit_mode_on,,es_ES,on,activado,0,activado
cms,admin_dropdown.seo,,es_ES,SEO,SEO,0,SEO
cms,admin_dropdown.turn_edit_mode_off,,es_ES,"Turn edit mode off","Desactivar modo de edición",0,"Desactivar modo de edición"
cms,admin_dropdown.turn_edit_mode_on,,es_ES,"Turn edit mode on","Activar modo de edición",0,"Activar modo de edición"
cms,admin_menu.form.name,,es_ES,"Admin menu administration","Administración del menú de administración",0,"Administración del menú de administración"
cms,admin_menu.form.title_create,,es_ES,"Create admin menu item","Crear elemento del menú de administración",0,"Crear elemento del menú de administración"
cms,admin_menu.form.title_edit,,es_ES,"Edit admin menu item","Editar elemento del menú de administración",0,"Editar elemento del menú de administración"
cms,edit,,es_ES,Edit,Editar,0,Editar
cms,edit_mode.disabled,,es_ES,"Edit mode disabled","Modo de edición desactivado",0,"Modo de edición desactivado"
cms,edit_mode.enabled,,es_ES,"Edit mode enabled","Modo de edición activado",0,"Modo de edición activado"
cms,edit_mode.save_error,,es_ES,"Error: Unable to save configuration","Error: No se puede guardar la configuración",0,"Error: No se puede guardar la configuración"
cms,error.login_page_missing,,es_ES,"Login page not found - create it manually","Página de inicio de sesión no encontrada - créela manualmente",0,"Página de inicio de sesión no encontrada - créela manualmente"
cms,file.missing_ref_id,,es_ES,"Missing file reference","Referencia de archivo faltante",0,"Referencia de archivo faltante"
cms,file.upload_error,,es_ES,"Error: File upload failed","Error: El archivo no se pudo subir",0,"Error: El archivo no se pudo subir"
cms,file.uploaded,,es_ES,"File uploaded","Archivo subido",0,"Archivo subido"
cms,file_upload.destination_path,,es_ES,"Destination path","Ruta de destino",0,"Ruta de destino"
cms,file_upload.unknown_destination,,es_ES,"Unknown destination path","Ruta de destino desconocida",0,"Ruta de destino desconocida"
cms,form.field.form_id.explanation,,es_ES,"Select from the predefined forms","Seleccionar de los formularios predefinidos",0,"Seleccionar de los formularios predefinidos"
cms,form.field.form_id.label,,es_ES,Form,Formulario,0,Formulario
cms,form.missing_widget_id,,es_ES,"Widget ID is missing","Falta el ID del widget",0,"Falta el ID del widget"
cms,form.no_form_page_warning,,es_ES,"Create at least one page with a blank form","Crear al menos una página con un formulario en blanco",0,"Crear al menos una página con un formulario en blanco"
cms,form.no_id,,es_ES,"No form ID given","No se proporcionó ID de formulario",0,"No se proporcionó ID de formulario"
cms,form.settings_subtitle,,es_ES,"Page: {page}","Página: {page}",0,"Página: {page}"
cms,library.folder,,es_ES,Folder,Carpeta,0,Carpeta
cms,library.resource,,es_ES,Resource,Recurso,0,Recurso
cms,library.unknown,,es_ES,"Unknown library","Biblioteca desconocida",0,"Biblioteca desconocida"
cms,menu.delete_confirm,,es_ES,"Are you sure you want to delete this menu item?","¿Está seguro de que desea eliminar este elemento del menú?",0,"¿Está seguro de que desea eliminar este elemento del menú?"
cms,menu.delete_failed,,es_ES,"Delete failed","Error al eliminar",0,"Error al eliminar"
cms,menu.delete_forbidden,,es_ES,"Menu item deletion is not allowed: {name}","No se permite eliminar el elemento de menú: {name}",0,"No se permite eliminar el elemento de menú: {name}"
cms,menu.delete_unknown_error,,es_ES,"Error: An unknown error occurred while deleting the menu item","Error: Se produjo un error desconocido al eliminar el elemento del menú",0,"Error: Se produjo un error desconocido al eliminar el elemento del menú"
cms,menu.deleted,,es_ES,"Menu item deleted: {name}","Elemento de menú eliminado: {name}",0,"Elemento de menú eliminado: {name}"
cms,menu.external_link,,es_ES,"External link","Enlace externo",0,"Enlace externo"
cms,menu.field.node_name.label,,es_ES,"Display text","Texto de visualización",0,"Texto de visualización"
cms,menu.field.page.explanation,,es_ES,"Select the page this menu item points to","Seleccione la página a la que apunta este elemento de menú",0,"Seleccione la página a la que apunta este elemento de menú"
cms,menu.field.page.label,,es_ES,Page,Página,0,Página
cms,menu.field.type.external,,es_ES,"Points to external page","Apunta a una página externa",0,"Apunta a una página externa"
cms,menu.field.type.internal,,es_ES,"Points to internal page","Apunta a una página interna",0,"Apunta a una página interna"
cms,menu.field.type.label,,es_ES,"Link type","Tipo de enlace",0,"Tipo de enlace"
cms,menu.field.url.explanation,,es_ES,"You can enter a custom URL (including mailto:// links)","Puede introducir una URL personalizada (incluyendo enlaces mailto://)",0,"Puede introducir una URL personalizada (incluyendo enlaces mailto://)"
cms,menu.field.url.label,,es_ES,"Custom URL","URL personalizada",0,"URL personalizada"
cms,menu.form.name,,es_ES,"Main menu item","Elemento del menú principal",0,"Elemento del menú principal"
cms,menu.form.title_create,,es_ES,"Create menu item","Crear elemento de menú",0,"Crear elemento de menú"
cms,menu.form.title_edit,,es_ES,"Edit menu item","Editar elemento de menú",0,"Editar elemento de menú"
cms,menu.internal_link,,es_ES,"Internal link","Enlace interno",0,"Enlace interno"
cms,menu.move_error,,es_ES,"Error: Unable to move menu item","Error: No se puede mover el elemento del menú",0,"Error: No se puede mover el elemento del menú"
cms,menu.move_success,,es_ES,"Menu item moved: {name}","Elemento de menú movido: {name}",0,"Elemento de menú movido: {name}"
cms,menu.new_child,,es_ES,"New submenu item","Nuevo elemento de submenú",0,"Nuevo elemento de submenú"
