domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,hu-HU,Created,Létrehozva,0,Létrehozva
admin,email_outbox.col.id,,hu-HU,ID,Azonosító,0,Azonosító
admin,email_outbox.col.last_error,,hu-HU,"Last error","Utolsó hiba",0,"Utolsó hiba"
admin,email_outbox.col.recipients,,hu-HU,Recipients,Címzettek,0,Címzettek
admin,email_outbox.col.sent_at,,hu-HU,Sent,Elküldve,0,Elküldve
admin,email_outbox.col.status,,hu-HU,Status,Állapot,0,Állapot
admin,email_outbox.col.subject,,hu-HU,Subject,Tárgy,0,Tárgy
admin,email_outbox.description,,hu-HU,"Read-only transactional email delivery history.","Csak olvasható tranzakciós email kézbesítési előzmények.",0,"Csak olvasható tranzakciós email kézbesítési előzmények."
admin,email_outbox.failures.title,,hu-HU,"Recent dead letters","Legutóbbi hibás üzenetek",0,"Legutóbbi hibás üzenetek"
admin,email_outbox.filters.apply,,hu-HU,"Apply filters","Szűrők alkalmazása",0,"Szűrők alkalmazása"
admin,email_outbox.filters.reset,,hu-HU,Reset,Visszaállítás,0,Visszaállítás
admin,email_outbox.filters.search,,hu-HU,Search,Keresés,0,Keresés
admin,email_outbox.filters.search_placeholder,,hu-HU,"Subject, message UID, or recipient email","Tárgy, üzenet UID vagy címzett email címe",0,"Tárgy, üzenet UID vagy címzett email címe"
admin,email_outbox.filters.status,,hu-HU,Status,Állapot,0,Állapot
admin,email_outbox.filters.title,,hu-HU,Filters,Szűrők,0,Szűrők
admin,email_outbox.list.title,,hu-HU,"Recent outbox entries","Legutóbbi kimenő tételek",0,"Legutóbbi kimenő tételek"
admin,email_outbox.none,,hu-HU,"No emails match the current filter.","Nincs a jelenlegi szűrőnek megfelelő email.",0,"Nincs a jelenlegi szűrőnek megfelelő email."
admin,email_outbox.pagination.page,,hu-HU,Page,Oldal,0,Oldal
admin,email_outbox.status.all,,hu-HU,"All statuses","Minden állapot",0,"Minden állapot"
admin,email_outbox.status.failed,,hu-HU,Failed,Sikertelen,0,Sikertelen
admin,email_outbox.status.partial_failed,,hu-HU,"Partial failed","Részben sikertelen",0,"Részben sikertelen"
admin,email_outbox.status.processing,,hu-HU,Processing,"Feldolgozás alatt",0,"Feldolgozás alatt"
admin,email_outbox.status.queued,,hu-HU,Queued,"Sorban áll",0,"Sorban áll"
admin,email_outbox.status.sent,,hu-HU,Sent,Elküldve,0,Elküldve
admin,email_outbox.summary.title,,hu-HU,"Queue summary","Sor összefoglaló",0,"Sor összefoglaló"
admin,email_outbox.title,,hu-HU,"Email outbox","Email kimenő",0,"Email kimenő"
admin,email_queue.dead_letter,,hu-HU,"Dead letter","Hibás üzenet",0,"Hibás üzenet"
admin,email_queue.empty,,hu-HU,"No email jobs are waiting right now.","Jelenleg nincs várakozó email feladat.",0,"Jelenleg nincs várakozó email feladat."
admin,email_queue.last_processed,,hu-HU,"Last processed","Utoljára feldolgozva",0,"Utoljára feldolgozva"
admin,email_queue.last_seen,,hu-HU,"Last seen","Utoljára látva",0,"Utoljára látva"
admin,email_queue.open_outbox,,hu-HU,"Open email outbox","Email kimenő megnyitása",0,"Email kimenő megnyitása"
