domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,i18n.col.domain,,hu_HU,Domain,Domén,0,Domén
admin,i18n.col.key,,hu_HU,Key,Kulcs,0,Kulcs
admin,i18n.col.reviewed,,hu_HU,Reviewed,Ellenőrizve,1,Ellenőrizve
admin,i18n.col.source,,hu_HU,Source,Forrás,0,Forrás
admin,i18n.col.status,,hu_HU,Status,Állapot,0,Állapot
admin,i18n.col.translation,,hu_HU,Translation,Fordítás,0,Fordítás
admin,i18n.domain,,hu_HU,Domain,Domén,0,Domén
admin,i18n.locale,,hu_HU,Locale,Nyelv,0,Nyelv
admin,i18n.search_placeholder,,hu_HU,Search source or translation,Keresés a forrásban vagy a fordításban,0,Keresés a forrásban vagy a fordításban
admin,i18n.status,,hu_HU,Status,Állapot,0,Állapot
admin,i18n.status.ai_generated,,hu_HU,AI-generated,AI által generált,0,AI által generált
admin,i18n.status.approved,,hu_HU,Approved,Jóváhagyva,0,Jóváhagyva
admin,i18n.status.missing,,hu_HU,Missing,Hiányzik,0,Hiányzik
admin,i18n.status.needs_review,,hu_HU,Needs review,Ellenőrizendő,0,Ellenőrizendő
admin,i18n.status.translated,,hu_HU,Translated,Lefordítva,0,Lefordítva
admin,i18n.title,,hu_HU,Translation workbench,Fordítási műhely,0,Fordítási műhely
admin,i18n.tm.exact_match_only,,hu_HU,Exact-match suggestions only,Csak pontos egyezésű javaslatok,0,Csak pontos egyezésű javaslatok
admin,i18n.tm.exact_matches,,hu_HU,Exact matches,Pontos egyezések,0,Pontos egyezések
admin,i18n.tm.exact_then_similar,,hu_HU,Exact matches load first. Similar matches load afterwards.,"A pontos egyezések azonnal betöltődnek, a hasonló találatok utána érkeznek.",0,"A pontos egyezések azonnal betöltődnek, a hasonló találatok utána érkeznek."
admin,i18n.tm.no_exact_matches,,hu_HU,No exact matches,Nincs pontos egyezés,0,Nincs pontos egyezés
admin,i18n.tm.no_similar_matches,,hu_HU,No similar matches,Nincsenek hasonló találatok,0,Nincsenek hasonló találatok
admin,i18n.tm.origin,,hu_HU,Origin,Eredet,0,Eredet
admin,i18n.tm.review_placeholders,,hu_HU,Review placeholders,Ellenőrizd a helyőrzőket,0,Ellenőrizd a helyőrzőket
admin,i18n.tm.safe,,hu_HU,Safe,Biztonságos,0,Biztonságos
admin,i18n.tm.similar_matches,,hu_HU,Similar matches,Hasonló találatok,0,Hasonló találatok
admin,i18n.tm.similarity,,hu_HU,Similarity,Hasonlóság,0,Hasonlóság
admin,i18n.tm.source_example,,hu_HU,Source example,Forráspélda,0,Forráspélda
admin,i18n.tm.title,,hu_HU,Translation memory suggestions,Fordítási memória javaslatok,0,Fordítási memória javaslatok
admin,menu.admin_menu,,hu_HU,Admin menu,Admin menü,0,Admin menü
admin,menu.blog,,hu_HU,Blog,Blog,0,Blog
