domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
admin,email_outbox.col.created_at,,it-IT,Created,Created,0,1,Created
admin,email_outbox.col.id,,it-IT,ID,ID,0,1,ID
admin,email_outbox.col.last_error,,it-IT,"Last error","Last error",0,1,"Last error"
admin,email_outbox.col.recipients,,it-IT,Recipients,Recipients,0,1,Recipients
admin,email_outbox.col.sent_at,,it-IT,Sent,Sent,0,1,Sent
admin,email_outbox.col.status,,it-IT,Status,Stato,0,0,Stato
admin,email_outbox.col.subject,,it-IT,Subject,Oggetto,0,0,Oggetto
admin,email_outbox.description,,it-IT,"Read-only transactional email delivery history.","Cronologia in sola lettura della consegna email transazionale.",0,0,"Cronologia in sola lettura della consegna email transazionale."
admin,email_outbox.failures.title,,it-IT,"Recent dead letters","Messaggi non recapitabili recenti",0,0,"Messaggi non recapitabili recenti"
admin,email_outbox.filters.apply,,it-IT,"Apply filters","Apply filters",0,1,"Apply filters"
admin,email_outbox.filters.reset,,it-IT,Reset,Reset,0,1,Reset
admin,email_outbox.filters.search,,it-IT,Search,Cerca,0,0,Cerca
admin,email_outbox.filters.search_placeholder,,it-IT,"Subject, message UID, or recipient email","Oggetto, UID del messaggio o email del destinatario",0,0,"Oggetto, UID del messaggio o email del destinatario"
admin,email_outbox.filters.status,,it-IT,Status,Stato,0,0,Stato
admin,email_outbox.filters.title,,it-IT,Filters,Filters,0,1,Filters
admin,email_outbox.list.title,,it-IT,"Recent outbox entries","Voci recenti della posta in uscita",0,0,"Voci recenti della posta in uscita"
admin,email_outbox.none,,it-IT,"No emails match the current filter.","Nessuna email corrisponde al filtro corrente.",0,0,"Nessuna email corrisponde al filtro corrente."
admin,email_outbox.pagination.page,,it-IT,Page,Pagina,0,0,Pagina
admin,email_outbox.status.all,,it-IT,"All statuses","All statuses",0,1,"All statuses"
admin,email_outbox.status.failed,,it-IT,Failed,Failed,0,1,Failed
admin,email_outbox.status.partial_failed,,it-IT,"Partial failed","Partial failed",0,1,"Partial failed"
admin,email_outbox.status.processing,,it-IT,Processing,Processing,0,1,Processing
admin,email_outbox.status.queued,,it-IT,Queued,Queued,0,1,Queued
admin,email_outbox.status.sent,,it-IT,Sent,Sent,0,1,Sent
admin,email_outbox.summary.title,,it-IT,"Queue summary","Queue summary",0,1,"Queue summary"
admin,email_outbox.title,,it-IT,"Email outbox","Posta in uscita email",0,0,"Posta in uscita email"
admin,email_queue.dead_letter,,it-IT,"Dead letter","Dead letter",0,1,"Dead letter"
admin,email_queue.empty,,it-IT,"No email jobs are waiting right now.","Al momento non ci sono job email in attesa.",0,0,"Al momento non ci sono job email in attesa."
admin,email_queue.last_processed,,it-IT,"Last processed","Last processed",0,1,"Last processed"
admin,email_queue.last_seen,,it-IT,"Last seen","Last seen",0,1,"Last seen"
admin,email_queue.open_outbox,,it-IT,"Open email outbox","Apri posta in uscita email",0,0,"Apri posta in uscita email"
admin,email_queue.pending,,it-IT,Pending,Pending,0,1,Pending
admin,email_queue.retry_wait,,it-IT,"Retry wait","Retry wait",0,1,"Retry wait"
admin,email_queue.sent_last_24h,,it-IT,"Sent in last 24h","Sent in last 24h",0,1,"Sent in last 24h"
admin,email_queue.status.never_seen,,it-IT,"Never seen","Never seen",0,1,"Never seen"
admin,email_queue.status.running,,it-IT,Running,Running,0,1,Running
admin,email_queue.status.stale,,it-IT,Stale,Obsoleto,0,0,Obsoleto
admin,email_queue.status.unavailable,,it-IT,Unavailable,Unavailable,0,1,Unavailable
admin,email_queue.subtitle,,it-IT,"Transactional delivery health at a glance.","Stato della consegna transazionale a colpo d'occhio.",0,0,"Stato della consegna transazionale a colpo d'occhio."
admin,email_queue.title,,it-IT,"Email queue","Coda email",0,0,"Coda email"
admin,email_queue.worker,,it-IT,Worker,Worker,0,1,Worker
admin,i18n.col.domain,,it-IT,Domain,Dominio,0,0,Dominio
admin,i18n.col.key,,it-IT,Key,Chiave,0,0,Chiave
admin,i18n.col.reviewed,,it-IT,Reviewed,Revisionato,0,0,Revisionato
admin,i18n.col.source,,it-IT,Source,Sorgente,0,0,Sorgente
admin,i18n.col.status,,it-IT,Status,Stato,0,0,Stato
admin,i18n.col.translation,,it-IT,Translation,Traduzione,0,0,Traduzione
admin,i18n.coverage.missing,,it-IT,Missing,Mancante,0,0,Mancante
admin,i18n.coverage.reviewed,,it-IT,Reviewed,Revisionato,0,0,Revisionato
admin,i18n.coverage.stale,,it-IT,Stale,Obsoleto,0,0,Obsoleto
admin,i18n.coverage.title,,it-IT,"Translation coverage","Copertura traduzioni",0,0,"Copertura traduzioni"
admin,i18n.coverage.translated,,it-IT,Translated,Tradotto,0,0,Tradotto
admin,i18n.domain,,it-IT,Domain,Dominio,0,0,Dominio
admin,i18n.locale,,it-IT,Locale,Lingua,0,0,Lingua
admin,i18n.search_placeholder,,it-IT,"Search source or translation","Cerca nel sorgente o nella traduzione",0,0,"Cerca nel sorgente o nella traduzione"
admin,i18n.status,,it-IT,Status,Stato,0,0,Stato
admin,i18n.status.ai_generated,,it-IT,AI-generated,"Generato da IA",0,0,"Generato da IA"
admin,i18n.status.approved,,it-IT,Approved,Approvato,0,0,Approvato
admin,i18n.status.missing,,it-IT,Missing,Mancante,0,0,Mancante
admin,i18n.status.needs_review,,it-IT,"Needs review","Da revisionare",0,0,"Da revisionare"
admin,i18n.status.translated,,it-IT,Translated,Tradotto,0,0,Tradotto
admin,i18n.title,,it-IT,"Translation workbench","Banco di lavoro traduzioni",0,0,"Banco di lavoro traduzioni"
admin,i18n.tm.exact_match_only,,it-IT,"Exact-match suggestions only","Solo suggerimenti con corrispondenza esatta",0,0,"Solo suggerimenti con corrispondenza esatta"
admin,i18n.tm.exact_matches,,it-IT,"Exact matches","Corrispondenze esatte",0,0,"Corrispondenze esatte"
admin,i18n.tm.exact_then_similar,,it-IT,"Exact matches load first. Similar matches load afterwards.","Le corrispondenze esatte si caricano prima. Le corrispondenze simili si caricano dopo.",0,0,"Le corrispondenze esatte si caricano prima. Le corrispondenze simili si caricano dopo."
admin,i18n.tm.no_exact_matches,,it-IT,"No exact matches","Nessuna corrispondenza esatta",0,0,"Nessuna corrispondenza esatta"
admin,i18n.tm.no_similar_matches,,it-IT,"No similar matches","Nessuna corrispondenza simile",0,0,"Nessuna corrispondenza simile"
admin,i18n.tm.origin,,it-IT,Origin,Origine,0,0,Origine
admin,i18n.tm.review_placeholders,,it-IT,"Review placeholders","Revisiona segnaposto",0,0,"Revisiona segnaposto"
admin,i18n.tm.safe,,it-IT,Safe,Sicuro,0,0,Sicuro
admin,i18n.tm.similar_matches,,it-IT,"Similar matches","Corrispondenze simili",0,0,"Corrispondenze simili"
admin,i18n.tm.similarity,,it-IT,Similarity,Somiglianza,0,0,Somiglianza
admin,i18n.tm.source_example,,it-IT,"Source example","Esempio sorgente",0,0,"Esempio sorgente"
admin,i18n.tm.title,,it-IT,"Translation memory suggestions","Suggerimenti memoria traduzioni",0,0,"Suggerimenti memoria traduzioni"
admin,menu.admin_menu,,it-IT,"Admin menu","Menu amministrazione",0,0,"Menu amministrazione"
admin,menu.blog,,it-IT,Blog,Blog,0,1,Blog
admin,menu.cli_runner,,it-IT,"CLI Runner","Esecutore CLI",0,0,"Esecutore CLI"
admin,menu.custom_menu,,it-IT,"Custom menu","Menu personalizzato",0,0,"Menu personalizzato"
admin,menu.email_outbox,,it-IT,"Email outbox","Posta in uscita email",0,0,"Posta in uscita email"
admin,menu.home,,it-IT,"Admin home","Home amministrazione",0,0,"Home amministrazione"
admin,menu.import_export,,it-IT,"Import / Export","Importa / Esporta",0,0,"Importa / Esporta"
admin,menu.locales,,it-IT,Locales,Locales,0,1,Locales
admin,menu.mcp_tokens,,it-IT,"MCP tokens","Token MCP",0,0,"Token MCP"
admin,menu.phpinfo,,it-IT,PHPinfo,PHPinfo,0,1,PHPinfo
admin,menu.resource_tree,,it-IT,"Website structure","Struttura sito web",0,0,"Struttura sito web"
admin,menu.roles,,it-IT,Roles,Ruoli,0,0,Ruoli
admin,menu.runtime_diagnostics,,it-IT,"Runtime diagnostics","Diagnostica runtime",0,0,"Diagnostica runtime"
admin,menu.section.administration,,it-IT,Administration,Amministrazione,0,0,Amministrazione
admin,menu.section.configuration,,it-IT,Configuration,Configurazione,0,0,Configurazione
admin,menu.section.content,,it-IT,Content,Contenuto,0,0,Contenuto
admin,menu.section.developer_tools,,it-IT,"Developer tools","Strumenti sviluppatore",0,0,"Strumenti sviluppatore"
admin,menu.template_engines,,it-IT,"Template engines","Motori di modelli",0,0,"Motori di modelli"
