domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,it_IT,Created,Created,0,Created
admin,email_outbox.col.id,,it_IT,ID,ID,0,ID
admin,email_outbox.col.last_error,,it_IT,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,it_IT,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,it_IT,Sent,Sent,0,Sent
admin,email_outbox.col.status,,it_IT,Status,Stato,0,Stato
admin,email_outbox.col.subject,,it_IT,Subject,Oggetto,0,Oggetto
admin,email_outbox.description,,it_IT,"Read-only transactional email delivery history.","Cronologia in sola lettura della consegna email transazionale.",0,"Cronologia in sola lettura della consegna email transazionale."
admin,email_outbox.failures.title,,it_IT,"Recent dead letters","Messaggi non recapitabili recenti",0,"Messaggi non recapitabili recenti"
admin,email_outbox.filters.apply,,it_IT,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,it_IT,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,it_IT,Search,Cerca,0,Cerca
admin,email_outbox.filters.search_placeholder,,it_IT,"Subject, message UID, or recipient email","Oggetto, UID del messaggio o email del destinatario",0,"Oggetto, UID del messaggio o email del destinatario"
admin,email_outbox.filters.status,,it_IT,Status,Stato,0,Stato
admin,email_outbox.filters.title,,it_IT,Filters,Filters,0,Filters
admin,email_outbox.list.title,,it_IT,"Recent outbox entries","Voci recenti della posta in uscita",0,"Voci recenti della posta in uscita"
admin,email_outbox.none,,it_IT,"No emails match the current filter.","Nessuna email corrisponde al filtro corrente.",0,"Nessuna email corrisponde al filtro corrente."
admin,email_outbox.pagination.page,,it_IT,Page,Pagina,0,Pagina
admin,email_outbox.status.all,,it_IT,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,it_IT,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,it_IT,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,it_IT,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,it_IT,Queued,Queued,0,Queued
