domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,ja-JP,Created,Created,0,Created
admin,email_outbox.col.id,,ja-JP,ID,ID,0,ID
admin,email_outbox.col.last_error,,ja-JP,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,ja-JP,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,ja-JP,Sent,Sent,0,Sent
admin,email_outbox.col.status,,ja-JP,Status,ステータス,0,ステータス
admin,email_outbox.col.subject,,ja-JP,Subject,件名,0,件名
admin,email_outbox.description,,ja-JP,"Read-only transactional email delivery history.",トランザクションメール配信履歴を読み取り専用で表示します。,0,トランザクションメール配信履歴を読み取り専用で表示します。
admin,email_outbox.failures.title,,ja-JP,"Recent dead letters",最近の配信不能メール,0,最近の配信不能メール
admin,email_outbox.filters.apply,,ja-JP,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,ja-JP,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,ja-JP,Search,検索,0,検索
admin,email_outbox.filters.search_placeholder,,ja-JP,"Subject, message UID, or recipient email",件名、メッセージUID、または受信者メール,0,件名、メッセージUID、または受信者メール
admin,email_outbox.filters.status,,ja-JP,Status,ステータス,0,ステータス
admin,email_outbox.filters.title,,ja-JP,Filters,Filters,0,Filters
admin,email_outbox.list.title,,ja-JP,"Recent outbox entries",最近の送信箱エントリ,0,最近の送信箱エントリ
admin,email_outbox.none,,ja-JP,"No emails match the current filter.",現在のフィルターに一致するメールはありません。,0,現在のフィルターに一致するメールはありません。
admin,email_outbox.pagination.page,,ja-JP,Page,ページ,0,ページ
admin,email_outbox.status.all,,ja-JP,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,ja-JP,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,ja-JP,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,ja-JP,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,ja-JP,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,ja-JP,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,ja-JP,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,ja-JP,"Email outbox",メール送信箱,0,メール送信箱
admin,email_queue.dead_letter,,ja-JP,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,ja-JP,"No email jobs are waiting right now.",現在待機中のメールジョブはありません。,0,現在待機中のメールジョブはありません。
admin,email_queue.last_processed,,ja-JP,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,ja-JP,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,ja-JP,"Open email outbox",メール送信箱を開く,0,メール送信箱を開く
admin,email_queue.pending,,ja-JP,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,ja-JP,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,ja-JP,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,ja-JP,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,ja-JP,Running,Running,0,Running
admin,email_queue.status.stale,,ja-JP,Stale,古い,0,古い
admin,email_queue.status.unavailable,,ja-JP,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,ja-JP,"Transactional delivery health at a glance.",トランザクション配信の状態をひと目で確認できます。,0,トランザクション配信の状態をひと目で確認できます。
admin,email_queue.title,,ja-JP,"Email queue",メールキュー,0,メールキュー
admin,email_queue.worker,,ja-JP,Worker,Worker,0,Worker
admin,i18n.col.domain,,ja-JP,Domain,ドメイン,0,ドメイン
admin,i18n.col.key,,ja-JP,Key,キー,0,キー
admin,i18n.col.reviewed,,ja-JP,Reviewed,レビュー済み,0,レビュー済み
admin,i18n.col.source,,ja-JP,Source,ソース,0,ソース
admin,i18n.col.status,,ja-JP,Status,ステータス,0,ステータス
admin,i18n.col.translation,,ja-JP,Translation,翻訳,0,翻訳
admin,i18n.coverage.missing,,ja-JP,Missing,未翻訳,0,未翻訳
admin,i18n.coverage.reviewed,,ja-JP,Reviewed,レビュー済み,0,レビュー済み
admin,i18n.coverage.stale,,ja-JP,Stale,古い,0,古い
admin,i18n.coverage.title,,ja-JP,"Translation coverage",翻訳カバレッジ,0,翻訳カバレッジ
admin,i18n.coverage.translated,,ja-JP,Translated,翻訳済み,0,翻訳済み
admin,i18n.domain,,ja-JP,Domain,ドメイン,0,ドメイン
admin,i18n.locale,,ja-JP,Locale,ロケール,0,ロケール
admin,i18n.search_placeholder,,ja-JP,"Search source or translation",ソースまたは翻訳を検索,0,ソースまたは翻訳を検索
admin,i18n.status,,ja-JP,Status,ステータス,0,ステータス
admin,i18n.status.ai_generated,,ja-JP,AI-generated,AI生成,0,AI生成
admin,i18n.status.approved,,ja-JP,Approved,承認済み,0,承認済み
admin,i18n.status.missing,,ja-JP,Missing,不足,0,不足
admin,i18n.status.needs_review,,ja-JP,"Needs review",レビュー必要,0,レビュー必要
admin,i18n.status.translated,,ja-JP,Translated,翻訳済み,0,翻訳済み
admin,i18n.title,,ja-JP,"Translation workbench",翻訳ワークベンチ,0,翻訳ワークベンチ
admin,i18n.tm.exact_match_only,,ja-JP,"Exact-match suggestions only",完全一致の候補のみ,0,完全一致の候補のみ
admin,i18n.tm.exact_matches,,ja-JP,"Exact matches",完全一致,0,完全一致
admin,i18n.tm.exact_then_similar,,ja-JP,"Exact matches load first. Similar matches load afterwards.",完全一致を先に読み込み、類似一致をその後に読み込みます。,0,完全一致を先に読み込み、類似一致をその後に読み込みます。
admin,i18n.tm.no_exact_matches,,ja-JP,"No exact matches",完全一致なし,0,完全一致なし
admin,i18n.tm.no_similar_matches,,ja-JP,"No similar matches",類似一致なし,0,類似一致なし
admin,i18n.tm.origin,,ja-JP,Origin,元,0,元
admin,i18n.tm.review_placeholders,,ja-JP,"Review placeholders",プレースホルダーを確認,0,プレースホルダーを確認
admin,i18n.tm.safe,,ja-JP,Safe,安全,0,安全
admin,i18n.tm.similar_matches,,ja-JP,"Similar matches",類似一致,0,類似一致
admin,i18n.tm.similarity,,ja-JP,Similarity,類似度,0,類似度
admin,i18n.tm.source_example,,ja-JP,"Source example",ソース例,0,ソース例
admin,i18n.tm.title,,ja-JP,"Translation memory suggestions",翻訳メモリーの候補,0,翻訳メモリーの候補
admin,menu.admin_menu,,ja-JP,"Admin menu",管理メニュー,0,管理メニュー
admin,menu.blog,,ja-JP,Blog,ブログ,0,ブログ
admin,menu.cli_runner,,ja-JP,"CLI Runner",CLIランナー,0,CLIランナー
admin,menu.custom_menu,,ja-JP,"Custom menu",カスタムメニュー,0,カスタムメニュー
admin,menu.email_outbox,,ja-JP,"Email outbox",メール送信箱,0,メール送信箱
admin,menu.home,,ja-JP,"Admin home",管理ホーム,0,管理ホーム
admin,menu.import_export,,ja-JP,"Import / Export","インポート / エクスポート",0,"インポート / エクスポート"
admin,menu.mcp_tokens,,ja-JP,"MCP tokens",MCPトークン,0,MCPトークン
admin,menu.phpinfo,,ja-JP,PHPinfo,PHP情報,0,PHP情報
