domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,ko-KR,Created,Created,0,Created
admin,email_outbox.col.id,,ko-KR,ID,ID,0,ID
admin,email_outbox.col.last_error,,ko-KR,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,ko-KR,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,ko-KR,Sent,Sent,0,Sent
admin,email_outbox.col.status,,ko-KR,Status,상태,0,상태
admin,email_outbox.col.subject,,ko-KR,Subject,대상,0,대상
admin,email_outbox.description,,ko-KR,"Read-only transactional email delivery history.","트랜잭션 이메일 전달 기록을 읽기 전용으로 표시합니다.",0,"트랜잭션 이메일 전달 기록을 읽기 전용으로 표시합니다."
admin,email_outbox.failures.title,,ko-KR,"Recent dead letters","최근 전달 실패 메시지",0,"최근 전달 실패 메시지"
admin,email_outbox.filters.apply,,ko-KR,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,ko-KR,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,ko-KR,Search,검색,0,검색
admin,email_outbox.filters.search_placeholder,,ko-KR,"Subject, message UID, or recipient email","제목, 메시지 UID 또는 수신자 이메일",0,"제목, 메시지 UID 또는 수신자 이메일"
admin,email_outbox.filters.status,,ko-KR,Status,상태,0,상태
admin,email_outbox.filters.title,,ko-KR,Filters,Filters,0,Filters
admin,email_outbox.list.title,,ko-KR,"Recent outbox entries","최근 발신함 항목",0,"최근 발신함 항목"
admin,email_outbox.none,,ko-KR,"No emails match the current filter.","현재 필터와 일치하는 이메일이 없습니다.",0,"현재 필터와 일치하는 이메일이 없습니다."
admin,email_outbox.pagination.page,,ko-KR,Page,페이지,0,페이지
admin,email_outbox.status.all,,ko-KR,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,ko-KR,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,ko-KR,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,ko-KR,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,ko-KR,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,ko-KR,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,ko-KR,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,ko-KR,"Email outbox","이메일 발신함",0,"이메일 발신함"
admin,email_queue.dead_letter,,ko-KR,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,ko-KR,"No email jobs are waiting right now.","현재 대기 중인 이메일 작업이 없습니다.",0,"현재 대기 중인 이메일 작업이 없습니다."
admin,email_queue.last_processed,,ko-KR,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,ko-KR,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,ko-KR,"Open email outbox","이메일 발신함 열기",0,"이메일 발신함 열기"
admin,email_queue.pending,,ko-KR,Pending,Pending,0,Pending
