domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,pl_PL,Created,Created,0,Created
admin,email_outbox.col.id,,pl_PL,ID,ID,0,ID
admin,email_outbox.col.last_error,,pl_PL,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,pl_PL,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,pl_PL,Sent,Sent,0,Sent
admin,email_outbox.col.status,,pl_PL,Status,Status,0,Status
admin,email_outbox.col.subject,,pl_PL,Subject,Temat,0,Temat
admin,email_outbox.description,,pl_PL,"Read-only transactional email delivery history.","Historia dostarczania emaili transakcyjnych tylko do odczytu.",0,"Historia dostarczania emaili transakcyjnych tylko do odczytu."
admin,email_outbox.failures.title,,pl_PL,"Recent dead letters","Ostatnie niedostarczone wiadomości",0,"Ostatnie niedostarczone wiadomości"
admin,email_outbox.filters.apply,,pl_PL,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,pl_PL,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,pl_PL,Search,Szukaj,0,Szukaj
admin,email_outbox.filters.search_placeholder,,pl_PL,"Subject, message UID, or recipient email","Temat, UID wiadomości lub email odbiorcy",0,"Temat, UID wiadomości lub email odbiorcy"
admin,email_outbox.filters.status,,pl_PL,Status,Status,0,Status
admin,email_outbox.filters.title,,pl_PL,Filters,Filters,0,Filters
admin,email_outbox.list.title,,pl_PL,"Recent outbox entries","Ostatnie wpisy skrzynki wychodzącej",0,"Ostatnie wpisy skrzynki wychodzącej"
admin,email_outbox.none,,pl_PL,"No emails match the current filter.","Żaden email nie pasuje do bieżącego filtra.",0,"Żaden email nie pasuje do bieżącego filtra."
admin,email_outbox.pagination.page,,pl_PL,Page,Strona,0,Strona
admin,email_outbox.status.all,,pl_PL,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,pl_PL,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,pl_PL,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,pl_PL,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,pl_PL,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,pl_PL,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,pl_PL,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,pl_PL,"Email outbox","Skrzynka wychodząca email",0,"Skrzynka wychodząca email"
admin,email_queue.dead_letter,,pl_PL,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,pl_PL,"No email jobs are waiting right now.","Obecnie nie czekają żadne zadania email.",0,"Obecnie nie czekają żadne zadania email."
admin,email_queue.last_processed,,pl_PL,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,pl_PL,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,pl_PL,"Open email outbox","Otwórz skrzynkę wychodzącą email",0,"Otwórz skrzynkę wychodzącą email"
admin,email_queue.pending,,pl_PL,Pending,Pending,0,Pending
admin,email_queue.retry_wait,,pl_PL,"Retry wait","Retry wait",0,"Retry wait"
admin,email_queue.sent_last_24h,,pl_PL,"Sent in last 24h","Sent in last 24h",0,"Sent in last 24h"
admin,email_queue.status.never_seen,,pl_PL,"Never seen","Never seen",0,"Never seen"
admin,email_queue.status.running,,pl_PL,Running,Running,0,Running
admin,email_queue.status.stale,,pl_PL,Stale,Nieaktualne,0,Nieaktualne
admin,email_queue.status.unavailable,,pl_PL,Unavailable,Unavailable,0,Unavailable
admin,email_queue.subtitle,,pl_PL,"Transactional delivery health at a glance.","Stan dostarczania transakcyjnego w skrócie.",0,"Stan dostarczania transakcyjnego w skrócie."
admin,email_queue.title,,pl_PL,"Email queue","Kolejka email",0,"Kolejka email"
admin,email_queue.worker,,pl_PL,Worker,Worker,0,Worker
admin,i18n.col.domain,,pl_PL,Domain,Domena,0,Domena
admin,i18n.col.key,,pl_PL,Key,Klucz,0,Klucz
admin,i18n.col.reviewed,,pl_PL,Reviewed,Sprawdzone,0,Sprawdzone
admin,i18n.col.source,,pl_PL,Source,Źródło,0,Źródło
admin,i18n.col.status,,pl_PL,Status,Status,0,Status
admin,i18n.col.translation,,pl_PL,Translation,Tłumaczenie,0,Tłumaczenie
admin,i18n.coverage.missing,,pl_PL,Missing,Brakujące,0,Brakujące
admin,i18n.coverage.reviewed,,pl_PL,Reviewed,Sprawdzone,0,Sprawdzone
admin,i18n.coverage.stale,,pl_PL,Stale,Nieaktualne,0,Nieaktualne
admin,i18n.coverage.title,,pl_PL,"Translation coverage","Pokrycie tłumaczeń",0,"Pokrycie tłumaczeń"
admin,i18n.coverage.translated,,pl_PL,Translated,Przetłumaczone,0,Przetłumaczone
admin,i18n.domain,,pl_PL,Domain,Domena,0,Domena
admin,i18n.locale,,pl_PL,Locale,Locale,0,Locale
admin,i18n.search_placeholder,,pl_PL,"Search source or translation","Szukaj w źródle lub tłumaczeniu",0,"Szukaj w źródle lub tłumaczeniu"
admin,i18n.status,,pl_PL,Status,Status,0,Status
admin,i18n.status.ai_generated,,pl_PL,AI-generated,"Wygenerowane przez AI",0,"Wygenerowane przez AI"
admin,i18n.status.approved,,pl_PL,Approved,Zatwierdzone,0,Zatwierdzone
admin,i18n.status.missing,,pl_PL,Missing,Brak,0,Brak
admin,i18n.status.needs_review,,pl_PL,"Needs review","Wymaga sprawdzenia",0,"Wymaga sprawdzenia"
admin,i18n.status.translated,,pl_PL,Translated,Przetłumaczone,0,Przetłumaczone
admin,i18n.title,,pl_PL,"Translation workbench","Stanowisko tłumaczeń",0,"Stanowisko tłumaczeń"
admin,i18n.tm.exact_match_only,,pl_PL,"Exact-match suggestions only","Tylko sugestie z dokładnym dopasowaniem",0,"Tylko sugestie z dokładnym dopasowaniem"
admin,i18n.tm.exact_matches,,pl_PL,"Exact matches","Dokładne dopasowania",0,"Dokładne dopasowania"
admin,i18n.tm.exact_then_similar,,pl_PL,"Exact matches load first. Similar matches load afterwards.","Najpierw wczytywane są dokładne dopasowania. Podobne dopasowania wczytują się później.",0,"Najpierw wczytywane są dokładne dopasowania. Podobne dopasowania wczytują się później."
admin,i18n.tm.no_exact_matches,,pl_PL,"No exact matches","Brak dokładnych dopasowań",0,"Brak dokładnych dopasowań"
admin,i18n.tm.no_similar_matches,,pl_PL,"No similar matches","Brak podobnych dopasowań",0,"Brak podobnych dopasowań"
admin,i18n.tm.origin,,pl_PL,Origin,Pochodzenie,0,Pochodzenie
admin,i18n.tm.review_placeholders,,pl_PL,"Review placeholders","Sprawdź placeholdery",0,"Sprawdź placeholdery"
admin,i18n.tm.safe,,pl_PL,Safe,Bezpieczne,0,Bezpieczne
admin,i18n.tm.similar_matches,,pl_PL,"Similar matches","Podobne dopasowania",0,"Podobne dopasowania"
admin,i18n.tm.similarity,,pl_PL,Similarity,Podobieństwo,0,Podobieństwo
admin,i18n.tm.source_example,,pl_PL,"Source example","Przykład źródła",0,"Przykład źródła"
admin,i18n.tm.title,,pl_PL,"Translation memory suggestions","Sugestie z pamięci tłumaczeń",0,"Sugestie z pamięci tłumaczeń"
admin,menu.admin_menu,,pl_PL,"Admin menu","Menu admina",0,"Menu admina"
admin,menu.blog,,pl_PL,Blog,Blog,0,Blog
admin,menu.cli_runner,,pl_PL,"CLI Runner","Uruchamianie CLI",0,"Uruchamianie CLI"
admin,menu.custom_menu,,pl_PL,"Custom menu","Menu niestandardowe",0,"Menu niestandardowe"
admin,menu.email_outbox,,pl_PL,"Email outbox","Skrzynka wychodząca email",0,"Skrzynka wychodząca email"
admin,menu.home,,pl_PL,"Admin home","Strona główna admina",0,"Strona główna admina"
admin,menu.import_export,,pl_PL,"Import / Export","Import / Eksport",0,"Import / Eksport"
admin,menu.mcp_tokens,,pl_PL,"MCP tokens","Tokeny MCP",0,"Tokeny MCP"
admin,menu.phpinfo,,pl_PL,PHPinfo,PHPinfo,0,PHPinfo
admin,menu.resource_tree,,pl_PL,"Website structure","Struktura strony",0,"Struktura strony"
admin,menu.roles,,pl_PL,Roles,Role,0,Role
admin,menu.runtime_diagnostics,,pl_PL,"Runtime diagnostics","Diagnostyka środowiska",0,"Diagnostyka środowiska"
admin,menu.section.administration,,pl_PL,Administration,Administracja,0,Administracja
admin,menu.section.configuration,,pl_PL,Configuration,Konfiguracja,0,Konfiguracja
admin,menu.section.content,,pl_PL,Content,Treść,0,Treść
admin,menu.section.developer_tools,,pl_PL,"Developer tools","Narzędzia deweloperskie",0,"Narzędzia deweloperskie"
admin,menu.template_engines,,pl_PL,"Template engines","Silniki szablonów",0,"Silniki szablonów"
admin,menu.theme_selector,,pl_PL,"Theme selection","Wybór motywu",0,"Wybór motywu"
admin,menu.translations,,pl_PL,Translations,Tłumaczenia,0,Tłumaczenia
admin,menu.usergroups,,pl_PL,"User groups","Grupy użytkowników",0,"Grupy użytkowników"
admin,menu.widget_preview,,pl_PL,"Widget preview","Podgląd widgetu",0,"Podgląd widgetu"
cms,admin_dropdown.edit_mode,,pl_PL,"Edit mode","Tryb edycji",0,"Tryb edycji"
cms,admin_dropdown.edit_mode_off,,pl_PL,off,wył.,0,wył.
cms,admin_dropdown.edit_mode_on,,pl_PL,on,wł.,0,wł.
cms,admin_dropdown.seo,,pl_PL,SEO,SEO,0,SEO
cms,admin_dropdown.turn_edit_mode_off,,pl_PL,"Turn edit mode off","Wyłącz tryb edycji",0,"Wyłącz tryb edycji"
cms,admin_dropdown.turn_edit_mode_on,,pl_PL,"Turn edit mode on","Włącz tryb edycji",0,"Włącz tryb edycji"
cms,admin_menu.form.name,,pl_PL,"Admin menu administration","Zarządzanie menu admina",0,"Zarządzanie menu admina"
cms,admin_menu.form.title_create,,pl_PL,"Create admin menu item","Utwórz element menu admina",0,"Utwórz element menu admina"
cms,admin_menu.form.title_edit,,pl_PL,"Edit admin menu item","Edytuj element menu admina",0,"Edytuj element menu admina"
cms,edit,,pl_PL,Edit,Edytuj,0,Edytuj
cms,edit_mode.disabled,,pl_PL,"Edit mode disabled","Tryb edycji wyłączony",0,"Tryb edycji wyłączony"
cms,edit_mode.enabled,,pl_PL,"Edit mode enabled","Tryb edycji włączony",0,"Tryb edycji włączony"
cms,edit_mode.save_error,,pl_PL,"Error: Unable to save configuration","Błąd: nie udało się zapisać konfiguracji",0,"Błąd: nie udało się zapisać konfiguracji"
cms,error.login_page_missing,,pl_PL,"Login page not found - create it manually","Nie znaleziono strony logowania — utwórz ją ręcznie",0,"Nie znaleziono strony logowania — utwórz ją ręcznie"
cms,file.missing_ref_id,,pl_PL,"Missing file reference","Brak odwołania do pliku",0,"Brak odwołania do pliku"
cms,file.upload_error,,pl_PL,"Error: File upload failed","Błąd: przesyłanie pliku nie powiodło się",0,"Błąd: przesyłanie pliku nie powiodło się"
cms,file.uploaded,,pl_PL,"File uploaded","Plik przesłany",0,"Plik przesłany"
cms,file_upload.destination_path,,pl_PL,"Destination path","Ścieżka docelowa",0,"Ścieżka docelowa"
cms,file_upload.unknown_destination,,pl_PL,"Unknown destination path","Nieznana ścieżka docelowa",0,"Nieznana ścieżka docelowa"
cms,form.field.form_id.explanation,,pl_PL,"Select from the predefined forms","Wybierz z predefiniowanych formularzy",0,"Wybierz z predefiniowanych formularzy"
cms,form.field.form_id.label,,pl_PL,Form,Formularz,0,Formularz
cms,form.missing_widget_id,,pl_PL,"Widget ID is missing","Brakuje ID widgetu",0,"Brakuje ID widgetu"
cms,form.no_form_page_warning,,pl_PL,"Create at least one page with a blank form","Utwórz co najmniej jedną stronę z pustym formularzem",0,"Utwórz co najmniej jedną stronę z pustym formularzem"
cms,form.no_id,,pl_PL,"No form ID given","Nie podano ID formularza",0,"Nie podano ID formularza"
cms,form.settings_subtitle,,pl_PL,"Page: {page}","Strona: {page}",0,"Strona: {page}"
cms,library.folder,,pl_PL,Folder,Folder,0,Folder
cms,library.resource,,pl_PL,Resource,Zasób,0,Zasób
cms,library.unknown,,pl_PL,"Unknown library","Nieznana biblioteka",0,"Nieznana biblioteka"
cms,menu.delete_confirm,,pl_PL,"Are you sure you want to delete this menu item?","Czy na pewno chcesz usunąć ten element menu?",0,"Czy na pewno chcesz usunąć ten element menu?"
cms,menu.delete_failed,,pl_PL,"Delete failed","Usuwanie nie powiodło się",0,"Usuwanie nie powiodło się"
cms,menu.delete_forbidden,,pl_PL,"Menu item deletion is not allowed: {name}","Usuwanie elementu menu jest niedozwolone: {name}",0,"Usuwanie elementu menu jest niedozwolone: {name}"
cms,menu.delete_unknown_error,,pl_PL,"Error: An unknown error occurred while deleting the menu item","Błąd: podczas usuwania elementu menu wystąpił nieznany błąd",0,"Błąd: podczas usuwania elementu menu wystąpił nieznany błąd"
cms,menu.deleted,,pl_PL,"Menu item deleted: {name}","Usunięto element menu: {name}",0,"Usunięto element menu: {name}"
cms,menu.external_link,,pl_PL,"External link","Link zewnętrzny",0,"Link zewnętrzny"
cms,menu.field.node_name.label,,pl_PL,"Display text","Tekst wyświetlany",0,"Tekst wyświetlany"
cms,menu.field.page.explanation,,pl_PL,"Select the page this menu item points to","Wybierz stronę, na którą wskazuje ten element menu",0,"Wybierz stronę, na którą wskazuje ten element menu"
cms,menu.field.page.label,,pl_PL,Page,Strona,0,Strona
cms,menu.field.type.external,,pl_PL,"Points to external page","Wskazuje na stronę zewnętrzną",0,"Wskazuje na stronę zewnętrzną"
cms,menu.field.type.internal,,pl_PL,"Points to internal page","Wskazuje na stronę wewnętrzną",0,"Wskazuje na stronę wewnętrzną"
cms,menu.field.type.label,,pl_PL,"Link type","Typ linku",0,"Typ linku"
cms,menu.field.url.explanation,,pl_PL,"You can enter a custom URL (including mailto:// links)","Możesz wpisać niestandardowy URL (w tym linki mailto://)",0,"Możesz wpisać niestandardowy URL (w tym linki mailto://)"
cms,menu.field.url.label,,pl_PL,"Custom URL","Niestandardowy URL",0,"Niestandardowy URL"
cms,menu.form.name,,pl_PL,"Main menu item","Element menu głównego",0,"Element menu głównego"
