domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,pt-BR,Created,Created,0,Created
admin,email_outbox.col.id,,pt-BR,ID,ID,0,ID
admin,email_outbox.col.last_error,,pt-BR,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,pt-BR,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,pt-BR,Sent,Sent,0,Sent
admin,email_outbox.col.status,,pt-BR,Status,Status,0,Status
admin,email_outbox.col.subject,,pt-BR,Subject,Assunto,0,Assunto
admin,email_outbox.description,,pt-BR,"Read-only transactional email delivery history.","Histórico somente leitura de entrega de emails transacionais.",0,"Histórico somente leitura de entrega de emails transacionais."
admin,email_outbox.failures.title,,pt-BR,"Recent dead letters","Mensagens não entregues recentes",0,"Mensagens não entregues recentes"
admin,email_outbox.filters.apply,,pt-BR,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,pt-BR,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,pt-BR,Search,Pesquisar,0,Pesquisar
admin,email_outbox.filters.search_placeholder,,pt-BR,"Subject, message UID, or recipient email","Assunto, UID da mensagem ou email do destinatário",0,"Assunto, UID da mensagem ou email do destinatário"
admin,email_outbox.filters.status,,pt-BR,Status,Status,0,Status
admin,email_outbox.filters.title,,pt-BR,Filters,Filters,0,Filters
admin,email_outbox.list.title,,pt-BR,"Recent outbox entries","Entradas recentes da caixa de saída",0,"Entradas recentes da caixa de saída"
admin,email_outbox.none,,pt-BR,"No emails match the current filter.","Nenhum email corresponde ao filtro atual.",0,"Nenhum email corresponde ao filtro atual."
admin,email_outbox.pagination.page,,pt-BR,Page,Página,0,Página
admin,email_outbox.status.all,,pt-BR,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,pt-BR,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,pt-BR,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,pt-BR,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,pt-BR,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,pt-BR,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,pt-BR,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,pt-BR,"Email outbox","Caixa de saída de email",0,"Caixa de saída de email"
admin,email_queue.dead_letter,,pt-BR,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,pt-BR,"No email jobs are waiting right now.","Não há tarefas de email aguardando agora.",0,"Não há tarefas de email aguardando agora."
admin,email_queue.last_processed,,pt-BR,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,pt-BR,"Last seen","Last seen",0,"Last seen"
admin,email_queue.open_outbox,,pt-BR,"Open email outbox","Abrir caixa de saída de email",0,"Abrir caixa de saída de email"
