domain,key,context,locale,source_text,expected_text,human_reviewed,text
admin,email_outbox.col.created_at,,zh-Hans-CN,Created,Created,0,Created
admin,email_outbox.col.id,,zh-Hans-CN,ID,ID,0,ID
admin,email_outbox.col.last_error,,zh-Hans-CN,"Last error","Last error",0,"Last error"
admin,email_outbox.col.recipients,,zh-Hans-CN,Recipients,Recipients,0,Recipients
admin,email_outbox.col.sent_at,,zh-Hans-CN,Sent,Sent,0,Sent
admin,email_outbox.col.status,,zh-Hans-CN,Status,状态,0,状态
admin,email_outbox.col.subject,,zh-Hans-CN,Subject,主题,0,主题
admin,email_outbox.description,,zh-Hans-CN,"Read-only transactional email delivery history.",只读的事务邮件投递历史。,0,只读的事务邮件投递历史。
admin,email_outbox.failures.title,,zh-Hans-CN,"Recent dead letters",最近的未投递邮件,0,最近的未投递邮件
admin,email_outbox.filters.apply,,zh-Hans-CN,"Apply filters","Apply filters",0,"Apply filters"
admin,email_outbox.filters.reset,,zh-Hans-CN,Reset,Reset,0,Reset
admin,email_outbox.filters.search,,zh-Hans-CN,Search,搜索,0,搜索
admin,email_outbox.filters.search_placeholder,,zh-Hans-CN,"Subject, message UID, or recipient email","主题、消息 UID 或收件人邮箱",0,"主题、消息 UID 或收件人邮箱"
admin,email_outbox.filters.status,,zh-Hans-CN,Status,状态,0,状态
admin,email_outbox.filters.title,,zh-Hans-CN,Filters,Filters,0,Filters
admin,email_outbox.list.title,,zh-Hans-CN,"Recent outbox entries",最近的发件箱记录,0,最近的发件箱记录
admin,email_outbox.none,,zh-Hans-CN,"No emails match the current filter.",没有邮件符合当前筛选条件。,0,没有邮件符合当前筛选条件。
admin,email_outbox.pagination.page,,zh-Hans-CN,Page,页面,0,页面
admin,email_outbox.status.all,,zh-Hans-CN,"All statuses","All statuses",0,"All statuses"
admin,email_outbox.status.failed,,zh-Hans-CN,Failed,Failed,0,Failed
admin,email_outbox.status.partial_failed,,zh-Hans-CN,"Partial failed","Partial failed",0,"Partial failed"
admin,email_outbox.status.processing,,zh-Hans-CN,Processing,Processing,0,Processing
admin,email_outbox.status.queued,,zh-Hans-CN,Queued,Queued,0,Queued
admin,email_outbox.status.sent,,zh-Hans-CN,Sent,Sent,0,Sent
admin,email_outbox.summary.title,,zh-Hans-CN,"Queue summary","Queue summary",0,"Queue summary"
admin,email_outbox.title,,zh-Hans-CN,"Email outbox",邮件发件箱,0,邮件发件箱
admin,email_queue.dead_letter,,zh-Hans-CN,"Dead letter","Dead letter",0,"Dead letter"
admin,email_queue.empty,,zh-Hans-CN,"No email jobs are waiting right now.",当前没有等待中的邮件任务。,0,当前没有等待中的邮件任务。
admin,email_queue.last_processed,,zh-Hans-CN,"Last processed","Last processed",0,"Last processed"
admin,email_queue.last_seen,,zh-Hans-CN,"Last seen","Last seen",0,"Last seen"
