domain,key,context,locale,source_text,expected_text,human_reviewed,text
cli_runner,title,,en_US,"CLI Command Runner","CLI Command Runner",0,"CLI Command Runner"
cli_runner,subtitle,,en_US,"Execute Radaptor CLI commands from the browser.","Execute Radaptor CLI commands from the browser.",0,"Execute Radaptor CLI commands from the browser."
cli_runner,select_command,,en_US,"Select a command from the list to get started.","Select a command from the list to get started.",0,"Select a command from the list to get started."
cli_runner,action.run,,en_US,"Run","Run",0,"Run"
cli_runner,action.confirm,,en_US,"Confirm & Run","Confirm & Run",0,"Confirm & Run"
cli_runner,action.clear,,en_US,"Clear","Clear",0,"Clear"
cli_runner,confirm.title,,en_US,"Confirm Command","Confirm Command",0,"Confirm Command"
cli_runner,confirm.message,,en_US,"This command will modify data or system state. Are you sure?","This command will modify data or system state. Are you sure?",0,"This command will modify data or system state. Are you sure?"
cli_runner,output.title,,en_US,"Output","Output",0,"Output"
cli_runner,output.empty,,en_US,"No output","No output",0,"No output"
cli_runner,output.running,,en_US,"Running command...","Running command...",0,"Running command..."
cli_runner,output.completed,,en_US,"Completed in {duration}ms","Completed in {duration}ms",0,"Completed in {duration}ms"
cli_runner,output.failed,,en_US,"Command failed (exit code {code})","Command failed (exit code {code})",0,"Command failed (exit code {code})"
cli_runner,output.timeout,,en_US,"Command timed out","Command timed out",0,"Command timed out"
cli_runner,category.build,,en_US,"Build","Build",0,"Build"
cli_runner,category.db,,en_US,"Database","Database",0,"Database"
cli_runner,category.emailqueue,,en_US,"Email Queue","Email Queue",0,"Email Queue"
cli_runner,category.form,,en_US,"Forms","Forms",0,"Forms"
cli_runner,category.i18n,,en_US,"Translations","Translations",0,"Translations"
cli_runner,category.migrate,,en_US,"Migrations","Migrations",0,"Migrations"
cli_runner,category.plugin,,en_US,"Plugins","Plugins",0,"Plugins"
cli_runner,category.role,,en_US,"Roles","Roles",0,"Roles"
cli_runner,category.user,,en_US,"Users","Users",0,"Users"
cli_runner,category.userconfig,,en_US,"User Config","User Config",0,"User Config"
cli_runner,category.usergroup,,en_US,"User Groups","User Groups",0,"User Groups"
cli_runner,category.webpage,,en_US,"Webpages","Webpages",0,"Webpages"
cli_runner,category.widget,,en_US,"Widgets","Widgets",0,"Widgets"
admin,menu.cli_runner,,en_US,"CLI Runner","CLI Runner",0,"CLI Runner"
widget,cli_runner.name,,en_US,"CLI Runner","CLI Runner",0,"CLI Runner"
widget,cli_runner.description,,en_US,"Run CLI commands from the admin panel.","Run CLI commands from the admin panel.",0,"Run CLI commands from the admin panel."
