domain,key,context,locale,source_text,expected_text,human_reviewed,text
cli_runner,title,,hu-HU,"CLI Command Runner","CLI parancs futtatás",0,"CLI parancs futtatás"
cli_runner,subtitle,,hu-HU,"Execute Radaptor CLI commands from the browser.","Radaptor CLI parancsok futtatása a böngészőből.",0,"Radaptor CLI parancsok futtatása a böngészőből."
cli_runner,select_command,,hu-HU,"Select a command from the list to get started.","Válassz egy parancsot a listából a kezdéshez.",0,"Válassz egy parancsot a listából a kezdéshez."
cli_runner,action.run,,hu-HU,"Run","Futtatás",0,"Futtatás"
cli_runner,action.confirm,,hu-HU,"Confirm & Run","Megerősítés és futtatás",0,"Megerősítés és futtatás"
cli_runner,action.clear,,hu-HU,"Clear","Törlés",0,"Törlés"
cli_runner,action.copy,,hu-HU,Copy,Másolás,0,Másolás
cli_runner,action.copied,,hu-HU,Copied,Másolva,0,Másolva
cli_runner,confirm.title,,hu-HU,"Confirm Command","Parancs megerősítése",0,"Parancs megerősítése"
cli_runner,confirm.message,,hu-HU,"This command will modify data or system state. Are you sure?","Ez a parancs adatokat vagy rendszerállapotot módosít. Biztosan futtatod?",0,"Ez a parancs adatokat vagy rendszerállapotot módosít. Biztosan futtatod?"
cli_runner,output.title,,hu-HU,"Output","Kimenet",0,"Kimenet"
cli_runner,output.empty,,hu-HU,"No output","Nincs kimenet",0,"Nincs kimenet"
cli_runner,output.running,,hu-HU,"Running command...","Parancs futtatása...",0,"Parancs futtatása..."
cli_runner,output.completed,,hu-HU,"Completed in {duration}ms","Kész {duration}ms alatt",0,"Kész {duration}ms alatt"
cli_runner,output.failed,,hu-HU,"Command failed (exit code {code})","Parancs sikertelen (kilépési kód: {code})",0,"Parancs sikertelen (kilépési kód: {code})"
cli_runner,output.timeout,,hu-HU,"Command timed out","Parancs időtúllépés",0,"Parancs időtúllépés"
cli_runner,category.build,,hu-HU,"Build","Build",0,"Build"
cli_runner,category.db,,hu-HU,"Database","Adatbázis",0,"Adatbázis"
cli_runner,category.emailqueue,,hu-HU,"Email Queue","E-mail sor",0,"E-mail sor"
cli_runner,category.form,,hu-HU,"Forms","Űrlapok",0,"Űrlapok"
cli_runner,category.i18n,,hu-HU,"Translations","Fordítások",0,"Fordítások"
cli_runner,category.migrate,,hu-HU,"Migrations","Migrációk",0,"Migrációk"
cli_runner,category.plugin,,hu-HU,"Plugins","Pluginok",0,"Pluginok"
cli_runner,category.role,,hu-HU,"Roles","Szerepek",0,"Szerepek"
cli_runner,category.site,,hu-HU,"Site","Weboldal",0,"Weboldal"
cli_runner,category.user,,hu-HU,"Users","Felhasználók",0,"Felhasználók"
cli_runner,category.userconfig,,hu-HU,"User Config","Felhasználó konfiguráció",0,"Felhasználó konfiguráció"
cli_runner,category.usergroup,,hu-HU,"User Groups","Felhasználócsoportok",0,"Felhasználócsoportok"
cli_runner,category.webpage,,hu-HU,"Webpages","Weboldalak",0,"Weboldalak"
cli_runner,category.widget,,hu-HU,"Widgets","Widgetek",0,"Widgetek"
