domain,key,context,locale,source_text,expected_text,human_reviewed,text
cli_runner,title,,it_IT,"CLI Command Runner","Esecutore comandi CLI",0,"Esecutore comandi CLI"
cli_runner,subtitle,,it_IT,"Execute Radaptor CLI commands from the browser.","Esegui comandi CLI di Radaptor dal browser.",0,"Esegui comandi CLI di Radaptor dal browser."
cli_runner,select_command,,it_IT,"Select a command from the list to get started.","Seleziona un comando dall’elenco per iniziare.",0,"Seleziona un comando dall’elenco per iniziare."
cli_runner,action.run,,it_IT,Run,Esegui,0,Esegui
cli_runner,action.confirm,,it_IT,"Confirm & Run","Conferma ed esegui",0,"Conferma ed esegui"
cli_runner,action.clear,,it_IT,Clear,Pulisci,0,Pulisci
cli_runner,confirm.title,,it_IT,"Confirm Command","Conferma comando",0,"Conferma comando"
cli_runner,confirm.message,,it_IT,"This command will modify data or system state. Are you sure?","Questo comando modificherà dati o stato del sistema. Sei sicuro?",0,"Questo comando modificherà dati o stato del sistema. Sei sicuro?"
cli_runner,output.title,,it_IT,Output,Output,0,Output
cli_runner,output.empty,,it_IT,"No output","Nessun output",0,"Nessun output"
cli_runner,output.running,,it_IT,"Running command...","Comando in esecuzione...",0,"Comando in esecuzione..."
cli_runner,output.completed,,it_IT,"Completed in {duration}ms","Completato in {duration}ms",0,"Completato in {duration}ms"
cli_runner,output.failed,,it_IT,"Command failed (exit code {code})","Comando non riuscito (codice di uscita {code})",0,"Comando non riuscito (codice di uscita {code})"
cli_runner,output.timeout,,it_IT,"Command timed out","Timeout del comando",0,"Timeout del comando"
cli_runner,category.build,,it_IT,Build,Build,0,Build
cli_runner,category.db,,it_IT,Database,Database,0,Database
cli_runner,category.emailqueue,,it_IT,"Email Queue","Coda email",0,"Coda email"
cli_runner,category.form,,it_IT,Forms,Moduli,0,Moduli
cli_runner,category.i18n,,it_IT,Translations,Traduzioni,0,Traduzioni
cli_runner,category.migrate,,it_IT,Migrations,Migrazioni,0,Migrazioni
cli_runner,category.plugin,,it_IT,Plugins,Plugin,0,Plugin
cli_runner,category.role,,it_IT,Roles,Ruoli,0,Ruoli
cli_runner,category.site,,it_IT,Site,Sito,0,Sito
cli_runner,category.user,,it_IT,Users,Utenti,0,Utenti
cli_runner,category.userconfig,,it_IT,"User Config","Configurazione utente",0,"Configurazione utente"
cli_runner,category.usergroup,,it_IT,"User Groups","Gruppi utenti",0,"Gruppi utenti"
cli_runner,category.webpage,,it_IT,Webpages,"Pagine web",0,"Pagine web"
cli_runner,category.widget,,it_IT,Widgets,Widget,0,Widget
