domain,key,context,locale,source_text,expected_text,human_reviewed,text
cli_runner,title,,pt_BR,"CLI Command Runner","Executor de comandos CLI",0,"Executor de comandos CLI"
cli_runner,subtitle,,pt_BR,"Execute Radaptor CLI commands from the browser.","Execute comandos CLI do Radaptor pelo navegador.",0,"Execute comandos CLI do Radaptor pelo navegador."
cli_runner,select_command,,pt_BR,"Select a command from the list to get started.","Selecione um comando na lista para começar.",0,"Selecione um comando na lista para começar."
cli_runner,action.run,,pt_BR,Run,Executar,0,Executar
cli_runner,action.confirm,,pt_BR,"Confirm & Run","Confirmar e executar",0,"Confirmar e executar"
cli_runner,action.clear,,pt_BR,Clear,Limpar,0,Limpar
cli_runner,confirm.title,,pt_BR,"Confirm Command","Confirmar comando",0,"Confirmar comando"
cli_runner,confirm.message,,pt_BR,"This command will modify data or system state. Are you sure?","Este comando modificará dados ou o estado do sistema. Tem certeza?",0,"Este comando modificará dados ou o estado do sistema. Tem certeza?"
cli_runner,output.title,,pt_BR,Output,Saída,0,Saída
cli_runner,output.empty,,pt_BR,"No output","Sem saída",0,"Sem saída"
cli_runner,output.running,,pt_BR,"Running command...","Executando comando...",0,"Executando comando..."
cli_runner,output.completed,,pt_BR,"Completed in {duration}ms","Concluído em {duration}ms",0,"Concluído em {duration}ms"
cli_runner,output.failed,,pt_BR,"Command failed (exit code {code})","Comando falhou (código de saída {code})",0,"Comando falhou (código de saída {code})"
cli_runner,output.timeout,,pt_BR,"Command timed out","Tempo do comando esgotado",0,"Tempo do comando esgotado"
cli_runner,category.build,,pt_BR,Build,Build,0,Build
cli_runner,category.db,,pt_BR,Database,"Banco de dados",0,"Banco de dados"
cli_runner,category.emailqueue,,pt_BR,"Email Queue","Fila de e-mail",0,"Fila de e-mail"
cli_runner,category.form,,pt_BR,Forms,Formulários,0,Formulários
cli_runner,category.i18n,,pt_BR,Translations,Traduções,0,Traduções
cli_runner,category.migrate,,pt_BR,Migrations,Migrações,0,Migrações
cli_runner,category.plugin,,pt_BR,Plugins,Plugins,0,Plugins
cli_runner,category.role,,pt_BR,Roles,Papéis,0,Papéis
cli_runner,category.site,,pt_BR,Site,Site,0,Site
cli_runner,category.user,,pt_BR,Users,Usuários,0,Usuários
cli_runner,category.userconfig,,pt_BR,"User Config","Configuração do usuário",0,"Configuração do usuário"
cli_runner,category.usergroup,,pt_BR,"User Groups","Grupos de usuários",0,"Grupos de usuários"
cli_runner,category.webpage,,pt_BR,Webpages,"Páginas web",0,"Páginas web"
cli_runner,category.widget,,pt_BR,Widgets,Widgets,0,Widgets
