domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,de_DE,Admin menu item,Admin-Menüelement,0,Admin-Menüelement
form,admin_menu_item.name,,de_DE,Admin menu item,Admin-Menüelement,0,Admin-Menüelement
form,blog.description,,de_DE,Blog post,Blogbeitrag,0,Blogbeitrag
form,blog.name,,de_DE,Blog post,Blogbeitrag,0,Blogbeitrag
form,close_page.close_window,,de_DE,Close this window!,Dieses Fenster schließen!,0,Dieses Fenster schließen!
form,close_page.title,,de_DE,Close page,Seite schließen,0,Seite schließen
form,form_settings.description,,de_DE,Select which form to display,"Wählen Sie, welches Formular angezeigt werden soll",0,"Wählen Sie, welches Formular angezeigt werden soll"
form,form_settings.name,,de_DE,Form settings,Formulareinstellungen,0,Formulareinstellungen
form,form_settings.title,,de_DE,Select form,Formular auswählen,0,Formular auswählen
form,js_tree_settings.description,,de_DE,Select which tree to display,"Wählen Sie, welche Baumstruktur angezeigt werden soll",0,"Wählen Sie, welche Baumstruktur angezeigt werden soll"
form,js_tree_settings.name,,de_DE,Tree settings,Baumstruktureinstellungen,0,Baumstruktureinstellungen
form,js_tree_settings.title,,de_DE,Select tree,Baumstruktur auswählen,0,Baumstruktur auswählen
form,main_menu_item.description,,de_DE,Main menu item,Hauptmenüelement,0,Hauptmenüelement
form,main_menu_item.name,,de_DE,Main menu item,Hauptmenüelement,0,Hauptmenüelement
form,plain_html.description,,de_DE,HTML code (embed),HTML-Code (Einbettung),0,HTML-Code (Einbettung)
form,plain_html.name,,de_DE,HTML code (embed),HTML-Code (Einbettung),0,HTML-Code (Einbettung)
form,rich_text_select.description,,de_DE,Select text content,Textinhalt auswählen,0,Textinhalt auswählen
form,rich_text_select.name,,de_DE,Select text content,Textinhalt auswählen,0,Textinhalt auswählen
form,rich_text.description,,de_DE,Text content,Textinhalt,0,Textinhalt
form,rich_text.name,,de_DE,Text content,Textinhalt,0,Textinhalt
form,role.description,,de_DE,Role,Rolle,0,Rolle
form,role.name,,de_DE,Role,Rolle,0,Rolle
form,tag.description,,de_DE,Tag,Tag,0,Tag
form,tag.name,,de_DE,Tag,Tag,0,Tag
form,theme_selector.description,,de_DE,Select which theme renders each layout,"Wählen Sie, welches Design jedes Layout rendert",0,"Wählen Sie, welches Design jedes Layout rendert"
form,theme_selector.name,,de_DE,Theme selection,Designauswahl,0,Designauswahl
form,theme_selector.title,,de_DE,Select themes for layouts,Designs für Layouts auswählen,0,Designs für Layouts auswählen
form,ticket_priority.description,,de_DE,Ticket priority,Ticket-Priorität,0,Ticket-Priorität
form,ticket_priority.name,,de_DE,Ticket priority,Ticket-Priorität,0,Ticket-Priorität
form,ticket_state.description,,de_DE,Ticket status,Ticket-Status,0,Ticket-Status
form,ticket_state.name,,de_DE,Ticket status,Ticket-Status,0,Ticket-Status
form,user_login.description,,de_DE,Login,Anmelden,0,Anmelden
form,user_login.name,,de_DE,Login,Anmelden,0,Anmelden
form,user_signup.description,,de_DE,Sign up,Registrieren,0,Registrieren
form,user_signup.name,,de_DE,Sign up,Registrieren,0,Registrieren
form,user.description,,de_DE,User,Benutzer,0,Benutzer
form,user.name,,de_DE,User,Benutzer,0,Benutzer
form,usergroup.description,,de_DE,User group,Benutzergruppe,0,Benutzergruppe
form,usergroup.name,,de_DE,User group,Benutzergruppe,0,Benutzergruppe
form,validation.max_length,,de_DE,Maximum {max} characters,Maximal {max} Zeichen,0,Maximal {max} Zeichen
form,validation.required,,de_DE,Required,Pflichtfeld,0,Pflichtfeld
form,webpage_domain.description,,de_DE,Domain properties,Domain-Eigenschaften,0,Domain-Eigenschaften
form,webpage_domain.name,,de_DE,Domain properties,Domain-Eigenschaften,0,Domain-Eigenschaften
form,webpage_file.description,,de_DE,File properties,Dateieigenschaften,0,Dateieigenschaften
form,webpage_file.name,,de_DE,File properties,Dateieigenschaften,0,Dateieigenschaften
form,webpage_folder.description,,de_DE,Website folder properties,Website-Ordner-Eigenschaften,0,Website-Ordner-Eigenschaften
form,webpage_folder.name,,de_DE,Website folder properties,Website-Ordner-Eigenschaften,0,Website-Ordner-Eigenschaften
form,webpage_from_path.description,,de_DE,Create webpage from path,Webseite aus Pfad erstellen,0,Webseite aus Pfad erstellen
form,webpage_from_path.name,,de_DE,Create webpage from path,Webseite aus Pfad erstellen,0,Webseite aus Pfad erstellen
form,webpage_page.description,,de_DE,Webpage properties,Webseiteneigenschaften,0,Webseiteneigenschaften
form,webpage_page.name,,de_DE,Webpage properties,Webseiteneigenschaften,0,Webseiteneigenschaften
form,widget_connection_params.description,,de_DE,Display settings for a content box,Anzeigeeinstellungen für einen Inhaltsbereich,0,Anzeigeeinstellungen für einen Inhaltsbereich
form,widget_connection_params.name,,de_DE,Content box display settings,Inhaltsbereich-Anzeigeeinstellungen,0,Inhaltsbereich-Anzeigeeinstellungen
form,widget_connection_settings.description,,de_DE,Configure width and row placement for the content box,Breite und Zeilenplatzierung für den Inhaltsbereich konfigurieren,0,Breite und Zeilenplatzierung für den Inhaltsbereich konfigurieren
form,widget_connection_settings.name,,de_DE,Content formatting,Inhaltsformatierung,0,Inhaltsformatierung
form,widget_connection_settings.title,,de_DE,Content formatting,Inhaltsformatierung,0,Inhaltsformatierung
