domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,en_US,"Admin menu item","Admin menu item",0,"Admin menu item"
form,admin_menu_item.name,,en_US,"Admin menu item","Admin menu item",0,"Admin menu item"
form,blog.description,,en_US,"Blog post","Blog post",0,"Blog post"
form,blog.name,,en_US,"Blog post","Blog post",0,"Blog post"
form,close_page.close_window,,en_US,"Close this window!","Close this window!",0,"Close this window!"
form,close_page.title,,en_US,"Close page","Close page",0,"Close page"
form,company.description,,en_US,Company,Company,0,Company
form,company.name,,en_US,Company,Company,0,Company
form,contact_person.description,,en_US,"Contact person","Contact person",0,"Contact person"
form,contact_person.name,,en_US,"Contact person","Contact person",0,"Contact person"
form,form_settings.description,,en_US,"Select which form to display","Select which form to display",0,"Select which form to display"
form,form_settings.name,,en_US,"Form settings","Form settings",0,"Form settings"
form,form_settings.title,,en_US,"Select form","Select form",0,"Select form"
form,js_tree_settings.description,,en_US,"Select which tree to display","Select which tree to display",0,"Select which tree to display"
form,js_tree_settings.name,,en_US,"Tree settings","Tree settings",0,"Tree settings"
form,js_tree_settings.title,,en_US,"Select tree","Select tree",0,"Select tree"
form,main_menu_item.description,,en_US,"Main menu item","Main menu item",0,"Main menu item"
form,main_menu_item.name,,en_US,"Main menu item","Main menu item",0,"Main menu item"
form,plain_html.description,,en_US,"HTML code (embed)","HTML code (embed)",0,"HTML code (embed)"
form,plain_html.name,,en_US,"HTML code (embed)","HTML code (embed)",0,"HTML code (embed)"
form,project_state.description,,en_US,"Project status","Project status",0,"Project status"
form,project_state.name,,en_US,"Project status","Project status",0,"Project status"
form,project.description,,en_US,Project,Project,0,Project
form,project.name,,en_US,Project,Project,0,Project
form,rich_text_select.description,,en_US,"Select text content","Select text content",0,"Select text content"
form,rich_text_select.name,,en_US,"Select text content","Select text content",0,"Select text content"
form,rich_text.description,,en_US,"Text content","Text content",0,"Text content"
form,rich_text.name,,en_US,"Text content","Text content",0,"Text content"
form,role.description,,en_US,Role,Role,0,Role
form,role.name,,en_US,Role,Role,0,Role
form,tag.description,,en_US,Tag,Tag,0,Tag
form,tag.name,,en_US,Tag,Tag,0,Tag
form,theme_selector.description,,en_US,"Select which theme renders each layout","Select which theme renders each layout",0,"Select which theme renders each layout"
form,theme_selector.name,,en_US,"Theme selection","Theme selection",0,"Theme selection"
form,theme_selector.title,,en_US,"Select themes for layouts","Select themes for layouts",0,"Select themes for layouts"
form,ticket_priority.description,,en_US,"Ticket priority","Ticket priority",0,"Ticket priority"
form,ticket_priority.name,,en_US,"Ticket priority","Ticket priority",0,"Ticket priority"
form,ticket_state.description,,en_US,"Ticket status","Ticket status",0,"Ticket status"
form,ticket_state.name,,en_US,"Ticket status","Ticket status",0,"Ticket status"
form,ticket_type.description,,en_US,"Ticket type","Ticket type",0,"Ticket type"
form,ticket_type.name,,en_US,"Ticket type","Ticket type",0,"Ticket type"
form,ticket.description,,en_US,Ticket,Ticket,0,Ticket
form,ticket.name,,en_US,Ticket,Ticket,0,Ticket
form,time_tracker_entry.description,,en_US,"Time entry","Time entry",0,"Time entry"
form,time_tracker_entry.name,,en_US,"Time entry","Time entry",0,"Time entry"
form,user_login.description,,en_US,Login,Login,0,Login
form,user_login.name,,en_US,Login,Login,0,Login
form,user_signup.description,,en_US,"Sign up","Sign up",0,"Sign up"
form,user_signup.name,,en_US,"Sign up","Sign up",0,"Sign up"
form,user.description,,en_US,User,User,0,User
form,user.name,,en_US,User,User,0,User
form,usergroup.description,,en_US,"User group","User group",0,"User group"
form,usergroup.name,,en_US,"User group","User group",0,"User group"
form,validation.max_length,,en_US,"Maximum {max} characters","Maximum {max} characters",0,"Maximum {max} characters"
form,validation.required,,en_US,Required,Required,0,Required
form,webpage_domain.description,,en_US,"Domain properties","Domain properties",0,"Domain properties"
form,webpage_domain.name,,en_US,"Domain properties","Domain properties",0,"Domain properties"
form,webpage_file.description,,en_US,"File properties","File properties",0,"File properties"
form,webpage_file.name,,en_US,"File properties","File properties",0,"File properties"
form,webpage_folder.description,,en_US,"Website folder properties","Website folder properties",0,"Website folder properties"
form,webpage_folder.name,,en_US,"Website folder properties","Website folder properties",0,"Website folder properties"
form,webpage_from_path.description,,en_US,"Create webpage from path","Create webpage from path",0,"Create webpage from path"
form,webpage_from_path.name,,en_US,"Create webpage from path","Create webpage from path",0,"Create webpage from path"
form,webpage_page.description,,en_US,"Webpage properties","Webpage properties",0,"Webpage properties"
form,webpage_page.name,,en_US,"Webpage properties","Webpage properties",0,"Webpage properties"
form,widget_connection_params.description,,en_US,"Display settings for a content box","Display settings for a content box",0,"Display settings for a content box"
form,widget_connection_params.name,,en_US,"Content box display settings","Content box display settings",0,"Content box display settings"
form,widget_connection_settings.description,,en_US,"Configure width and row placement for the content box","Configure width and row placement for the content box",0,"Configure width and row placement for the content box"
form,widget_connection_settings.name,,en_US,"Content formatting","Content formatting",0,"Content formatting"
form,widget_connection_settings.title,,en_US,"Content formatting","Content formatting",0,"Content formatting"
