domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,fr_FR,Admin menu item,Élément du menu admin,0,Élément du menu admin
form,admin_menu_item.name,,fr_FR,Admin menu item,Élément du menu admin,0,Élément du menu admin
form,blog.description,,fr_FR,Blog post,Billet de blog,0,Billet de blog
form,blog.name,,fr_FR,Blog post,Billet de blog,0,Billet de blog
form,close_page.close_window,,fr_FR,Close this window!,Fermer cette fenêtre !,0,Fermer cette fenêtre !
form,close_page.title,,fr_FR,Close page,Fermer la page,0,Fermer la page
form,form_settings.description,,fr_FR,Select which form to display,Sélectionner quel formulaire afficher,0,Sélectionner quel formulaire afficher
form,form_settings.name,,fr_FR,Form settings,Paramètres du formulaire,0,Paramètres du formulaire
form,form_settings.title,,fr_FR,Select form,Sélectionner le formulaire,0,Sélectionner le formulaire
form,js_tree_settings.description,,fr_FR,Select which tree to display,Sélectionner quel arbre afficher,0,Sélectionner quel arbre afficher
form,js_tree_settings.name,,fr_FR,Tree settings,Paramètres de l'arbre,0,Paramètres de l'arbre
form,js_tree_settings.title,,fr_FR,Select tree,Sélectionner l'arbre,0,Sélectionner l'arbre
form,main_menu_item.description,,fr_FR,Main menu item,Élément du menu principal,0,Élément du menu principal
form,main_menu_item.name,,fr_FR,Main menu item,Élément du menu principal,0,Élément du menu principal
form,plain_html.description,,fr_FR,HTML code (embed),Code HTML (intégration),0,Code HTML (intégration)
form,plain_html.name,,fr_FR,HTML code (embed),Code HTML (intégration),0,Code HTML (intégration)
form,rich_text_select.description,,fr_FR,Select text content,Sélectionner le contenu textuel,0,Sélectionner le contenu textuel
form,rich_text_select.name,,fr_FR,Select text content,Sélectionner le contenu textuel,0,Sélectionner le contenu textuel
form,rich_text.description,,fr_FR,Text content,Contenu textuel,0,Contenu textuel
form,rich_text.name,,fr_FR,Text content,Contenu textuel,0,Contenu textuel
form,role.description,,fr_FR,Role,Rôle,0,Rôle
form,role.name,,fr_FR,Role,Rôle,0,Rôle
form,tag.description,,fr_FR,Tag,Étiquette,0,Étiquette
form,tag.name,,fr_FR,Tag,Étiquette,0,Étiquette
form,theme_selector.description,,fr_FR,Select which theme renders each layout,Sélectionner quel thème rend chaque mise en page,0,Sélectionner quel thème rend chaque mise en page
form,theme_selector.name,,fr_FR,Theme selection,Sélection du thème,0,Sélection du thème
form,theme_selector.title,,fr_FR,Select themes for layouts,Sélectionner les thèmes pour les mises en page,0,Sélectionner les thèmes pour les mises en page
form,ticket_priority.description,,fr_FR,Ticket priority,Priorité du ticket,0,Priorité du ticket
form,ticket_priority.name,,fr_FR,Ticket priority,Priorité du ticket,0,Priorité du ticket
form,ticket_state.description,,fr_FR,Ticket status,Statut du ticket,0,Statut du ticket
form,ticket_state.name,,fr_FR,Ticket status,Statut du ticket,0,Statut du ticket
form,user_login.description,,fr_FR,Login,Connexion,0,Connexion
form,user_login.name,,fr_FR,Login,Connexion,0,Connexion
form,user_signup.description,,fr_FR,Sign up,S'inscrire,0,S'inscrire
form,user_signup.name,,fr_FR,Sign up,S'inscrire,0,S'inscrire
form,user.description,,fr_FR,User,Utilisateur,0,Utilisateur
form,user.name,,fr_FR,User,Utilisateur,0,Utilisateur
form,usergroup.description,,fr_FR,User group,Groupe d'utilisateurs,0,Groupe d'utilisateurs
form,usergroup.name,,fr_FR,User group,Groupe d'utilisateurs,0,Groupe d'utilisateurs
form,validation.max_length,,fr_FR,Maximum {max} characters,Maximum {max} caractères,0,Maximum {max} caractères
form,validation.required,,fr_FR,Required,Obligatoire,0,Obligatoire
form,webpage_domain.description,,fr_FR,Domain properties,Propriétés du domaine,0,Propriétés du domaine
form,webpage_domain.name,,fr_FR,Domain properties,Propriétés du domaine,0,Propriétés du domaine
form,webpage_file.description,,fr_FR,File properties,Propriétés du fichier,0,Propriétés du fichier
form,webpage_file.name,,fr_FR,File properties,Propriétés du fichier,0,Propriétés du fichier
form,webpage_folder.description,,fr_FR,Website folder properties,Propriétés du dossier de site web,0,Propriétés du dossier de site web
form,webpage_folder.name,,fr_FR,Website folder properties,Propriétés du dossier de site web,0,Propriétés du dossier de site web
form,webpage_from_path.description,,fr_FR,Create webpage from path,Créer une page web depuis le chemin,0,Créer une page web depuis le chemin
form,webpage_from_path.name,,fr_FR,Create webpage from path,Créer une page web depuis le chemin,0,Créer une page web depuis le chemin
form,webpage_page.description,,fr_FR,Webpage properties,Propriétés de la page web,0,Propriétés de la page web
form,webpage_page.name,,fr_FR,Webpage properties,Propriétés de la page web,0,Propriétés de la page web
form,widget_connection_params.description,,fr_FR,Display settings for a content box,Paramètres d'affichage d'un bloc de contenu,0,Paramètres d'affichage d'un bloc de contenu
form,widget_connection_params.name,,fr_FR,Content box display settings,Paramètres d'affichage du bloc de contenu,0,Paramètres d'affichage du bloc de contenu
form,widget_connection_settings.description,,fr_FR,Configure width and row placement for the content box,Configurer la largeur et le placement en ligne du bloc de contenu,0,Configurer la largeur et le placement en ligne du bloc de contenu
form,widget_connection_settings.name,,fr_FR,Content formatting,Mise en forme du contenu,0,Mise en forme du contenu
form,widget_connection_settings.title,,fr_FR,Content formatting,Mise en forme du contenu,0,Mise en forme du contenu
