domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,hu_HU,"Admin menu item","Admin menü elem",0,"Admin menü elem"
form,admin_menu_item.name,,hu_HU,"Admin menu item","Admin menü elem",0,"Admin menü elem"
form,blog.description,,hu_HU,"Blog post",Blogbejegyzés,0,Blogbejegyzés
form,blog.name,,hu_HU,"Blog post",Blogbejegyzés,0,Blogbejegyzés
form,close_page.close_window,,hu_HU,"Close this window!","Zárd be ezt az ablakot!",0,"Zárd be ezt az ablakot!"
form,close_page.title,,hu_HU,"Close page","Bezáró oldal",0,"Bezáró oldal"
form,company.description,,hu_HU,Company,Cég,0,Cég
form,company.name,,hu_HU,Company,Cég,0,Cég
form,contact_person.description,,hu_HU,"Contact person",Kapcsolattartó,0,Kapcsolattartó
form,contact_person.name,,hu_HU,"Contact person",Kapcsolattartó,0,Kapcsolattartó
form,form_settings.description,,hu_HU,"Select which form to display","Válaszd ki, melyik űrlap jelenjen meg",0,"Válaszd ki, melyik űrlap jelenjen meg"
form,form_settings.name,,hu_HU,"Form settings","Űrlap beállításai",0,"Űrlap beállításai"
form,form_settings.title,,hu_HU,"Select form","Űrlap kiválasztása",0,"Űrlap kiválasztása"
form,js_tree_settings.description,,hu_HU,"Select which tree to display","Válaszd ki, melyik fa jelenjen meg",0,"Válaszd ki, melyik fa jelenjen meg"
form,js_tree_settings.name,,hu_HU,"Tree settings","Fa beállítások",0,"Fa beállítások"
form,js_tree_settings.title,,hu_HU,"Select tree","Fa kiválasztása",0,"Fa kiválasztása"
form,main_menu_item.description,,hu_HU,"Main menu item","Főmenü elem",0,"Főmenü elem"
form,main_menu_item.name,,hu_HU,"Main menu item","Főmenü elem",0,"Főmenü elem"
form,plain_html.description,,hu_HU,"HTML code (embed)","HTML kód (beágyazás)",0,"HTML kód (beágyazás)"
form,plain_html.name,,hu_HU,"HTML code (embed)","HTML kód (beágyazás)",0,"HTML kód (beágyazás)"
form,project_state.description,,hu_HU,"Project status","Projekt állapot",0,"Projekt állapot"
form,project_state.name,,hu_HU,"Project status","Projekt állapot",0,"Projekt állapot"
form,project.description,,hu_HU,Project,Projekt,0,Projekt
form,project.name,,hu_HU,Project,Projekt,0,Projekt
form,rich_text_select.description,,hu_HU,"Select text content","Szöveges tartalom kiválasztása",0,"Szöveges tartalom kiválasztása"
form,rich_text_select.name,,hu_HU,"Select text content","Szöveges tartalom kiválasztása",0,"Szöveges tartalom kiválasztása"
form,rich_text.description,,hu_HU,"Text content","Szöveges tartalom",0,"Szöveges tartalom"
