domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,it-IT,Admin menu item,Voce menu admin,0,Voce menu admin
form,admin_menu_item.name,,it-IT,Admin menu item,Voce menu admin,0,Voce menu admin
form,blog.description,,it-IT,Blog post,Articolo blog,0,Articolo blog
form,blog.name,,it-IT,Blog post,Articolo blog,0,Articolo blog
form,close_page.close_window,,it-IT,Close this window!,Chiudi questa finestra!,0,Chiudi questa finestra!
form,close_page.title,,it-IT,Close page,Chiudi pagina,0,Chiudi pagina
form,form_settings.description,,it-IT,Select which form to display,Seleziona quale modulo visualizzare,0,Seleziona quale modulo visualizzare
form,form_settings.name,,it-IT,Form settings,Impostazioni modulo,0,Impostazioni modulo
form,form_settings.title,,it-IT,Select form,Seleziona modulo,0,Seleziona modulo
form,js_tree_settings.description,,it-IT,Select which tree to display,Seleziona quale albero visualizzare,0,Seleziona quale albero visualizzare
form,js_tree_settings.name,,it-IT,Tree settings,Impostazioni albero,0,Impostazioni albero
form,js_tree_settings.title,,it-IT,Select tree,Seleziona albero,0,Seleziona albero
form,main_menu_item.description,,it-IT,Main menu item,Voce menu principale,0,Voce menu principale
form,main_menu_item.name,,it-IT,Main menu item,Voce menu principale,0,Voce menu principale
form,plain_html.description,,it-IT,HTML code (embed),Codice HTML (incorporato),0,Codice HTML (incorporato)
form,plain_html.name,,it-IT,HTML code (embed),Codice HTML (incorporato),0,Codice HTML (incorporato)
form,rich_text_select.description,,it-IT,Select text content,Seleziona contenuto testo,0,Seleziona contenuto testo
form,rich_text_select.name,,it-IT,Select text content,Seleziona contenuto testo,0,Seleziona contenuto testo
form,rich_text.description,,it-IT,Text content,Contenuto testo,0,Contenuto testo
form,rich_text.name,,it-IT,Text content,Contenuto testo,0,Contenuto testo
form,role.description,,it-IT,Role,Ruolo,0,Ruolo
form,role.name,,it-IT,Role,Ruolo,0,Ruolo
form,tag.description,,it-IT,Tag,Etichetta,0,Etichetta
form,tag.name,,it-IT,Tag,Etichetta,0,Etichetta
form,theme_selector.description,,it-IT,Select which theme renders each layout,Seleziona quale tema renderizza ogni layout,0,Seleziona quale tema renderizza ogni layout
form,theme_selector.name,,it-IT,Theme selection,Selezione tema,0,Selezione tema
form,theme_selector.title,,it-IT,Select themes for layouts,Seleziona temi per i layout,0,Seleziona temi per i layout
form,ticket_priority.description,,it-IT,Ticket priority,Priorità ticket,0,Priorità ticket
form,ticket_priority.name,,it-IT,Ticket priority,Priorità ticket,0,Priorità ticket
form,ticket_state.description,,it-IT,Ticket status,Stato ticket,0,Stato ticket
form,ticket_state.name,,it-IT,Ticket status,Stato ticket,0,Stato ticket
form,user_login.description,,it-IT,Login,Accedi,0,Accedi
form,user_login.name,,it-IT,Login,Accedi,0,Accedi
form,user_signup.description,,it-IT,Sign up,Registrati,0,Registrati
form,user_signup.name,,it-IT,Sign up,Registrati,0,Registrati
form,user.description,,it-IT,User,Utente,0,Utente
form,user.name,,it-IT,User,Utente,0,Utente
form,usergroup.description,,it-IT,User group,Gruppo utenti,0,Gruppo utenti
form,usergroup.name,,it-IT,User group,Gruppo utenti,0,Gruppo utenti
form,validation.max_length,,it-IT,Maximum {max} characters,Massimo {max} caratteri,0,Massimo {max} caratteri
form,validation.required,,it-IT,Required,Obbligatorio,0,Obbligatorio
form,webpage_domain.description,,it-IT,Domain properties,Proprietà dominio,0,Proprietà dominio
form,webpage_domain.name,,it-IT,Domain properties,Proprietà dominio,0,Proprietà dominio
form,webpage_file.description,,it-IT,File properties,Proprietà file,0,Proprietà file
form,webpage_file.name,,it-IT,File properties,Proprietà file,0,Proprietà file
form,webpage_folder.description,,it-IT,Website folder properties,Proprietà cartella sito web,0,Proprietà cartella sito web
form,webpage_folder.name,,it-IT,Website folder properties,Proprietà cartella sito web,0,Proprietà cartella sito web
form,webpage_from_path.description,,it-IT,Create webpage from path,Crea pagina web dal percorso,0,Crea pagina web dal percorso
form,webpage_from_path.name,,it-IT,Create webpage from path,Crea pagina web dal percorso,0,Crea pagina web dal percorso
form,webpage_page.description,,it-IT,Webpage properties,Proprietà pagina web,0,Proprietà pagina web
form,webpage_page.name,,it-IT,Webpage properties,Proprietà pagina web,0,Proprietà pagina web
form,widget_connection_params.description,,it-IT,Display settings for a content box,Impostazioni visualizzazione blocco contenuto,0,Impostazioni visualizzazione blocco contenuto
form,widget_connection_params.name,,it-IT,Content box display settings,Impostazioni visualizzazione blocco contenuto,0,Impostazioni visualizzazione blocco contenuto
form,widget_connection_settings.description,,it-IT,Configure width and row placement for the content box,Configura larghezza e posizione nella riga del blocco contenuto,0,Configura larghezza e posizione nella riga del blocco contenuto
form,widget_connection_settings.name,,it-IT,Content formatting,Formattazione contenuto,0,Formattazione contenuto
form,widget_connection_settings.title,,it-IT,Content formatting,Formattazione contenuto,0,Formattazione contenuto
form,closer.title,,it-IT,Closer page,Pagina di chiusura,0,Pagina di chiusura
form,closer.close_window,,it-IT,Close this window!,Chiudi questa finestra!,0,Chiudi questa finestra!
