domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,it_IT,"Admin menu item","Voce menu admin",0,"Voce menu admin"
form,admin_menu_item.name,,it_IT,"Admin menu item","Voce menu admin",0,"Voce menu admin"
form,blog.description,,it_IT,"Blog post","Articolo blog",0,"Articolo blog"
form,blog.name,,it_IT,"Blog post","Articolo blog",0,"Articolo blog"
form,close_page.close_window,,it_IT,"Close this window!","Chiudi questa finestra!",0,"Chiudi questa finestra!"
form,close_page.title,,it_IT,"Close page","Chiudi pagina",0,"Chiudi pagina"
form,company.description,,it_IT,Company,Azienda,0,Azienda
form,company.name,,it_IT,Company,Azienda,0,Azienda
form,contact_person.description,,it_IT,"Contact person","Persona di contatto",0,"Persona di contatto"
form,contact_person.name,,it_IT,"Contact person","Persona di contatto",0,"Persona di contatto"
form,form_settings.description,,it_IT,"Select which form to display","Seleziona quale modulo visualizzare",0,"Seleziona quale modulo visualizzare"
form,form_settings.name,,it_IT,"Form settings","Impostazioni modulo",0,"Impostazioni modulo"
form,form_settings.title,,it_IT,"Select form","Seleziona modulo",0,"Seleziona modulo"
form,js_tree_settings.description,,it_IT,"Select which tree to display","Seleziona quale albero visualizzare",0,"Seleziona quale albero visualizzare"
form,js_tree_settings.name,,it_IT,"Tree settings","Impostazioni albero",0,"Impostazioni albero"
form,js_tree_settings.title,,it_IT,"Select tree","Seleziona albero",0,"Seleziona albero"
form,main_menu_item.description,,it_IT,"Main menu item","Voce menu principale",0,"Voce menu principale"
form,main_menu_item.name,,it_IT,"Main menu item","Voce menu principale",0,"Voce menu principale"
form,plain_html.description,,it_IT,"HTML code (embed)","Codice HTML (incorporato)",0,"Codice HTML (incorporato)"
form,plain_html.name,,it_IT,"HTML code (embed)","Codice HTML (incorporato)",0,"Codice HTML (incorporato)"
form,project_state.description,,it_IT,"Project status","Stato progetto",0,"Stato progetto"
form,project_state.name,,it_IT,"Project status","Stato progetto",0,"Stato progetto"
form,project.description,,it_IT,Project,Progetto,0,Progetto
form,project.name,,it_IT,Project,Progetto,0,Progetto
form,rich_text_select.description,,it_IT,"Select text content","Seleziona contenuto testo",0,"Seleziona contenuto testo"
form,rich_text_select.name,,it_IT,"Select text content","Seleziona contenuto testo",0,"Seleziona contenuto testo"
form,rich_text.description,,it_IT,"Text content","Contenuto testo",0,"Contenuto testo"
form,rich_text.name,,it_IT,"Text content","Contenuto testo",0,"Contenuto testo"
form,role.description,,it_IT,Role,Ruolo,0,Ruolo
form,role.name,,it_IT,Role,Ruolo,0,Ruolo
form,tag.description,,it_IT,Tag,Etichetta,0,Etichetta
form,tag.name,,it_IT,Tag,Etichetta,0,Etichetta
