domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
form,admin_menu_item.description,,pt-BR,"Admin menu item","Item do menu de administração",0,0,"Item do menu de administração"
form,admin_menu_item.name,,pt-BR,"Admin menu item","Item do menu de administração",0,0,"Item do menu de administração"
form,blog.description,,pt-BR,"Blog post","Publicação do blog",0,0,"Publicação do blog"
form,blog.name,,pt-BR,"Blog post","Publicação do blog",0,0,"Publicação do blog"
form,close_page.close_window,,pt-BR,"Close this window!","Fechar esta janela!",0,0,"Fechar esta janela!"
form,close_page.title,,pt-BR,"Close page","Fechar página",0,0,"Fechar página"
form,form_settings.description,,pt-BR,"Select which form to display","Selecionar qual formulário exibir",0,0,"Selecionar qual formulário exibir"
form,form_settings.name,,pt-BR,"Form settings","Configurações do formulário",0,0,"Configurações do formulário"
form,form_settings.title,,pt-BR,"Select form","Selecionar formulário",0,0,"Selecionar formulário"
form,js_tree_settings.description,,pt-BR,"Select which tree to display","Selecionar qual árvore exibir",0,0,"Selecionar qual árvore exibir"
form,js_tree_settings.name,,pt-BR,"Tree settings","Configurações da árvore",0,0,"Configurações da árvore"
form,js_tree_settings.title,,pt-BR,"Select tree","Selecionar árvore",0,0,"Selecionar árvore"
form,main_menu_item.description,,pt-BR,"Main menu item","Item do menu principal",0,0,"Item do menu principal"
form,main_menu_item.name,,pt-BR,"Main menu item","Item do menu principal",0,0,"Item do menu principal"
form,plain_html.description,,pt-BR,"HTML code (embed)","Código HTML (incorporado)",0,0,"Código HTML (incorporado)"
form,plain_html.name,,pt-BR,"HTML code (embed)","Código HTML (incorporado)",0,0,"Código HTML (incorporado)"
form,rich_text_select.description,,pt-BR,"Select text content","Selecionar conteúdo de texto",0,0,"Selecionar conteúdo de texto"
form,rich_text_select.name,,pt-BR,"Select text content","Selecionar conteúdo de texto",0,0,"Selecionar conteúdo de texto"
form,rich_text.description,,pt-BR,"Text content","Conteúdo de texto",0,0,"Conteúdo de texto"
form,rich_text.name,,pt-BR,"Text content","Conteúdo de texto",0,0,"Conteúdo de texto"
form,role.description,,pt-BR,Role,Papel,0,0,Papel
form,role.name,,pt-BR,Role,Papel,0,0,Papel
form,tag.description,,pt-BR,Tag,Etiqueta,0,0,Etiqueta
form,tag.name,,pt-BR,Tag,Etiqueta,0,0,Etiqueta
form,theme_selector.description,,pt-BR,"Select which theme renders each layout","Selecionar qual tema renderiza cada layout",0,0,"Selecionar qual tema renderiza cada layout"
form,theme_selector.name,,pt-BR,"Theme selection","Seleção de tema",0,0,"Seleção de tema"
form,theme_selector.title,,pt-BR,"Select themes for layouts","Selecionar temas para os layouts",0,0,"Selecionar temas para os layouts"
form,ticket_priority.description,,pt-BR,"Ticket priority","Prioridade do ticket",0,0,"Prioridade do ticket"
form,ticket_priority.name,,pt-BR,"Ticket priority","Prioridade do ticket",0,0,"Prioridade do ticket"
form,ticket_state.description,,pt-BR,"Ticket status","Status do ticket",0,0,"Status do ticket"
form,ticket_state.name,,pt-BR,"Ticket status","Status do ticket",0,0,"Status do ticket"
form,user_login.description,,pt-BR,Login,Entrar,0,0,Entrar
form,user_login.name,,pt-BR,Login,Entrar,0,0,Entrar
form,user_signup.description,,pt-BR,"Sign up",Cadastrar-se,0,0,Cadastrar-se
form,user_signup.name,,pt-BR,"Sign up",Cadastrar-se,0,0,Cadastrar-se
form,user.description,,pt-BR,User,Usuário,0,0,Usuário
form,user.name,,pt-BR,User,Usuário,0,0,Usuário
form,usergroup.description,,pt-BR,"User group","Grupo de usuários",0,0,"Grupo de usuários"
form,usergroup.name,,pt-BR,"User group","Grupo de usuários",0,0,"Grupo de usuários"
form,validation.max_length,,pt-BR,"Maximum {max} characters","Máximo de {max} caracteres",0,0,"Máximo de {max} caracteres"
form,validation.required,,pt-BR,Required,Obrigatório,0,0,Obrigatório
form,webpage_domain.description,,pt-BR,"Domain properties","Propriedades do domínio",0,0,"Propriedades do domínio"
form,webpage_domain.name,,pt-BR,"Domain properties","Propriedades do domínio",0,0,"Propriedades do domínio"
form,webpage_file.description,,pt-BR,"File properties","Propriedades do arquivo",0,0,"Propriedades do arquivo"
form,webpage_file.name,,pt-BR,"File properties","Propriedades do arquivo",0,0,"Propriedades do arquivo"
form,webpage_folder.description,,pt-BR,"Website folder properties","Propriedades da pasta do site",0,0,"Propriedades da pasta do site"
form,webpage_folder.name,,pt-BR,"Website folder properties","Propriedades da pasta do site",0,0,"Propriedades da pasta do site"
form,webpage_from_path.description,,pt-BR,"Create webpage from path","Criar página web a partir do caminho",0,0,"Criar página web a partir do caminho"
form,webpage_from_path.name,,pt-BR,"Create webpage from path","Criar página web a partir do caminho",0,0,"Criar página web a partir do caminho"
form,webpage_page.description,,pt-BR,"Webpage properties","Propriedades da página web",0,0,"Propriedades da página web"
form,webpage_page.name,,pt-BR,"Webpage properties","Propriedades da página web",0,0,"Propriedades da página web"
form,widget_connection_params.description,,pt-BR,"Display settings for a content box","Configurações de exibição de um bloco de conteúdo",0,0,"Configurações de exibição de um bloco de conteúdo"
form,widget_connection_params.name,,pt-BR,"Content box display settings","Configurações de exibição do bloco de conteúdo",0,0,"Configurações de exibição do bloco de conteúdo"
form,widget_connection_settings.description,,pt-BR,"Configure width and row placement for the content box","Configurar largura e posição na linha do bloco de conteúdo",0,0,"Configurar largura e posição na linha do bloco de conteúdo"
form,widget_connection_settings.name,,pt-BR,"Content formatting","Formatação do conteúdo",0,0,"Formatação do conteúdo"
form,widget_connection_settings.title,,pt-BR,"Content formatting","Formatação do conteúdo",0,0,"Formatação do conteúdo"
form,closer.title,,pt-BR,"Closer page","Página de fechamento",0,0,"Página de fechamento"
form,closer.close_window,,pt-BR,"Close this window!","Feche esta janela!",0,0,"Feche esta janela!"
