domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,pt_BR,Admin menu item,Item do menu de administração,0,Item do menu de administração
form,admin_menu_item.name,,pt_BR,Admin menu item,Item do menu de administração,0,Item do menu de administração
form,blog.description,,pt_BR,Blog post,Publicação do blog,0,Publicação do blog
form,blog.name,,pt_BR,Blog post,Publicação do blog,0,Publicação do blog
form,close_page.close_window,,pt_BR,Close this window!,Fechar esta janela!,0,Fechar esta janela!
form,close_page.title,,pt_BR,Close page,Fechar página,0,Fechar página
form,form_settings.description,,pt_BR,Select which form to display,Selecionar qual formulário exibir,0,Selecionar qual formulário exibir
form,form_settings.name,,pt_BR,Form settings,Configurações do formulário,0,Configurações do formulário
form,form_settings.title,,pt_BR,Select form,Selecionar formulário,0,Selecionar formulário
form,js_tree_settings.description,,pt_BR,Select which tree to display,Selecionar qual árvore exibir,0,Selecionar qual árvore exibir
form,js_tree_settings.name,,pt_BR,Tree settings,Configurações da árvore,0,Configurações da árvore
form,js_tree_settings.title,,pt_BR,Select tree,Selecionar árvore,0,Selecionar árvore
form,main_menu_item.description,,pt_BR,Main menu item,Item do menu principal,0,Item do menu principal
form,main_menu_item.name,,pt_BR,Main menu item,Item do menu principal,0,Item do menu principal
form,plain_html.description,,pt_BR,HTML code (embed),Código HTML (incorporado),0,Código HTML (incorporado)
form,plain_html.name,,pt_BR,HTML code (embed),Código HTML (incorporado),0,Código HTML (incorporado)
form,rich_text_select.description,,pt_BR,Select text content,Selecionar conteúdo de texto,0,Selecionar conteúdo de texto
form,rich_text_select.name,,pt_BR,Select text content,Selecionar conteúdo de texto,0,Selecionar conteúdo de texto
form,rich_text.description,,pt_BR,Text content,Conteúdo de texto,0,Conteúdo de texto
form,rich_text.name,,pt_BR,Text content,Conteúdo de texto,0,Conteúdo de texto
form,role.description,,pt_BR,Role,Papel,0,Papel
form,role.name,,pt_BR,Role,Papel,0,Papel
form,tag.description,,pt_BR,Tag,Etiqueta,0,Etiqueta
form,tag.name,,pt_BR,Tag,Etiqueta,0,Etiqueta
form,theme_selector.description,,pt_BR,Select which theme renders each layout,Selecionar qual tema renderiza cada layout,0,Selecionar qual tema renderiza cada layout
form,theme_selector.name,,pt_BR,Theme selection,Seleção de tema,0,Seleção de tema
form,theme_selector.title,,pt_BR,Select themes for layouts,Selecionar temas para os layouts,0,Selecionar temas para os layouts
form,ticket_priority.description,,pt_BR,Ticket priority,Prioridade do ticket,0,Prioridade do ticket
form,ticket_priority.name,,pt_BR,Ticket priority,Prioridade do ticket,0,Prioridade do ticket
form,ticket_state.description,,pt_BR,Ticket status,Status do ticket,0,Status do ticket
form,ticket_state.name,,pt_BR,Ticket status,Status do ticket,0,Status do ticket
form,user_login.description,,pt_BR,Login,Entrar,0,Entrar
form,user_login.name,,pt_BR,Login,Entrar,0,Entrar
form,user_signup.description,,pt_BR,Sign up,Cadastrar-se,0,Cadastrar-se
form,user_signup.name,,pt_BR,Sign up,Cadastrar-se,0,Cadastrar-se
form,user.description,,pt_BR,User,Usuário,0,Usuário
form,user.name,,pt_BR,User,Usuário,0,Usuário
form,usergroup.description,,pt_BR,User group,Grupo de usuários,0,Grupo de usuários
form,usergroup.name,,pt_BR,User group,Grupo de usuários,0,Grupo de usuários
form,validation.max_length,,pt_BR,Maximum {max} characters,Máximo de {max} caracteres,0,Máximo de {max} caracteres
form,validation.required,,pt_BR,Required,Obrigatório,0,Obrigatório
form,webpage_domain.description,,pt_BR,Domain properties,Propriedades do domínio,0,Propriedades do domínio
form,webpage_domain.name,,pt_BR,Domain properties,Propriedades do domínio,0,Propriedades do domínio
form,webpage_file.description,,pt_BR,File properties,Propriedades do arquivo,0,Propriedades do arquivo
form,webpage_file.name,,pt_BR,File properties,Propriedades do arquivo,0,Propriedades do arquivo
form,webpage_folder.description,,pt_BR,Website folder properties,Propriedades da pasta do site,0,Propriedades da pasta do site
form,webpage_folder.name,,pt_BR,Website folder properties,Propriedades da pasta do site,0,Propriedades da pasta do site
form,webpage_from_path.description,,pt_BR,Create webpage from path,Criar página web a partir do caminho,0,Criar página web a partir do caminho
form,webpage_from_path.name,,pt_BR,Create webpage from path,Criar página web a partir do caminho,0,Criar página web a partir do caminho
form,webpage_page.description,,pt_BR,Webpage properties,Propriedades da página web,0,Propriedades da página web
form,webpage_page.name,,pt_BR,Webpage properties,Propriedades da página web,0,Propriedades da página web
form,widget_connection_params.description,,pt_BR,Display settings for a content box,Configurações de exibição de um bloco de conteúdo,0,Configurações de exibição de um bloco de conteúdo
form,widget_connection_params.name,,pt_BR,Content box display settings,Configurações de exibição do bloco de conteúdo,0,Configurações de exibição do bloco de conteúdo
form,widget_connection_settings.description,,pt_BR,Configure width and row placement for the content box,Configurar largura e posição na linha do bloco de conteúdo,0,Configurar largura e posição na linha do bloco de conteúdo
form,widget_connection_settings.name,,pt_BR,Content formatting,Formatação do conteúdo,0,Formatação do conteúdo
form,widget_connection_settings.title,,pt_BR,Content formatting,Formatação do conteúdo,0,Formatação do conteúdo
