domain,key,context,locale,source_text,expected_text,human_reviewed,text
form,admin_menu_item.description,,ru_RU,"Admin menu item","Пункт меню администратора",0,"Пункт меню администратора"
form,admin_menu_item.name,,ru_RU,"Admin menu item","Пункт меню администратора",0,"Пункт меню администратора"
form,blog.description,,ru_RU,"Blog post","Запись блога",0,"Запись блога"
form,blog.name,,ru_RU,"Blog post","Запись блога",0,"Запись блога"
form,close_page.close_window,,ru_RU,"Close this window!","Закройте это окно!",0,"Закройте это окно!"
form,close_page.title,,ru_RU,"Close page","Закрыть страницу",0,"Закрыть страницу"
form,company.description,,ru_RU,Company,Компания,0,Компания
form,company.name,,ru_RU,Company,Компания,0,Компания
form,contact_person.description,,ru_RU,"Contact person","Контактное лицо",0,"Контактное лицо"
form,contact_person.name,,ru_RU,"Contact person","Контактное лицо",0,"Контактное лицо"
form,form_settings.description,,ru_RU,"Select which form to display","Выберите, какую форму отображать",0,"Выберите, какую форму отображать"
form,form_settings.name,,ru_RU,"Form settings","Настройки формы",0,"Настройки формы"
form,form_settings.title,,ru_RU,"Select form","Выбрать форму",0,"Выбрать форму"
form,js_tree_settings.description,,ru_RU,"Select which tree to display","Выберите, какое дерево отображать",0,"Выберите, какое дерево отображать"
form,js_tree_settings.name,,ru_RU,"Tree settings","Настройки дерева",0,"Настройки дерева"
form,js_tree_settings.title,,ru_RU,"Select tree","Выбрать дерево",0,"Выбрать дерево"
form,main_menu_item.description,,ru_RU,"Main menu item","Основной пункт меню",0,"Основной пункт меню"
form,main_menu_item.name,,ru_RU,"Main menu item","Основной пункт меню",0,"Основной пункт меню"
form,plain_html.description,,ru_RU,"HTML code (embed)","HTML-код (встраивание)",0,"HTML-код (встраивание)"
form,plain_html.name,,ru_RU,"HTML code (embed)","HTML-код (встраивание)",0,"HTML-код (встраивание)"
form,project_state.description,,ru_RU,"Project status","Статус проекта",0,"Статус проекта"
form,project_state.name,,ru_RU,"Project status","Статус проекта",0,"Статус проекта"
form,project.description,,ru_RU,Project,Проект,0,Проект
form,project.name,,ru_RU,Project,Проект,0,Проект
form,rich_text_select.description,,ru_RU,"Select text content","Выбрать текстовое содержимое",0,"Выбрать текстовое содержимое"
form,rich_text_select.name,,ru_RU,"Select text content","Выбрать текстовое содержимое",0,"Выбрать текстовое содержимое"
form,rich_text.description,,ru_RU,"Text content","Текстовое содержимое",0,"Текстовое содержимое"
form,rich_text.name,,ru_RU,"Text content","Текстовое содержимое",0,"Текстовое содержимое"
form,role.description,,ru_RU,Role,Роль,0,Роль
form,role.name,,ru_RU,Role,Роль,0,Роль
form,tag.description,,ru_RU,Tag,Тег,0,Тег
form,tag.name,,ru_RU,Tag,Тег,0,Тег
form,theme_selector.description,,ru_RU,"Select which theme renders each layout","Выберите, какая тема отрисовывает каждый макет",0,"Выберите, какая тема отрисовывает каждый макет"
form,theme_selector.name,,ru_RU,"Theme selection","Выбор темы",0,"Выбор темы"
form,theme_selector.title,,ru_RU,"Select themes for layouts","Выберите темы для макетов",0,"Выберите темы для макетов"
form,ticket_priority.description,,ru_RU,"Ticket priority","Приоритет тикета",0,"Приоритет тикета"
form,ticket_priority.name,,ru_RU,"Ticket priority","Приоритет тикета",0,"Приоритет тикета"
form,ticket_state.description,,ru_RU,"Ticket status","Статус тикета",0,"Статус тикета"
form,ticket_state.name,,ru_RU,"Ticket status","Статус тикета",0,"Статус тикета"
form,ticket_type.description,,ru_RU,"Ticket type","Тип тикета",0,"Тип тикета"
form,ticket_type.name,,ru_RU,"Ticket type","Тип тикета",0,"Тип тикета"
form,ticket.description,,ru_RU,Ticket,Тикет,0,Тикет
form,ticket.name,,ru_RU,Ticket,Тикет,0,Тикет
form,time_tracker_entry.description,,ru_RU,"Time entry","Запись времени",0,"Запись времени"
form,time_tracker_entry.name,,ru_RU,"Time entry","Запись времени",0,"Запись времени"
form,user_login.description,,ru_RU,Login,Вход,0,Вход
form,user_login.name,,ru_RU,Login,Вход,0,Вход
form,user_signup.description,,ru_RU,"Sign up",Регистрация,0,Регистрация
form,user_signup.name,,ru_RU,"Sign up",Регистрация,0,Регистрация
form,user.description,,ru_RU,User,Пользователь,0,Пользователь
form,user.name,,ru_RU,User,Пользователь,0,Пользователь
form,usergroup.description,,ru_RU,"User group","Группа пользователей",0,"Группа пользователей"
form,usergroup.name,,ru_RU,"User group","Группа пользователей",0,"Группа пользователей"
form,validation.max_length,,ru_RU,"Maximum {max} characters","Максимум {max} символов",0,"Максимум {max} символов"
form,validation.required,,ru_RU,Required,Обязательно,0,Обязательно
form,webpage_domain.description,,ru_RU,"Domain properties","Свойства домена",0,"Свойства домена"
form,webpage_domain.name,,ru_RU,"Domain properties","Свойства домена",0,"Свойства домена"
form,webpage_file.description,,ru_RU,"File properties","Свойства файла",0,"Свойства файла"
form,webpage_file.name,,ru_RU,"File properties","Свойства файла",0,"Свойства файла"
form,webpage_folder.description,,ru_RU,"Website folder properties","Свойства папки сайта",0,"Свойства папки сайта"
form,webpage_folder.name,,ru_RU,"Website folder properties","Свойства папки сайта",0,"Свойства папки сайта"
form,webpage_from_path.description,,ru_RU,"Create webpage from path","Создать веб-страницу из пути",0,"Создать веб-страницу из пути"
form,webpage_from_path.name,,ru_RU,"Create webpage from path","Создать веб-страницу из пути",0,"Создать веб-страницу из пути"
form,webpage_page.description,,ru_RU,"Webpage properties","Свойства веб-страницы",0,"Свойства веб-страницы"
form,webpage_page.name,,ru_RU,"Webpage properties","Свойства веб-страницы",0,"Свойства веб-страницы"
form,widget_connection_params.description,,ru_RU,"Display settings for a content box","Настройки отображения блока содержимого",0,"Настройки отображения блока содержимого"
form,widget_connection_params.name,,ru_RU,"Content box display settings","Настройки отображения блока содержимого",0,"Настройки отображения блока содержимого"
form,widget_connection_settings.description,,ru_RU,"Configure width and row placement for the content box","Настройте ширину и расположение блока содержимого в строке",0,"Настройте ширину и расположение блока содержимого в строке"
form,widget_connection_settings.name,,ru_RU,"Content formatting","Форматирование содержимого",0,"Форматирование содержимого"
form,widget_connection_settings.title,,ru_RU,"Content formatting","Форматирование содержимого",0,"Форматирование содержимого"
