domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,en-US,"Export CSV","Export CSV",0,"Export CSV"
import_export,action.preview_import,,en-US,"Preview import","Preview import",0,"Preview import"
import_export,action.run_import,,en-US,"Run import","Run import",0,"Run import"
import_export,dataset.i18n_translations.description,,en-US,"Export and import translation rows as CSV.","Export and import translation rows as CSV.",0,"Export and import translation rows as CSV."
import_export,dataset.i18n_translations.name,,en-US,"I18n translations","I18n translations",0,"I18n translations"
import_export,error.dataset_not_found,,en-US,"Import/export dataset not found.","Import/export dataset not found.",0,"Import/export dataset not found."
import_export,error.file_read,,en-US,"Unable to read the uploaded CSV file.","Unable to read the uploaded CSV file.",0,"Unable to read the uploaded CSV file."
import_export,error.file_required,,en-US,"Please select a CSV file to import.","Please select a CSV file to import.",0,"Please select a CSV file to import."
import_export,error.invalid_format,,en-US,"Invalid format","Invalid format",0,"Invalid format"
import_export,error.invalid_mode,,en-US,"Invalid import mode.","Invalid import mode.",0,"Invalid import mode."
import_export,error.locale_required,,en-US,"Locale is required for export.","Locale is required for export.",0,"Locale is required for export."
import_export,error.wide_no_locale_columns,,en-US,"Wide CSV must contain at least one text:<locale> column.","Wide CSV must contain at least one text:<locale> column.",0,"Wide CSV must contain at least one text:<locale> column."
import_export,error.upload_backup_required,,en-US,"Confirm the uploaded files backup before exporting the site snapshot.","Confirm the uploaded files backup before exporting the site snapshot.",0,"Confirm the uploaded files backup before exporting the site snapshot."
import_export,export.title,,en-US,"Export CSV","Export CSV",0,"Export CSV"
import_export,field.dataset.label,,en-US,Dataset,Dataset,0,Dataset
import_export,field.expect_locale.any,,en-US,"Any locale in file","Any locale in file",0,"Any locale in file"
import_export,field.expect_locale.help,,en-US,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.",0,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV."
import_export,field.expect_locale.label,,en-US,"Expected locale","Expected locale",0,"Expected locale"
import_export,field.file.help,,en-US,"Upload a CSV file exported from the same dataset.","Upload a CSV file exported from the same dataset.",0,"Upload a CSV file exported from the same dataset."
import_export,field.file.label,,en-US,"CSV file","CSV file",0,"CSV file"
import_export,field.format.help,,en-US,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.",0,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns."
import_export,field.format.label,,en-US,Format,Format,0,Format
import_export,field.locale.all,,en-US,"All locales","All locales",0,"All locales"
import_export,field.locale.help,,en-US,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.","Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns.",0,"Leave empty to export all locales, or choose one locale for a smaller file. Wide format puts locale values into text:<locale> columns."
import_export,field.locale.label,,en-US,Locale,Locale,0,Locale
