domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,pl_PL,"Export CSV","Eksport CSV",0,"Eksport CSV"
import_export,action.preview_import,,pl_PL,"Preview import","Podgląd importu",0,"Podgląd importu"
import_export,action.run_import,,pl_PL,"Run import","Uruchom import",0,"Uruchom import"
import_export,dataset.i18n_translations.description,,pl_PL,"Export and import translation rows as CSV.","Eksportuj i importuj wiersze tłumaczeń jako CSV.",0,"Eksportuj i importuj wiersze tłumaczeń jako CSV."
import_export,dataset.i18n_translations.name,,pl_PL,"I18n translations","Tłumaczenia i18n",0,"Tłumaczenia i18n"
import_export,error.dataset_not_found,,pl_PL,"Import/export dataset not found.","Nie znaleziono zbioru danych importu/eksportu.",0,"Nie znaleziono zbioru danych importu/eksportu."
import_export,error.file_read,,pl_PL,"Unable to read the uploaded CSV file.","Nie można odczytać przesłanego pliku CSV.",0,"Nie można odczytać przesłanego pliku CSV."
import_export,error.file_required,,pl_PL,"Please select a CSV file to import.","Wybierz plik CSV do importu.",0,"Wybierz plik CSV do importu."
import_export,error.invalid_format,,pl_PL,"Invalid format","Nieprawidłowy format",0,"Nieprawidłowy format"
import_export,error.invalid_mode,,pl_PL,"Invalid import mode.","Nieprawidłowy tryb importu.",0,"Nieprawidłowy tryb importu."
import_export,error.locale_required,,pl_PL,"Locale is required for export.","Locale jest wymagane do eksportu.",0,"Locale jest wymagane do eksportu."
import_export,export.title,,pl_PL,"Export CSV","Eksport CSV",0,"Eksport CSV"
import_export,field.dataset.label,,pl_PL,Dataset,"Zbiór danych",0,"Zbiór danych"
import_export,field.expect_locale.any,,pl_PL,"Any locale in file","Dowolne locale w pliku",0,"Dowolne locale w pliku"
import_export,field.expect_locale.help,,pl_PL,"Optional for insert_new and upsert. Sync should normally set this explicitly and always uses a single-locale scope, even when importing wide CSV.","Opcjonalne dla insert_new i upsert. Sync powinien zwykle ustawiać to jawnie i zawsze używa zakresu jednego locale, nawet przy imporcie szerokiego CSV.",0,"Opcjonalne dla insert_new i upsert. Sync powinien zwykle ustawiać to jawnie i zawsze używa zakresu jednego locale, nawet przy imporcie szerokiego CSV."
import_export,field.expect_locale.label,,pl_PL,"Expected locale","Oczekiwane locale",0,"Oczekiwane locale"
import_export,field.file.help,,pl_PL,"Upload a CSV file exported from the same dataset.","Prześlij plik CSV wyeksportowany z tego samego zbioru danych.",0,"Prześlij plik CSV wyeksportowany z tego samego zbioru danych."
import_export,field.file.label,,pl_PL,"CSV file","Plik CSV",0,"Plik CSV"
import_export,field.format.help,,pl_PL,"Normalized keeps one row per locale. Wide groups locales into text:<locale> columns.","Format znormalizowany zachowuje jeden wiersz na locale. Format szeroki grupuje locale w kolumnach text:<locale>.",0,"Format znormalizowany zachowuje jeden wiersz na locale. Format szeroki grupuje locale w kolumnach text:<locale>."
