domain,key,context,locale,source_text,expected_text,human_reviewed,text
mailpit,title,,ru_RU,Mailpit,Mailpit,0,Mailpit
mailpit,subtitle,,ru_RU,"Captured development emails","Перехваченные письма разработки",0,"Перехваченные письма разработки"
mailpit,inbox,,ru_RU,Inbox,Входящие,0,Входящие
mailpit,search,,ru_RU,Search,Поиск,0,Поиск
mailpit,refresh,,ru_RU,Refresh,Обновить,0,Обновить
mailpit,back_to_inbox,,ru_RU,"Back to inbox","Назад во входящие",0,"Назад во входящие"
mailpit,messages,,ru_RU,Messages,Сообщения,0,Сообщения
mailpit,unread,,ru_RU,Unread,Непрочитанные,0,Непрочитанные
mailpit,empty,,ru_RU,"No captured emails found.","Перехваченные письма не найдены.",0,"Перехваченные письма не найдены."
mailpit,unavailable,,ru_RU,"Mailpit is unavailable","Mailpit недоступен",0,"Mailpit недоступен"
mailpit,not_found,,ru_RU,"Mailpit view not found","Представление Mailpit не найдено",0,"Представление Mailpit не найдено"
mailpit,access_denied,,ru_RU,"Mailpit catcher is only available in non-production for email admins and system developers.","Catcher Mailpit доступен вне production только администраторам email и системным разработчикам.",0,"Catcher Mailpit доступен вне production только администраторам email и системным разработчикам."
mailpit,page_not_resolved,,ru_RU,"Mailpit catcher page could not be resolved.","Не удалось определить страницу catcher Mailpit.",0,"Не удалось определить страницу catcher Mailpit."
mailpit,col.subject,,ru_RU,Subject,Тема,0,Тема
mailpit,col.from,,ru_RU,From,От,0,От
mailpit,col.to,,ru_RU,To,Кому,0,Кому
mailpit,col.received,,ru_RU,Received,Получено,0,Получено
mailpit,col.size,,ru_RU,Size,Размер,0,Размер
mailpit,pagination.previous,,ru_RU,Previous,Назад,0,Назад
mailpit,pagination.next,,ru_RU,Next,Далее,0,Далее
mailpit,no_subject,,ru_RU,"(no subject)","(без темы)",0,"(без темы)"
mailpit,delete,,ru_RU,Delete,Удалить,0,Удалить
mailpit,meta.from,,ru_RU,From,От,0,От
mailpit,meta.to,,ru_RU,To,Кому,0,Кому
mailpit,meta.cc,,ru_RU,Cc,Cc,0,Cc
mailpit,meta.bcc,,ru_RU,Bcc,Bcc,0,Bcc
mailpit,meta.date,,ru_RU,Date,Дата,0,Дата
mailpit,meta.size,,ru_RU,Size,Размер,0,Размер
mailpit,html_empty,,ru_RU,"This message has no HTML body.","У этого сообщения нет HTML-тела.",0,"У этого сообщения нет HTML-тела."
mailpit,html_preview_title,,ru_RU,"Mailpit HTML preview","HTML-предпросмотр Mailpit",0,"HTML-предпросмотр Mailpit"
mailpit,check.supported,,ru_RU,Supported,Поддерживается,0,Поддерживается
mailpit,check.partial,,ru_RU,Partial,Частично,0,Частично
mailpit,check.unsupported,,ru_RU,Unsupported,"Не поддерживается",0,"Не поддерживается"
mailpit,check.tests,,ru_RU,Tests,Тесты,0,Тесты
mailpit,check.no_warnings,,ru_RU,"No HTML compatibility warnings.","Нет предупреждений совместимости HTML.",0,"Нет предупреждений совместимости HTML."
mailpit,warning_fallback,,ru_RU,Warning,Предупреждение,0,Предупреждение
mailpit,links.status,,ru_RU,Status,Статус,0,Статус
mailpit,links.none,,ru_RU,"No links found.","Ссылки не найдены.",0,"Ссылки не найдены."
mailpit,attachments,,ru_RU,Attachments,Вложения,0,Вложения
mailpit,inline_attachments,,ru_RU,"Inline attachments","Встроенные вложения",0,"Встроенные вложения"
mailpit,attachment_fallback,,ru_RU,attachment,вложение,0,вложение
mailpit,tab_error,,ru_RU,"Mailpit tab content could not be loaded.","Не удалось загрузить содержимое вкладки Mailpit.",0,"Не удалось загрузить содержимое вкладки Mailpit."
mailpit,tab.html,,ru_RU,HTML,HTML,0,HTML
mailpit,tab.html_source,,ru_RU,"HTML Source","Исходник HTML",0,"Исходник HTML"
mailpit,tab.text,,ru_RU,Text,Текст,0,Текст
mailpit,tab.headers,,ru_RU,Headers,Заголовки,0,Заголовки
mailpit,tab.raw,,ru_RU,Raw,Raw,0,Raw
mailpit,tab.html_check,,ru_RU,"HTML Check","Проверка HTML",0,"Проверка HTML"
mailpit,tab.link_check,,ru_RU,"Link Check","Проверка ссылок",0,"Проверка ссылок"
widget,mailpit.name,,ru_RU,"Mailpit catcher","Catcher Mailpit",0,"Catcher Mailpit"
widget,mailpit.description,,ru_RU,"Shows captured Mailpit emails inside the admin UI.","Показывает письма, перехваченные Mailpit, в административном интерфейсе.",0,"Показывает письма, перехваченные Mailpit, в административном интерфейсе."
