domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,de_DE,Context,Kontext,0,Kontext
tags,field.description.label,,de_DE,"Tag description",Tag-Beschreibung,0,Tag-Beschreibung
tags,field.name.explanation,,de_DE,"No spaces, short and concise. Do not create synonyms for existing tags.","Keine Leerzeichen, kurz und prägnant. Keine Synonyme für bestehende Tags erstellen.",0,"Keine Leerzeichen, kurz und prägnant. Keine Synonyme für bestehende Tags erstellen."
tags,field.name.label,,de_DE,"Tag name",Tag-Name,0,Tag-Name
tags,field.type.explanation,,de_DE,"Select the tag type","Tag-Typ auswählen",0,"Tag-Typ auswählen"
tags,field.type.label,,de_DE,Type,Typ,0,Typ
tags,form.name,,de_DE,Tag,Tag,0,Tag
tags,form.title_create,,de_DE,"New tag","Neues Tag",0,"Neues Tag"
tags,form.title_edit,,de_DE,"Edit tag","Tag bearbeiten",0,"Tag bearbeiten"
tags,list.title,,de_DE,Tags,Tags,0,Tags
tags,saved,,de_DE,"Tags saved","Tags gespeichert",0,"Tags gespeichert"
tags,updated,,de_DE,"Tag updated","Tag aktualisiert",0,"Tag aktualisiert"
tags,validation.name_max_length,,de_DE,"Tag name must not exceed 255 characters","Tag-Name darf 255 Zeichen nicht überschreiten",0,"Tag-Name darf 255 Zeichen nicht überschreiten"
