domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,en_US,Context,Context,0,Context
tags,field.description.label,,en_US,"Tag description","Tag description",0,"Tag description"
tags,field.name.explanation,,en_US,"No spaces, short and concise. Do not create synonyms for existing tags.","No spaces, short and concise. Do not create synonyms for existing tags.",0,"No spaces, short and concise. Do not create synonyms for existing tags."
tags,field.name.label,,en_US,"Tag name","Tag name",0,"Tag name"
tags,field.type.explanation,,en_US,"Select the tag type","Select the tag type",0,"Select the tag type"
tags,field.type.label,,en_US,Type,Type,0,Type
tags,form.name,,en_US,Tag,Tag,0,Tag
tags,form.title_create,,en_US,"New tag","New tag",0,"New tag"
tags,form.title_edit,,en_US,"Edit tag","Edit tag",0,"Edit tag"
tags,list.title,,en_US,Tags,Tags,0,Tags
tags,saved,,en_US,"Tags saved","Tags saved",0,"Tags saved"
tags,updated,,en_US,"Tag updated","Tag updated",0,"Tag updated"
tags,validation.name_max_length,,en_US,"Tag name must not exceed 255 characters","Tag name must not exceed 255 characters",0,"Tag name must not exceed 255 characters"
