domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,hu_HU,Context,Környezet,0,Környezet
tags,field.description.label,,hu_HU,"Tag description","Tag leírása",0,"Tag leírása"
tags,field.name.explanation,,hu_HU,"No spaces, short and concise. Do not create synonyms for existing tags.","Ne legyen szóköz, legyen rövid és tömör. Ne hozz létre szinonimát meglévő tagekhez.",0,"Ne legyen szóköz, legyen rövid és tömör. Ne hozz létre szinonimát meglévő tagekhez."
tags,field.name.label,,hu_HU,"Tag name","Címke neve",0,"Címke neve"
tags,field.type.explanation,,hu_HU,"Select the tag type","Válaszd ki a tag típusát",0,"Válaszd ki a tag típusát"
tags,field.type.label,,hu_HU,Type,Típus,0,Típus
tags,form.name,,hu_HU,Tag,Címke,0,Címke
tags,form.title_create,,hu_HU,"New tag","Új címke",0,"Új címke"
tags,form.title_edit,,hu_HU,"Edit tag","Címke módosítása",0,"Címke módosítása"
tags,list.title,,hu_HU,Tags,Címkék,0,Címkék
tags,saved,,hu_HU,"Tags saved","Címke mentve",0,"Címke mentve"
tags,updated,,hu_HU,"Tag updated","Címke frissítve",0,"Címke frissítve"
tags,validation.name_max_length,,hu_HU,"Tag name must not exceed 255 characters","A tag neve maximum 255 karakter lehet",0,"A tag neve maximum 255 karakter lehet"
