domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
tags,field.context.label,,it-IT,Context,Contesto,0,0,Contesto
tags,field.description.label,,it-IT,Tag description,Descrizione etichetta,0,0,Descrizione etichetta
tags,field.name.explanation,,it-IT,"No spaces, short and concise. Do not create synonyms for existing tags.","Senza spazi, breve e conciso. Non creare sinonimi per etichette esistenti.",0,0,"Senza spazi, breve e conciso. Non creare sinonimi per etichette esistenti."
tags,field.name.label,,it-IT,Tag name,Nome etichetta,0,0,Nome etichetta
tags,field.type.explanation,,it-IT,Select the tag type,Seleziona il tipo di etichetta,0,0,Seleziona il tipo di etichetta
tags,field.type.label,,it-IT,Type,Tipo,0,0,Tipo
tags,form.name,,it-IT,Tag,Etichetta,0,0,Etichetta
tags,form.title_create,,it-IT,New tag,Nuova etichetta,0,0,Nuova etichetta
tags,form.title_edit,,it-IT,Edit tag,Modifica etichetta,0,0,Modifica etichetta
tags,list.title,,it-IT,Tags,Etichette,0,0,Etichette
tags,saved,,it-IT,Tags saved,Etichette salvate,0,0,Etichette salvate
tags,updated,,it-IT,Tag updated,Etichetta aggiornata,0,0,Etichetta aggiornata
tags,validation.context_required,,it-IT,Tag context is required,Il contesto dell'etichetta è obbligatorio,0,0,Il contesto dell'etichetta è obbligatorio
tags,validation.name_unique,,it-IT,This tag already exists,Questa etichetta esiste già,0,0,Questa etichetta esiste già
tags,validation.unknown_context,,it-IT,Unknown tag context,Contesto etichetta sconosciuto,0,0,Contesto etichetta sconosciuto
tags,validation.name_max_length,,it-IT,Tag name must not exceed 255 characters,Il nome etichetta non deve superare i 255 caratteri,0,0,Il nome etichetta non deve superare i 255 caratteri
