domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,it_IT,Context,Contesto,0,Contesto
tags,field.description.label,,it_IT,"Tag description","Descrizione etichetta",0,"Descrizione etichetta"
tags,field.name.explanation,,it_IT,"No spaces, short and concise. Do not create synonyms for existing tags.","Senza spazi, breve e conciso. Non creare sinonimi per etichette esistenti.",0,"Senza spazi, breve e conciso. Non creare sinonimi per etichette esistenti."
tags,field.name.label,,it_IT,"Tag name","Nome etichetta",0,"Nome etichetta"
tags,field.type.explanation,,it_IT,"Select the tag type","Seleziona il tipo di etichetta",0,"Seleziona il tipo di etichetta"
tags,field.type.label,,it_IT,Type,Tipo,0,Tipo
tags,form.name,,it_IT,Tag,Etichetta,0,Etichetta
tags,form.title_create,,it_IT,"New tag","Nuova etichetta",0,"Nuova etichetta"
tags,form.title_edit,,it_IT,"Edit tag","Modifica etichetta",0,"Modifica etichetta"
tags,list.title,,it_IT,Tags,Etichette,0,Etichette
tags,saved,,it_IT,"Tags saved","Etichette salvate",0,"Etichette salvate"
tags,updated,,it_IT,"Tag updated","Etichetta aggiornata",0,"Etichetta aggiornata"
tags,validation.name_max_length,,it_IT,"Tag name must not exceed 255 characters","Il nome etichetta non deve superare i 255 caratteri",0,"Il nome etichetta non deve superare i 255 caratteri"
