domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,ja_JP,Context,コンテキスト,0,コンテキスト
tags,field.description.label,,ja_JP,"Tag description",タグの説明,0,タグの説明
tags,field.name.explanation,,ja_JP,"No spaces, short and concise. Do not create synonyms for existing tags.",スペースなし、短く簡潔に。既存タグの同義語を作成しないでください。,0,スペースなし、短く簡潔に。既存タグの同義語を作成しないでください。
tags,field.name.label,,ja_JP,"Tag name",タグ名,0,タグ名
tags,field.type.explanation,,ja_JP,"Select the tag type",タグタイプを選択,0,タグタイプを選択
tags,field.type.label,,ja_JP,Type,タイプ,0,タイプ
tags,form.name,,ja_JP,Tag,タグ,0,タグ
tags,form.title_create,,ja_JP,"New tag",新しいタグ,0,新しいタグ
tags,form.title_edit,,ja_JP,"Edit tag",タグを編集,0,タグを編集
tags,list.title,,ja_JP,Tags,タグ,0,タグ
tags,saved,,ja_JP,"Tags saved",タグを保存しました,0,タグを保存しました
tags,updated,,ja_JP,"Tag updated",タグを更新しました,0,タグを更新しました
tags,validation.name_max_length,,ja_JP,"Tag name must not exceed 255 characters",タグ名は255文字以内にしてください,0,タグ名は255文字以内にしてください
