domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
tags,field.context.label,,pl-PL,Context,Kontekst,0,0,Kontekst
tags,field.description.label,,pl-PL,Tag description,Opis tagu,0,0,Opis tagu
tags,field.name.explanation,,pl-PL,"No spaces, short and concise. Do not create synonyms for existing tags.","Bez spacji, krótko i zwięźle. Nie twórz synonimów dla istniejących tagów.",0,0,"Bez spacji, krótko i zwięźle. Nie twórz synonimów dla istniejących tagów."
tags,field.name.label,,pl-PL,Tag name,Nazwa tagu,0,0,Nazwa tagu
tags,field.type.explanation,,pl-PL,Select the tag type,Wybierz typ tagu,0,0,Wybierz typ tagu
tags,field.type.label,,pl-PL,Type,Typ,0,0,Typ
tags,form.name,,pl-PL,Tag,Tag,0,1,Tag
tags,form.title_create,,pl-PL,New tag,Nowy tag,0,0,Nowy tag
tags,form.title_edit,,pl-PL,Edit tag,Edytuj tag,0,0,Edytuj tag
tags,list.title,,pl-PL,Tags,Tagi,0,0,Tagi
tags,saved,,pl-PL,Tags saved,Zapisano tagi,0,0,Zapisano tagi
tags,updated,,pl-PL,Tag updated,Zaktualizowano tag,0,0,Zaktualizowano tag
tags,validation.context_required,,pl-PL,Tag context is required,Kontekst tagu jest wymagany,0,0,Kontekst tagu jest wymagany
tags,validation.name_unique,,pl-PL,This tag already exists,Taki tag już istnieje,0,0,Taki tag już istnieje
tags,validation.unknown_context,,pl-PL,Unknown tag context,Nieznany kontekst tagu,0,0,Nieznany kontekst tagu
tags,validation.name_max_length,,pl-PL,Tag name must not exceed 255 characters,Nazwa tagu nie może przekraczać 255 znaków,0,0,Nazwa tagu nie może przekraczać 255 znaków
