domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,ru_RU,Context,Контекст,0,Контекст
tags,field.description.label,,ru_RU,"Tag description","Описание тега",0,"Описание тега"
tags,field.name.explanation,,ru_RU,"No spaces, short and concise. Do not create synonyms for existing tags.","Без пробелов, коротко и лаконично. Не создавайте синонимы для существующих тегов.",0,"Без пробелов, коротко и лаконично. Не создавайте синонимы для существующих тегов."
tags,field.name.label,,ru_RU,"Tag name","Название тега",0,"Название тега"
tags,field.type.explanation,,ru_RU,"Select the tag type","Выберите тип тега",0,"Выберите тип тега"
tags,field.type.label,,ru_RU,Type,Тип,0,Тип
tags,form.name,,ru_RU,Tag,Тег,0,Тег
tags,form.title_create,,ru_RU,"New tag","Новый тег",0,"Новый тег"
tags,form.title_edit,,ru_RU,"Edit tag","Редактировать тег",0,"Редактировать тег"
tags,list.title,,ru_RU,Tags,Теги,0,Теги
tags,saved,,ru_RU,"Tags saved","Теги сохранены",0,"Теги сохранены"
tags,updated,,ru_RU,"Tag updated","Тег обновлён",0,"Тег обновлён"
tags,validation.name_max_length,,ru_RU,"Tag name must not exceed 255 characters","Название тега не должно превышать 255 символов",0,"Название тега не должно превышать 255 символов"
