domain,key,context,locale,source_text,expected_text,human_reviewed,text
tags,field.context.label,,zh_Hans_CN,Context,上下文,0,上下文
tags,field.description.label,,zh_Hans_CN,"Tag description",标签描述,0,标签描述
tags,field.name.explanation,,zh_Hans_CN,"No spaces, short and concise. Do not create synonyms for existing tags.",不含空格，简短精炼。不要为现有标签创建同义词。,0,不含空格，简短精炼。不要为现有标签创建同义词。
tags,field.name.label,,zh_Hans_CN,"Tag name",标签名称,0,标签名称
tags,field.type.explanation,,zh_Hans_CN,"Select the tag type",选择标签类型,0,选择标签类型
tags,field.type.label,,zh_Hans_CN,Type,类型,0,类型
tags,form.name,,zh_Hans_CN,Tag,标签,0,标签
tags,form.title_create,,zh_Hans_CN,"New tag",新标签,0,新标签
tags,form.title_edit,,zh_Hans_CN,"Edit tag",编辑标签,0,编辑标签
tags,list.title,,zh_Hans_CN,Tags,标签,0,标签
tags,saved,,zh_Hans_CN,"Tags saved",标签已保存,0,标签已保存
tags,updated,,zh_Hans_CN,"Tag updated",标签已更新,0,标签已更新
tags,validation.name_max_length,,zh_Hans_CN,"Tag name must not exceed 255 characters","标签名称不得超过 255 个字符",0,"标签名称不得超过 255 个字符"
