domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,de-DE,Datasheet,Datenblatt,0,Datenblatt
user,action.edit,,de-DE,Edit,Bearbeiten,0,Bearbeiten
user,action.roles,,de-DE,"Custom roles","Benutzerdefinierte Rollen",0,"Benutzerdefinierte Rollen"
user,action.usergroups,,de-DE,"Group memberships",Gruppenmitgliedschaften,0,Gruppenmitgliedschaften
user,col.actions,,de-DE,Actions,Aktionen,0,Aktionen
user,col.username,,de-DE,Username,Benutzername,0,Benutzername
user,description.action.edit,,de-DE,"Edit user","Benutzer bearbeiten",0,"Benutzer bearbeiten"
user,description.tab.active,,de-DE,Active,Aktiv,0,Aktiv
user,description.tab.service,,de-DE,Service,Service,0,Service
user,description.tab.shipping,,de-DE,"Awaiting shipment","Warte auf Versand",0,"Warte auf Versand"
user,description.title,,de-DE,User,Benutzer,0,Benutzer
user,error_missing_user_id,,de-DE,"User ID is missing","Benutzer-ID fehlt",0,"Benutzer-ID fehlt"
user,error_no_selector_specified,,de-DE,"No user or user group specified","Kein Benutzer oder keine Benutzergruppe angegeben",0,"Kein Benutzer oder keine Benutzergruppe angegeben"
user,error_not_found,,de-DE,"User not found","Benutzer nicht gefunden",0,"Benutzer nicht gefunden"
user,error_not_found_with_id,,de-DE,"User not found: {id}","Benutzer nicht gefunden: {id}",0,"Benutzer nicht gefunden: {id}"
user,error_parameter_mismatch,,de-DE,"Parameter mismatch","Parameter stimmen nicht überein",0,"Parameter stimmen nicht überein"
user,error_save,,de-DE,"Error: Unable to save user","Fehler: Benutzer konnte nicht gespeichert werden",0,"Fehler: Benutzer konnte nicht gespeichert werden"
user,field.locale.explanation,,de-DE,"Interface language for this user","Oberflächensprache für diesen Benutzer",0,"Oberflächensprache für diesen Benutzer"
user,field.locale.label,,de-DE,Language,Sprache,0,Sprache
user,field.password_confirm.explanation,,de-DE,"Re-enter the password","Passwort erneut eingeben",0,"Passwort erneut eingeben"
user,field.password_confirm.label,,de-DE,"Confirm password","Passwort bestätigen",0,"Passwort bestätigen"
user,field.password.explanation,,de-DE,"Enter the password","Passwort eingeben",0,"Passwort eingeben"
user,field.password.label,,de-DE,Password,Passwort,0,Passwort
user,field.timezone.explanation,,de-DE,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","IANA-Zeitzonen-Bezeichner (z. B. Europe/Berlin). Leer lassen für UTC.",0,"IANA-Zeitzonen-Bezeichner (z. B. Europe/Berlin). Leer lassen für UTC."
user,field.timezone.label,,de-DE,Timezone,Zeitzone,0,Zeitzone
user,field.user_id.label,,de-DE,"User ID",Benutzer-ID,0,Benutzer-ID
user,field.username.explanation,,de-DE,"Enter the desired username","Gewünschten Benutzernamen eingeben",0,"Gewünschten Benutzernamen eingeben"
user,field.username.label,,de-DE,Username,Benutzername,0,Benutzername
user,form.name,,de-DE,User,Benutzer,0,Benutzer
user,form.title_create,,de-DE,"New user","Neuer Benutzer",0,"Neuer Benutzer"
user,form.title_edit,,de-DE,"Edit user","Benutzer bearbeiten",0,"Benutzer bearbeiten"
user,list.new,,de-DE,"New user","Neuer Benutzer",0,"Neuer Benutzer"
user,list.title,,de-DE,Users,Benutzer,0,Benutzer
user,login.button,,de-DE,Login,Anmelden,0,Anmelden
user,login.error_invalid_credentials,,de-DE,"Wrong username or password","Falscher Benutzername oder falsches Passwort",0,"Falscher Benutzername oder falsches Passwort"
user,login.title,,de-DE,Login,Anmelden,0,Anmelden
user,logout.success,,de-DE,"You are logged out","Sie sind abgemeldet",0,"Sie sind abgemeldet"
user,no_changes,,de-DE,"No changes made","Keine Änderungen vorgenommen",0,"Keine Änderungen vorgenommen"
user,role_assignment.added,,de-DE,"Role assigned:<br>{role} -> {target}","Rolle zugewiesen:<br>{role} -> {target}",0,"Rolle zugewiesen:<br>{role} -> {target}"
user,role_assignment.error_add,,de-DE,"Error: Unable to assign role:<br>{role} -> {target}","Fehler: Rolle konnte nicht zugewiesen werden:<br>{role} -> {target}",0,"Fehler: Rolle konnte nicht zugewiesen werden:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,de-DE,"Error: Unable to assign role.","Fehler: Rolle konnte nicht zugewiesen werden.",0,"Fehler: Rolle konnte nicht zugewiesen werden."
user,role_assignment.error_remove,,de-DE,"Error: Unable to remove role assignment:<br>{role} -> {target}","Fehler: Rollenzuweisung konnte nicht entfernt werden:<br>{role} -> {target}",0,"Fehler: Rollenzuweisung konnte nicht entfernt werden:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,de-DE,"Error: Unable to remove role assignment.","Fehler: Rollenzuweisung konnte nicht entfernt werden.",0,"Fehler: Rollenzuweisung konnte nicht entfernt werden."
user,role_assignment.removed,,de-DE,"Role assignment removed:<br>{role} -> {target}","Rollenzuweisung entfernt:<br>{role} -> {target}",0,"Rollenzuweisung entfernt:<br>{role} -> {target}"
user,role_selector.available_roles,,de-DE,"Available roles","Verfügbare Rollen",0,"Verfügbare Rollen"
user,role_selector.help,,de-DE,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","Übergeordnete Rolle auswählen, um alle untergeordneten Rollen automatisch zu vergeben. Untergeordnete Rollen werden grün hervorgehoben.",0,"Übergeordnete Rolle auswählen, um alle untergeordneten Rollen automatisch zu vergeben. Untergeordnete Rollen werden grün hervorgehoben."
user,role_selector.title,,de-DE,"Role assignment",Rollenzuweisung,0,Rollenzuweisung
user,role.all,,de-DE,"All roles","Alle Rollen",0,"Alle Rollen"
user,role.delete_confirm,,de-DE,"Are you sure you want to delete this role and all its children?","Möchten Sie diese Rolle und alle untergeordneten Rollen wirklich löschen?",0,"Möchten Sie diese Rolle und alle untergeordneten Rollen wirklich löschen?"
user,role.delete_error,,de-DE,"Error: Unable to delete role(s)!","Fehler: Rolle(n) konnte(n) nicht gelöscht werden!",0,"Fehler: Rolle(n) konnte(n) nicht gelöscht werden!"
user,role.delete_failed,,de-DE,"Delete failed","Löschen fehlgeschlagen",0,"Löschen fehlgeschlagen"
user,role.deleted,,de-DE,"Role deleted!<br><i>{title}</i>","Rolle gelöscht!<br><i>{title}</i>",0,"Rolle gelöscht!<br><i>{title}</i>"
user,role.deleted_multiple,,de-DE,"Roles deleted!<br><i>{titles}</i><br><i>({count} total)</i>","Rollen gelöscht!<br><i>{titles}</i><br><i>({count} gesamt)</i>",0,"Rollen gelöscht!<br><i>{titles}</i><br><i>({count} gesamt)</i>"
user,role.error_save,,de-DE,"Error: Unable to save role","Fehler: Rolle konnte nicht gespeichert werden",0,"Fehler: Rolle konnte nicht gespeichert werden"
user,role.field.description,,de-DE,Description,Beschreibung,0,Beschreibung
