domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,en-US,Datasheet,Datasheet,0,Datasheet
user,action.edit,,en-US,Edit,Edit,0,Edit
user,action.roles,,en-US,"Custom roles","Custom roles",0,"Custom roles"
user,action.usergroups,,en-US,"Group memberships","Group memberships",0,"Group memberships"
user,col.actions,,en-US,Actions,Actions,0,Actions
user,col.username,,en-US,Username,Username,0,Username
user,description.action.edit,,en-US,"Edit user","Edit user",0,"Edit user"
user,description.tab.active,,en-US,Active,Active,0,Active
user,description.tab.service,,en-US,Service,Service,0,Service
user,description.tab.shipping,,en-US,"Awaiting shipment","Awaiting shipment",0,"Awaiting shipment"
user,description.title,,en-US,User,User,0,User
user,error_missing_user_id,,en-US,"User ID is missing","User ID is missing",0,"User ID is missing"
user,error_no_selector_specified,,en-US,"No user or user group specified","No user or user group specified",0,"No user or user group specified"
user,error_not_found,,en-US,"User not found","User not found",0,"User not found"
user,error_not_found_with_id,,en-US,"User not found: {id}","User not found: {id}",0,"User not found: {id}"
user,error_parameter_mismatch,,en-US,"Parameter mismatch","Parameter mismatch",0,"Parameter mismatch"
user,error_save,,en-US,"Error: Unable to save user","Error: Unable to save user",0,"Error: Unable to save user"
user,field.locale.explanation,,en-US,"Interface language for this user","Interface language for this user",0,"Interface language for this user"
user,field.locale.label,,en-US,Language,Language,0,Language
user,field.password_confirm.explanation,,en-US,"Re-enter the password","Re-enter the password",0,"Re-enter the password"
user,field.password_confirm.label,,en-US,"Confirm password","Confirm password",0,"Confirm password"
user,field.password.explanation,,en-US,"Enter the password","Enter the password",0,"Enter the password"
user,field.password.label,,en-US,Password,Password,0,Password
user,field.timezone.explanation,,en-US,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.",0,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC."
user,field.timezone.label,,en-US,Timezone,Timezone,0,Timezone
user,field.user_id.label,,en-US,"User ID","User ID",0,"User ID"
user,field.username.explanation,,en-US,"Enter the desired username","Enter the desired username",0,"Enter the desired username"
user,field.username.label,,en-US,Username,Username,0,Username
user,form.name,,en-US,User,User,0,User
user,form.title_create,,en-US,"New user","New user",0,"New user"
user,form.title_edit,,en-US,"Edit user","Edit user",0,"Edit user"
user,list.new,,en-US,"New user","New user",0,"New user"
user,list.title,,en-US,Users,Users,0,Users
user,login.button,,en-US,Login,Login,0,Login
user,login.error_invalid_credentials,,en-US,"Wrong username or password","Wrong username or password",0,"Wrong username or password"
user,login.title,,en-US,Login,Login,0,Login
user,logout.success,,en-US,"You are logged out","You are logged out",0,"You are logged out"
user,no_changes,,en-US,"No changes made","No changes made",0,"No changes made"
user,role_assignment.added,,en-US,"Role assigned:<br>{role} -> {target}","Role assigned:<br>{role} -> {target}",0,"Role assigned:<br>{role} -> {target}"
user,role_assignment.error_add,,en-US,"Error: Unable to assign role:<br>{role} -> {target}","Error: Unable to assign role:<br>{role} -> {target}",0,"Error: Unable to assign role:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,en-US,"Error: Unable to assign role.","Error: Unable to assign role.",0,"Error: Unable to assign role."
user,role_assignment.error_remove,,en-US,"Error: Unable to remove role assignment:<br>{role} -> {target}","Error: Unable to remove role assignment:<br>{role} -> {target}",0,"Error: Unable to remove role assignment:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,en-US,"Error: Unable to remove role assignment.","Error: Unable to remove role assignment.",0,"Error: Unable to remove role assignment."
user,role_assignment.removed,,en-US,"Role assignment removed:<br>{role} -> {target}","Role assignment removed:<br>{role} -> {target}",0,"Role assignment removed:<br>{role} -> {target}"
user,role_selector.available_roles,,en-US,"Available roles","Available roles",0,"Available roles"
user,role_selector.help,,en-US,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.",0,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited."
user,role_selector.title,,en-US,"Role assignment","Role assignment",0,"Role assignment"
user,role.all,,en-US,"All roles","All roles",0,"All roles"
user,role.delete_confirm,,en-US,"Are you sure you want to delete this role and all its children?","Are you sure you want to delete this role and all its children?",0,"Are you sure you want to delete this role and all its children?"
user,role.delete_error,,en-US,"Error: Unable to delete role(s)!","Error: Unable to delete role(s)!",0,"Error: Unable to delete role(s)!"
user,role.delete_failed,,en-US,"Delete failed","Delete failed",0,"Delete failed"
user,role.deleted,,en-US,"Role deleted!<br><i>{title}</i>","Role deleted!<br><i>{title}</i>",0,"Role deleted!<br><i>{title}</i>"
user,role.deleted_multiple,,en-US,"Roles deleted!<br><i>{titles}</i><br><i>({count} total)</i>","Roles deleted!<br><i>{titles}</i><br><i>({count} total)</i>",0,"Roles deleted!<br><i>{titles}</i><br><i>({count} total)</i>"
user,role.error_save,,en-US,"Error: Unable to save role","Error: Unable to save role",0,"Error: Unable to save role"
user,role.field.description,,en-US,Description,Description,0,Description
user,role.field.description.explanation,,en-US,"Purpose of the role","Purpose of the role",0,"Purpose of the role"
user,role.field.role,,en-US,Role,Role,0,Role
user,role.field.role.explanation,,en-US,"System-level name. 32 characters maximum","System-level name. 32 characters maximum",0,"System-level name. 32 characters maximum"
user,role.field.title,,en-US,"Display name","Display name",0,"Display name"
user,role.field.title.explanation,,en-US,"Role display name. 255 characters maximum","Role display name. 255 characters maximum",0,"Role display name. 255 characters maximum"
