domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,es_ES,Datasheet,"Ficha de datos",0,"Ficha de datos"
user,action.edit,,es_ES,Edit,Editar,0,Editar
user,action.roles,,es_ES,"Custom roles","Roles personalizados",0,"Roles personalizados"
user,action.usergroups,,es_ES,"Group memberships","Membresías de grupo",0,"Membresías de grupo"
user,col.actions,,es_ES,Actions,Acciones,0,Acciones
user,col.username,,es_ES,Username,"Nombre de usuario",0,"Nombre de usuario"
user,description.action.edit,,es_ES,"Edit user","Editar usuario",0,"Editar usuario"
user,description.tab.active,,es_ES,Active,Activo,0,Activo
user,description.tab.service,,es_ES,Service,Servicio,0,Servicio
user,description.tab.shipping,,es_ES,"Awaiting shipment","En espera de envío",0,"En espera de envío"
user,description.title,,es_ES,User,Usuario,0,Usuario
user,error_missing_user_id,,es_ES,"User ID is missing","Falta el ID de usuario",0,"Falta el ID de usuario"
user,error_no_selector_specified,,es_ES,"No user or user group specified","No se especificó ningún usuario o grupo de usuarios",0,"No se especificó ningún usuario o grupo de usuarios"
user,error_not_found,,es_ES,"User not found","Usuario no encontrado",0,"Usuario no encontrado"
user,error_not_found_with_id,,es_ES,"User not found: {id}","Usuario no encontrado: {id}",0,"Usuario no encontrado: {id}"
user,error_parameter_mismatch,,es_ES,"Parameter mismatch","Parámetro no coincide",0,"Parámetro no coincide"
user,error_save,,es_ES,"Error: Unable to save user","Error: No se puede guardar el usuario",0,"Error: No se puede guardar el usuario"
user,field.locale.explanation,,es_ES,"Interface language for this user","Idioma de interfaz para este usuario",0,"Idioma de interfaz para este usuario"
user,field.locale.label,,es_ES,Language,Idioma,0,Idioma
user,field.password_confirm.explanation,,es_ES,"Re-enter the password","Vuelva a introducir la contraseña",0,"Vuelva a introducir la contraseña"
user,field.password_confirm.label,,es_ES,"Confirm password","Confirmar contraseña",0,"Confirmar contraseña"
user,field.password.explanation,,es_ES,"Enter the password","Introduzca la contraseña",0,"Introduzca la contraseña"
user,field.password.label,,es_ES,Password,Contraseña,0,Contraseña
user,field.timezone.explanation,,es_ES,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","Identificador de zona horaria IANA (p. ej., Europe/Madrid). Déjelo vacío para UTC.",0,"Identificador de zona horaria IANA (p. ej., Europe/Madrid). Déjelo vacío para UTC."
user,field.timezone.label,,es_ES,Timezone,"Zona horaria",0,"Zona horaria"
user,field.user_id.label,,es_ES,"User ID","ID de usuario",0,"ID de usuario"
user,field.username.explanation,,es_ES,"Enter the desired username","Introduzca el nombre de usuario deseado",0,"Introduzca el nombre de usuario deseado"
user,field.username.label,,es_ES,Username,"Nombre de usuario",0,"Nombre de usuario"
user,form.name,,es_ES,User,Usuario,0,Usuario
user,form.title_create,,es_ES,"New user","Nuevo usuario",0,"Nuevo usuario"
user,form.title_edit,,es_ES,"Edit user","Editar usuario",0,"Editar usuario"
user,list.new,,es_ES,"New user","Nuevo usuario",0,"Nuevo usuario"
user,list.title,,es_ES,Users,Usuarios,0,Usuarios
user,login.button,,es_ES,Login,"Iniciar sesión",0,"Iniciar sesión"
user,login.error_invalid_credentials,,es_ES,"Wrong username or password","Nombre de usuario o contraseña incorrectos",0,"Nombre de usuario o contraseña incorrectos"
user,login.title,,es_ES,Login,"Iniciar sesión",0,"Iniciar sesión"
user,logout.success,,es_ES,"You are logged out","Ha cerrado sesión",0,"Ha cerrado sesión"
user,no_changes,,es_ES,"No changes made","No se realizaron cambios",0,"No se realizaron cambios"
user,role_assignment.added,,es_ES,"Role assigned:<br>{role} -> {target}","Rol asignado:<br>{role} -> {target}",0,"Rol asignado:<br>{role} -> {target}"
