domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,fr-FR,Datasheet,"Fiche de données",0,"Fiche de données"
user,action.edit,,fr-FR,Edit,Modifier,0,Modifier
user,action.roles,,fr-FR,"Custom roles","Rôles personnalisés",0,"Rôles personnalisés"
user,action.usergroups,,fr-FR,"Group memberships","Appartenances aux groupes",0,"Appartenances aux groupes"
user,col.actions,,fr-FR,Actions,Actions,0,Actions
user,col.username,,fr-FR,Username,"Nom d'utilisateur",0,"Nom d'utilisateur"
user,description.action.edit,,fr-FR,"Edit user","Modifier l'utilisateur",0,"Modifier l'utilisateur"
user,description.tab.active,,fr-FR,Active,Actif,0,Actif
user,description.tab.service,,fr-FR,Service,Service,0,Service
user,description.tab.shipping,,fr-FR,"Awaiting shipment","En attente d'expédition",0,"En attente d'expédition"
user,description.title,,fr-FR,User,Utilisateur,0,Utilisateur
user,error_missing_user_id,,fr-FR,"User ID is missing","L'ID utilisateur est manquant",0,"L'ID utilisateur est manquant"
user,error_no_selector_specified,,fr-FR,"No user or user group specified","Aucun utilisateur ou groupe d'utilisateurs spécifié",0,"Aucun utilisateur ou groupe d'utilisateurs spécifié"
user,error_not_found,,fr-FR,"User not found","Utilisateur introuvable",0,"Utilisateur introuvable"
user,error_not_found_with_id,,fr-FR,"User not found: {id}","Utilisateur introuvable : {id}",0,"Utilisateur introuvable : {id}"
user,error_parameter_mismatch,,fr-FR,"Parameter mismatch","Incompatibilité de paramètre",0,"Incompatibilité de paramètre"
user,error_save,,fr-FR,"Error: Unable to save user","Erreur : Impossible d'enregistrer l'utilisateur",0,"Erreur : Impossible d'enregistrer l'utilisateur"
user,field.locale.explanation,,fr-FR,"Interface language for this user","Langue d'interface pour cet utilisateur",0,"Langue d'interface pour cet utilisateur"
user,field.locale.label,,fr-FR,Language,Langue,0,Langue
user,field.password_confirm.explanation,,fr-FR,"Re-enter the password","Ressaisir le mot de passe",0,"Ressaisir le mot de passe"
user,field.password_confirm.label,,fr-FR,"Confirm password","Confirmer le mot de passe",0,"Confirmer le mot de passe"
user,field.password.explanation,,fr-FR,"Enter the password","Saisir le mot de passe",0,"Saisir le mot de passe"
