domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,fr_FR,Datasheet,"Fiche de données",0,"Fiche de données"
user,action.edit,,fr_FR,Edit,Modifier,0,Modifier
user,action.roles,,fr_FR,"Custom roles","Rôles personnalisés",0,"Rôles personnalisés"
user,action.usergroups,,fr_FR,"Group memberships","Appartenances aux groupes",0,"Appartenances aux groupes"
user,col.actions,,fr_FR,Actions,Actions,0,Actions
user,col.username,,fr_FR,Username,"Nom d'utilisateur",0,"Nom d'utilisateur"
user,description.action.edit,,fr_FR,"Edit user","Modifier l'utilisateur",0,"Modifier l'utilisateur"
user,description.tab.active,,fr_FR,Active,Actif,0,Actif
user,description.tab.service,,fr_FR,Service,Service,0,Service
user,description.tab.shipping,,fr_FR,"Awaiting shipment","En attente d'expédition",0,"En attente d'expédition"
user,description.title,,fr_FR,User,Utilisateur,0,Utilisateur
user,error_missing_user_id,,fr_FR,"User ID is missing","L'ID utilisateur est manquant",0,"L'ID utilisateur est manquant"
user,error_no_selector_specified,,fr_FR,"No user or user group specified","Aucun utilisateur ou groupe d'utilisateurs spécifié",0,"Aucun utilisateur ou groupe d'utilisateurs spécifié"
user,error_not_found,,fr_FR,"User not found","Utilisateur introuvable",0,"Utilisateur introuvable"
user,error_not_found_with_id,,fr_FR,"User not found: {id}","Utilisateur introuvable : {id}",0,"Utilisateur introuvable : {id}"
user,error_parameter_mismatch,,fr_FR,"Parameter mismatch","Incompatibilité de paramètre",0,"Incompatibilité de paramètre"
user,error_save,,fr_FR,"Error: Unable to save user","Erreur : Impossible d'enregistrer l'utilisateur",0,"Erreur : Impossible d'enregistrer l'utilisateur"
user,field.locale.explanation,,fr_FR,"Interface language for this user","Langue d'interface pour cet utilisateur",0,"Langue d'interface pour cet utilisateur"
user,field.locale.label,,fr_FR,Language,Langue,0,Langue
user,field.password_confirm.explanation,,fr_FR,"Re-enter the password","Ressaisir le mot de passe",0,"Ressaisir le mot de passe"
user,field.password_confirm.label,,fr_FR,"Confirm password","Confirmer le mot de passe",0,"Confirmer le mot de passe"
user,field.password.explanation,,fr_FR,"Enter the password","Saisir le mot de passe",0,"Saisir le mot de passe"
