domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
user,action.datasheet,,hu-HU,Datasheet,Adatlap,0,0,Adatlap
user,action.edit,,hu-HU,Edit,Szerkeszt,0,0,Szerkeszt
user,action.roles,,hu-HU,"Custom roles","Egyéni szerepek",0,0,"Egyéni szerepek"
user,action.usergroups,,hu-HU,"Group memberships","Csoport tagságok",0,0,"Csoport tagságok"
user,col.actions,,hu-HU,Actions,Műveletek,0,0,Műveletek
user,col.username,,hu-HU,Username,Felhasználónév,0,0,Felhasználónév
user,description.action.edit,,hu-HU,"Edit user","Felhasználó adatainak módosítása",0,0,"Felhasználó adatainak módosítása"
user,description.tab.active,,hu-HU,Active,Aktív,0,0,Aktív
user,description.tab.service,,hu-HU,Service,Szerviz,0,0,Szerviz
user,description.tab.shipping,,hu-HU,"Awaiting shipment","Kiszállításra vár",0,0,"Kiszállításra vár"
user,description.title,,hu-HU,User,Felhasználó,0,0,Felhasználó
user,error_missing_user_id,,hu-HU,"User ID is missing","Hiányzik a felhasználó azonosítója",0,0,"Hiányzik a felhasználó azonosítója"
user,error_no_selector_specified,,hu-HU,"No user or user group specified","Nincs felhasználó vagy felhasználói csoport megadva",0,0,"Nincs felhasználó vagy felhasználói csoport megadva"
user,error_not_found,,hu-HU,"User not found","Nincs ilyen felhasználó",0,0,"Nincs ilyen felhasználó"
user,error_not_found_with_id,,hu-HU,"User not found: {id}","A felhasználó nem található: {id}",0,0,"A felhasználó nem található: {id}"
user,error_parameter_mismatch,,hu-HU,"Parameter mismatch","Paraméter eltérés",0,0,"Paraméter eltérés"
user,error_save,,hu-HU,"Error: Unable to save user","Hiba: Nem sikerült menteni a felhasználót",0,0,"Hiba: Nem sikerült menteni a felhasználót"
user,field.locale.explanation,,hu-HU,"Interface language for this user","A felhasználó felületi nyelve",0,0,"A felhasználó felületi nyelve"
user,field.locale.label,,hu-HU,Language,Nyelv,0,0,Nyelv
user,field.password_confirm.explanation,,hu-HU,"Re-enter the password","Írd be a jelszót még egyszer",0,0,"Írd be a jelszót még egyszer"
user,field.password_confirm.label,,hu-HU,"Confirm password","Jelszó megerősítés",0,0,"Jelszó megerősítés"
user,field.password.explanation,,hu-HU,"Enter the password","Írd be a jelszót",0,0,"Írd be a jelszót"
user,field.password.label,,hu-HU,Password,Jelszó,0,0,Jelszó
user,field.timezone.explanation,,hu-HU,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","IANA időzóna azonosító (például Europe/Budapest). Üresen UTC marad.",0,0,"IANA időzóna azonosító (például Europe/Budapest). Üresen UTC marad."
user,field.timezone.label,,hu-HU,Timezone,Időzóna,0,0,Időzóna
user,field.user_id.label,,hu-HU,"User ID","Felhasználó ID",0,0,"Felhasználó ID"
user,field.username.explanation,,hu-HU,"Enter the desired username","Írd be a kívánt felhasználónevet",0,0,"Írd be a kívánt felhasználónevet"
user,field.username.label,,hu-HU,Username,Felhasználónév,0,0,Felhasználónév
user,form.name,,hu-HU,User,Felhasználó,0,0,Felhasználó
user,form.title_create,,hu-HU,"New user","Új felhasználó",0,0,"Új felhasználó"
user,form.title_edit,,hu-HU,"Edit user","Felhasználó adatainak módosítása",0,0,"Felhasználó adatainak módosítása"
user,list.new,,hu-HU,"New user","Új felhasználó",0,0,"Új felhasználó"
user,list.title,,hu-HU,Users,Felhasználók,0,0,Felhasználók
user,login.button,,hu-HU,Login,Bejelentkezés,0,0,Bejelentkezés
user,login.error_invalid_credentials,,hu-HU,"Wrong username or password","Hibás felhasználónév vagy jelszó",0,0,"Hibás felhasználónév vagy jelszó"
user,login.title,,hu-HU,Login,Bejelentkezés,0,0,Bejelentkezés
user,logout.success,,hu-HU,"You are logged out","Sikeresen kijelentkeztél",0,0,"Sikeresen kijelentkeztél"
user,no_changes,,hu-HU,"No changes made","Nem történt módosítás",0,0,"Nem történt módosítás"
user,role_assignment.added,,hu-HU,"Role assigned:<br>{role} -> {target}","Sikeres szerep hozzárendelés:<br>{role} -> {target}",0,0,"Sikeres szerep hozzárendelés:<br>{role} -> {target}"
user,role_assignment.error_add,,hu-HU,"Error: Unable to assign role:<br>{role} -> {target}","Ismeretlen hiba a hozzárendelésben:<br>{role} -> {target}",0,0,"Ismeretlen hiba a hozzárendelésben:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,hu-HU,"Error: Unable to assign role.","Ismeretlen hiba a hozzárendelésben.",0,0,"Ismeretlen hiba a hozzárendelésben."
user,role_assignment.error_remove,,hu-HU,"Error: Unable to remove role assignment:<br>{role} -> {target}","Ismeretlen hiba a hozzárendelés törlésben:<br>{role} -> {target}",0,0,"Ismeretlen hiba a hozzárendelés törlésben:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,hu-HU,"Error: Unable to remove role assignment.","Ismeretlen hiba a hozzárendelés törlésben.",0,0,"Ismeretlen hiba a hozzárendelés törlésben."
user,role_assignment.removed,,hu-HU,"Role assignment removed:<br>{role} -> {target}","Sikeres szerep hozzárendelés törlés:<br>{role} -> {target}",0,0,"Sikeres szerep hozzárendelés törlés:<br>{role} -> {target}"
user,role_selector.available_roles,,hu-HU,"Available roles","Elérhető szerepkörök",0,0,"Elérhető szerepkörök"
user,role_selector.help,,hu-HU,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","Jelölj be egy szülő szerepkört, hogy az összes gyermek szerepkört is automatikusan megkapja. Az örökölt gyermek szerepkörök zöld kiemelést kapnak.",0,0,"Jelölj be egy szülő szerepkört, hogy az összes gyermek szerepkört is automatikusan megkapja. Az örökölt gyermek szerepkörök zöld kiemelést kapnak."
user,role_selector.title,,hu-HU,"Role assignment","Szerepkör hozzárendelés",0,0,"Szerepkör hozzárendelés"
user,role.all,,hu-HU,"All roles","Összes szerep",0,0,"Összes szerep"
