domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,hu_HU,Datasheet,Adatlap,0,Adatlap
user,action.edit,,hu_HU,Edit,Szerkeszt,0,Szerkeszt
user,action.roles,,hu_HU,"Custom roles","Egyéni szerepek",0,"Egyéni szerepek"
user,action.usergroups,,hu_HU,"Group memberships","Csoport tagságok",0,"Csoport tagságok"
user,col.actions,,hu_HU,Actions,Műveletek,0,Műveletek
user,col.username,,hu_HU,Username,Felhasználónév,0,Felhasználónév
user,description.action.edit,,hu_HU,"Edit user","Felhasználó adatainak módosítása",0,"Felhasználó adatainak módosítása"
user,description.tab.active,,hu_HU,Active,Aktív,0,Aktív
user,description.tab.service,,hu_HU,Service,Szerviz,0,Szerviz
user,description.tab.shipping,,hu_HU,"Awaiting shipment","Kiszállításra vár",0,"Kiszállításra vár"
user,description.title,,hu_HU,User,Felhasználó,0,Felhasználó
user,error_missing_user_id,,hu_HU,"User ID is missing","Hiányzik a felhasználó azonosítója",0,"Hiányzik a felhasználó azonosítója"
user,error_no_selector_specified,,hu_HU,"No user or user group specified","Nincs felhasználó vagy felhasználói csoport megadva",0,"Nincs felhasználó vagy felhasználói csoport megadva"
user,error_not_found,,hu_HU,"User not found","Nincs ilyen felhasználó",0,"Nincs ilyen felhasználó"
user,error_not_found_with_id,,hu_HU,"User not found: {id}","A felhasználó nem található: {id}",0,"A felhasználó nem található: {id}"
user,error_parameter_mismatch,,hu_HU,"Parameter mismatch","Paraméter eltérés",0,"Paraméter eltérés"
user,error_save,,hu_HU,"Error: Unable to save user","Hiba: Nem sikerült menteni a felhasználót",0,"Hiba: Nem sikerült menteni a felhasználót"
user,field.locale.explanation,,hu_HU,"Interface language for this user","A felhasználó felületi nyelve",0,"A felhasználó felületi nyelve"
user,field.locale.label,,hu_HU,Language,Nyelv,0,Nyelv
user,field.password_confirm.explanation,,hu_HU,"Re-enter the password","Írd be a jelszót még egyszer",0,"Írd be a jelszót még egyszer"
user,field.password_confirm.label,,hu_HU,"Confirm password","Jelszó megerősítés",0,"Jelszó megerősítés"
user,field.password.explanation,,hu_HU,"Enter the password","Írd be a jelszót",0,"Írd be a jelszót"
user,field.password.label,,hu_HU,Password,Jelszó,0,Jelszó
user,field.timezone.explanation,,hu_HU,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","IANA időzóna azonosító (például Europe/Budapest). Üresen UTC marad.",0,"IANA időzóna azonosító (például Europe/Budapest). Üresen UTC marad."
user,field.timezone.label,,hu_HU,Timezone,Időzóna,0,Időzóna
user,field.user_id.label,,hu_HU,"User ID","Felhasználó ID",0,"Felhasználó ID"
user,field.username.explanation,,hu_HU,"Enter the desired username","Írd be a kívánt felhasználónevet",0,"Írd be a kívánt felhasználónevet"
user,field.username.label,,hu_HU,Username,Felhasználónév,0,Felhasználónév
user,form.name,,hu_HU,User,Felhasználó,0,Felhasználó
user,form.title_create,,hu_HU,"New user","Új felhasználó",0,"Új felhasználó"
user,form.title_edit,,hu_HU,"Edit user","Felhasználó adatainak módosítása",0,"Felhasználó adatainak módosítása"
user,list.new,,hu_HU,"New user","Új felhasználó",0,"Új felhasználó"
user,list.title,,hu_HU,Users,Felhasználók,0,Felhasználók
user,login.button,,hu_HU,Login,Bejelentkezés,0,Bejelentkezés
user,login.error_invalid_credentials,,hu_HU,"Wrong username or password","Hibás felhasználónév vagy jelszó",0,"Hibás felhasználónév vagy jelszó"
user,login.title,,hu_HU,Login,Bejelentkezés,0,Bejelentkezés
user,logout.success,,hu_HU,"You are logged out","Sikeresen kijelentkeztél",0,"Sikeresen kijelentkeztél"
user,no_changes,,hu_HU,"No changes made","Nem történt módosítás",0,"Nem történt módosítás"
user,role_assignment.added,,hu_HU,"Role assigned:<br>{role} -> {target}","Sikeres szerep hozzárendelés:<br>{role} -> {target}",0,"Sikeres szerep hozzárendelés:<br>{role} -> {target}"
user,role_assignment.error_add,,hu_HU,"Error: Unable to assign role:<br>{role} -> {target}","Ismeretlen hiba a hozzárendelésben:<br>{role} -> {target}",0,"Ismeretlen hiba a hozzárendelésben:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,hu_HU,"Error: Unable to assign role.","Ismeretlen hiba a hozzárendelésben.",0,"Ismeretlen hiba a hozzárendelésben."
user,role_assignment.error_remove,,hu_HU,"Error: Unable to remove role assignment:<br>{role} -> {target}","Ismeretlen hiba a hozzárendelés törlésben:<br>{role} -> {target}",0,"Ismeretlen hiba a hozzárendelés törlésben:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,hu_HU,"Error: Unable to remove role assignment.","Ismeretlen hiba a hozzárendelés törlésben.",0,"Ismeretlen hiba a hozzárendelés törlésben."
user,role_assignment.removed,,hu_HU,"Role assignment removed:<br>{role} -> {target}","Sikeres szerep hozzárendelés törlés:<br>{role} -> {target}",0,"Sikeres szerep hozzárendelés törlés:<br>{role} -> {target}"
user,role_selector.available_roles,,hu_HU,"Available roles","Elérhető szerepkörök",0,"Elérhető szerepkörök"
user,role_selector.help,,hu_HU,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","Jelölj be egy szülő szerepkört, hogy az összes gyermek szerepkört is automatikusan megkapja. Az örökölt gyermek szerepkörök zöld kiemelést kapnak.",0,"Jelölj be egy szülő szerepkört, hogy az összes gyermek szerepkört is automatikusan megkapja. Az örökölt gyermek szerepkörök zöld kiemelést kapnak."
user,role_selector.title,,hu_HU,"Role assignment","Szerepkör hozzárendelés",0,"Szerepkör hozzárendelés"
user,role.all,,hu_HU,"All roles","Összes szerep",0,"Összes szerep"
user,role.delete_confirm,,hu_HU,"Are you sure you want to delete this role and all its children?","Biztosan törölni szeretnéd ezt a szerepet és minden al-szerepét?",0,"Biztosan törölni szeretnéd ezt a szerepet és minden al-szerepét?"
user,role.delete_error,,hu_HU,"Error: Unable to delete role(s)!","Hiba: Nem sikerült törölni a szerep(eke)t!",0,"Hiba: Nem sikerült törölni a szerep(eke)t!"
user,role.delete_failed,,hu_HU,"Delete failed","A törlés sikertelen",0,"A törlés sikertelen"
user,role.deleted,,hu_HU,"Role deleted!<br><i>{title}</i>","Szerep törölve!<br><i>{title}</i>",0,"Szerep törölve!<br><i>{title}</i>"
user,role.deleted_multiple,,hu_HU,"Roles deleted!<br><i>{titles}</i><br><i>({count} total)</i>","Szerepek törölve!<br><i>{titles}</i><br><i>({count} összesen)</i>",0,"Szerepek törölve!<br><i>{titles}</i><br><i>({count} összesen)</i>"
user,role.error_save,,hu_HU,"Error: Unable to save role","Hiba: Nem sikerült menteni a szerepet",0,"Hiba: Nem sikerült menteni a szerepet"
user,role.field.description,,hu_HU,Description,Leírás,0,Leírás
user,role.field.description.explanation,,hu_HU,"Purpose of the role","A szerep céljának leírása",0,"A szerep céljának leírása"
user,role.field.role,,hu_HU,Role,Szerep,0,Szerep
user,role.field.role.explanation,,hu_HU,"System-level name. 32 characters maximum","Rendszeren belüli neve. Maximum 32 karakter.",0,"Rendszeren belüli neve. Maximum 32 karakter."
user,role.field.title,,hu_HU,"Display name",Megnevezés,0,Megnevezés
user,role.field.title.explanation,,hu_HU,"Role display name. 255 characters maximum","A szerep megnevezése. Maximum 255 karakter.",0,"A szerep megnevezése. Maximum 255 karakter."
user,role.help_create,,hu_HU,"Create a hierarchical structure of roles.","Hozd létre a felhasználói szerepek hierarchikus szerkezetét.",0,"Hozd létre a felhasználói szerepek hierarchikus szerkezetét."
user,role.help_move,,hu_HU,"Drag and drop to move roles under a different parent.","Húzással áthelyezheted a szerepeket másik szerep alá.",0,"Húzással áthelyezheted a szerepeket másik szerep alá."
user,role.invalid_type,,hu_HU,"Unknown role type: {type}","Ismeretlen szerep típus: {type}",0,"Ismeretlen szerep típus: {type}"
user,role.move_error,,hu_HU,"Error: Unable to move role!","Hiba történt az áthelyezés közben!",0,"Hiba történt az áthelyezés közben!"
user,role.move_success,,hu_HU,"Role moved!<br><i>({title})</i>","Sikeres áthelyezés!<br><i>({title})</i>",0,"Sikeres áthelyezés!<br><i>({title})</i>"
user,role.new,,hu_HU,"New role","Új szerep",0,"Új szerep"
user,role.new_child,,hu_HU,"New child role","Új al-szerep",0,"Új al-szerep"
user,role.not_found,,hu_HU,"Role not found: {id}","A szerep nem található: {id}",0,"A szerep nem található: {id}"
user,role.saved,,hu_HU,"Role saved","Szerep mentve",0,"Szerep mentve"
user,role.title_create,,hu_HU,"New role","Új szerep",0,"Új szerep"
user,role.title_edit,,hu_HU,"Edit role","Szerep módosítása",0,"Szerep módosítása"
user,role.updated,,hu_HU,"Role updated","Szerep módosítva",0,"Szerep módosítva"
user,role.validation.role_invalid_chars,,hu_HU,"Role name can only contain letters without accents and underscores","A szerep neve csak ékezet nélküli betűket és aláhúzásjelet tartalmazhat",0,"A szerep neve csak ékezet nélküli betűket és aláhúzásjelet tartalmazhat"
user,role.validation.role_max_length,,hu_HU,"Role name must be 32 characters or fewer","A szerep neve maximum 32 karakter lehet",0,"A szerep neve maximum 32 karakter lehet"
user,role.validation.title_max_length,,hu_HU,"Display name must be 255 characters or fewer","A megnevezés maximum 255 karakter lehet",0,"A megnevezés maximum 255 karakter lehet"
user,saved,,hu_HU,"User saved","Felhasználó mentve",0,"Felhasználó mentve"
user,signup.button,,hu_HU,"Sign up",Regisztráció,0,Regisztráció
user,signup.error_password_min_length,,hu_HU,"Password must be at least 6 characters long","A jelszónak legalább 6 karakterből kell állnia",0,"A jelszónak legalább 6 karakterből kell állnia"
user,signup.error_username_required,,hu_HU,"You must specify a username","Meg kell adnod egy felhasználónevet",0,"Meg kell adnod egy felhasználónevet"
user,signup.error_username_taken,,hu_HU,"Username already taken. Please choose another","Ez a felhasználónév már foglalt. Válassz másikat",0,"Ez a felhasználónév már foglalt. Válassz másikat"
user,signup.title,,hu_HU,Register,Regisztráció,0,Regisztráció
user,updated,,hu_HU,"User updated","Felhasználó módosítva",0,"Felhasználó módosítva"
user,usergroup_assignment.added,,hu_HU,"User assigned to group:<br>{group} -> {user}","Sikeres felhasználó hozzárendelés:<br>{group} -> {user}",0,"Sikeres felhasználó hozzárendelés:<br>{group} -> {user}"
user,usergroup_assignment.error_add,,hu_HU,"Error: Unable to assign user to group:<br>{group} -> {user}","Ismeretlen hiba a hozzárendelésben:<br>{group} -> {user}",0,"Ismeretlen hiba a hozzárendelésben:<br>{group} -> {user}"
user,usergroup_assignment.error_add_generic,,hu_HU,"Error: Unable to assign user to group.","Ismeretlen hiba a hozzárendelésben.",0,"Ismeretlen hiba a hozzárendelésben."
user,usergroup_assignment.error_remove,,hu_HU,"Error: Unable to remove user from group:<br>{group} -> {user}","Ismeretlen hiba a hozzárendelés törlésben:<br>{group} -> {user}",0,"Ismeretlen hiba a hozzárendelés törlésben:<br>{group} -> {user}"
user,usergroup_assignment.error_remove_generic,,hu_HU,"Error: Unable to remove user from group.","Ismeretlen hiba a hozzárendelés törlésben.",0,"Ismeretlen hiba a hozzárendelés törlésben."
user,usergroup_assignment.removed,,hu_HU,"User assignment removed:<br>{group} -> {user}","Sikeres felhasználó hozzárendelés törlés:<br>{group} -> {user}",0,"Sikeres felhasználó hozzárendelés törlés:<br>{group} -> {user}"
user,usergroup_selector.available_usergroups,,hu_HU,"Available usergroups","Elérhető felhasználói csoportok",0,"Elérhető felhasználói csoportok"
user,usergroup_selector.help,,hu_HU,"Check usergroups to assign the user to them. Uncheck to remove the user from a usergroup.","Jelöld be a felhasználói csoportokat a hozzárendeléshez. A jelölés megszüntetésével a felhasználó kikerül a csoportból.",0,"Jelöld be a felhasználói csoportokat a hozzárendeléshez. A jelölés megszüntetésével a felhasználó kikerül a csoportból."
user,usergroup_selector.title,,hu_HU,"Usergroup assignment","Felhasználói csoport hozzárendelés",0,"Felhasználói csoport hozzárendelés"
user,usergroup.all,,hu_HU,"User groups","Felhasználói csoportok",0,"Felhasználói csoportok"
user,usergroup.delete_confirm,,hu_HU,"Are you sure you want to delete this user group and all its children?","Biztosan törölni szeretnéd ezt a felhasználói csoportot és minden alcsoportját?",0,"Biztosan törölni szeretnéd ezt a felhasználói csoportot és minden alcsoportját?"
