domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,it_IT,Datasheet,"Scheda dati",0,"Scheda dati"
user,action.edit,,it_IT,Edit,Modifica,0,Modifica
user,action.roles,,it_IT,"Custom roles","Ruoli personalizzati",0,"Ruoli personalizzati"
user,action.usergroups,,it_IT,"Group memberships","Appartenenze ai gruppi",0,"Appartenenze ai gruppi"
user,col.actions,,it_IT,Actions,Azioni,0,Azioni
user,col.username,,it_IT,Username,"Nome utente",0,"Nome utente"
user,description.action.edit,,it_IT,"Edit user","Modifica utente",0,"Modifica utente"
user,description.tab.active,,it_IT,Active,Attivo,0,Attivo
user,description.tab.service,,it_IT,Service,Servizio,0,Servizio
user,description.tab.shipping,,it_IT,"Awaiting shipment","In attesa di spedizione",0,"In attesa di spedizione"
user,description.title,,it_IT,User,Utente,0,Utente
user,error_missing_user_id,,it_IT,"User ID is missing","ID utente mancante",0,"ID utente mancante"
user,error_no_selector_specified,,it_IT,"No user or user group specified","Nessun utente o gruppo utenti specificato",0,"Nessun utente o gruppo utenti specificato"
user,error_not_found,,it_IT,"User not found","Utente non trovato",0,"Utente non trovato"
user,error_not_found_with_id,,it_IT,"User not found: {id}","Utente non trovato: {id}",0,"Utente non trovato: {id}"
user,error_parameter_mismatch,,it_IT,"Parameter mismatch","Parametro non corrispondente",0,"Parametro non corrispondente"
user,error_save,,it_IT,"Error: Unable to save user","Errore: Impossibile salvare l'utente",0,"Errore: Impossibile salvare l'utente"
user,field.locale.explanation,,it_IT,"Interface language for this user","Lingua interfaccia per questo utente",0,"Lingua interfaccia per questo utente"
user,field.locale.label,,it_IT,Language,Lingua,0,Lingua
user,field.password_confirm.explanation,,it_IT,"Re-enter the password","Reinserisci la password",0,"Reinserisci la password"
user,field.password_confirm.label,,it_IT,"Confirm password","Conferma password",0,"Conferma password"
user,field.password.explanation,,it_IT,"Enter the password","Inserisci la password",0,"Inserisci la password"
user,field.password.label,,it_IT,Password,Password,0,Password
user,field.timezone.explanation,,it_IT,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","Identificatore fuso orario IANA (es. Europe/Rome). Lascia vuoto per UTC.",0,"Identificatore fuso orario IANA (es. Europe/Rome). Lascia vuoto per UTC."
user,field.timezone.label,,it_IT,Timezone,"Fuso orario",0,"Fuso orario"
user,field.user_id.label,,it_IT,"User ID","ID utente",0,"ID utente"
user,field.username.explanation,,it_IT,"Enter the desired username","Inserisci il nome utente desiderato",0,"Inserisci il nome utente desiderato"
user,field.username.label,,it_IT,Username,"Nome utente",0,"Nome utente"
user,form.name,,it_IT,User,Utente,0,Utente
user,form.title_create,,it_IT,"New user","Nuovo utente",0,"Nuovo utente"
user,form.title_edit,,it_IT,"Edit user","Modifica utente",0,"Modifica utente"
user,list.new,,it_IT,"New user","Nuovo utente",0,"Nuovo utente"
user,list.title,,it_IT,Users,Utenti,0,Utenti
user,login.button,,it_IT,Login,Accedi,0,Accedi
user,login.error_invalid_credentials,,it_IT,"Wrong username or password","Nome utente o password errati",0,"Nome utente o password errati"
user,login.title,,it_IT,Login,Accedi,0,Accedi
user,logout.success,,it_IT,"You are logged out","Hai effettuato il logout",0,"Hai effettuato il logout"
user,no_changes,,it_IT,"No changes made","Nessuna modifica effettuata",0,"Nessuna modifica effettuata"
user,role_assignment.added,,it_IT,"Role assigned:<br>{role} -> {target}","Ruolo assegnato:<br>{role} -> {target}",0,"Ruolo assegnato:<br>{role} -> {target}"
user,role_assignment.error_add,,it_IT,"Error: Unable to assign role:<br>{role} -> {target}","Errore: Impossibile assegnare il ruolo:<br>{role} -> {target}",0,"Errore: Impossibile assegnare il ruolo:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,it_IT,"Error: Unable to assign role.","Errore: Impossibile assegnare il ruolo.",0,"Errore: Impossibile assegnare il ruolo."
user,role_assignment.error_remove,,it_IT,"Error: Unable to remove role assignment:<br>{role} -> {target}","Errore: Impossibile rimuovere l'assegnazione del ruolo:<br>{role} -> {target}",0,"Errore: Impossibile rimuovere l'assegnazione del ruolo:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,it_IT,"Error: Unable to remove role assignment.","Errore: Impossibile rimuovere l'assegnazione del ruolo.",0,"Errore: Impossibile rimuovere l'assegnazione del ruolo."
user,role_assignment.removed,,it_IT,"Role assignment removed:<br>{role} -> {target}","Assegnazione ruolo rimossa:<br>{role} -> {target}",0,"Assegnazione ruolo rimossa:<br>{role} -> {target}"
user,role_selector.available_roles,,it_IT,"Available roles","Ruoli disponibili",0,"Ruoli disponibili"
user,role_selector.help,,it_IT,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","Seleziona un ruolo padre per concedere automaticamente tutti i ruoli figli. I ruoli figli saranno evidenziati in verde per indicare che sono ereditati.",0,"Seleziona un ruolo padre per concedere automaticamente tutti i ruoli figli. I ruoli figli saranno evidenziati in verde per indicare che sono ereditati."
user,role_selector.title,,it_IT,"Role assignment","Assegnazione ruolo",0,"Assegnazione ruolo"
user,role.all,,it_IT,"All roles","Tutti i ruoli",0,"Tutti i ruoli"
