domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,pl_PL,Datasheet,"Karta danych",0,"Karta danych"
user,action.edit,,pl_PL,Edit,Edytuj,0,Edytuj
user,action.roles,,pl_PL,"Custom roles","Role niestandardowe",0,"Role niestandardowe"
user,action.usergroups,,pl_PL,"Group memberships","Członkostwa w grupach",0,"Członkostwa w grupach"
user,col.actions,,pl_PL,Actions,Akcje,0,Akcje
user,col.username,,pl_PL,Username,"Nazwa użytkownika",0,"Nazwa użytkownika"
user,description.action.edit,,pl_PL,"Edit user","Edytuj użytkownika",0,"Edytuj użytkownika"
user,description.tab.active,,pl_PL,Active,Aktywny,0,Aktywny
user,description.tab.service,,pl_PL,Service,Usługa,0,Usługa
user,description.tab.shipping,,pl_PL,"Awaiting shipment","Oczekuje na wysyłkę",0,"Oczekuje na wysyłkę"
user,description.title,,pl_PL,User,Użytkownik,0,Użytkownik
user,error_missing_user_id,,pl_PL,"User ID is missing","Brakuje ID użytkownika",0,"Brakuje ID użytkownika"
user,error_no_selector_specified,,pl_PL,"No user or user group specified","Nie podano użytkownika ani grupy użytkowników",0,"Nie podano użytkownika ani grupy użytkowników"
user,error_not_found,,pl_PL,"User not found","Nie znaleziono użytkownika",0,"Nie znaleziono użytkownika"
user,error_not_found_with_id,,pl_PL,"User not found: {id}","Nie znaleziono użytkownika: {id}",0,"Nie znaleziono użytkownika: {id}"
user,error_parameter_mismatch,,pl_PL,"Parameter mismatch","Niezgodność parametrów",0,"Niezgodność parametrów"
user,error_save,,pl_PL,"Error: Unable to save user","Błąd: nie udało się zapisać użytkownika",0,"Błąd: nie udało się zapisać użytkownika"
user,field.locale.explanation,,pl_PL,"Interface language for this user","Język interfejsu dla tego użytkownika",0,"Język interfejsu dla tego użytkownika"
user,field.locale.label,,pl_PL,Language,Język,0,Język
user,field.password_confirm.explanation,,pl_PL,"Re-enter the password","Wpisz hasło ponownie",0,"Wpisz hasło ponownie"
user,field.password_confirm.label,,pl_PL,"Confirm password","Potwierdź hasło",0,"Potwierdź hasło"
user,field.password.explanation,,pl_PL,"Enter the password","Wpisz hasło",0,"Wpisz hasło"
user,field.password.label,,pl_PL,Password,Hasło,0,Hasło
user,field.timezone.explanation,,pl_PL,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","Identyfikator strefy czasowej IANA (np. Europe/Budapest). Pozostaw puste dla UTC.",0,"Identyfikator strefy czasowej IANA (np. Europe/Budapest). Pozostaw puste dla UTC."
user,field.timezone.label,,pl_PL,Timezone,"Strefa czasowa",0,"Strefa czasowa"
user,field.user_id.label,,pl_PL,"User ID","ID użytkownika",0,"ID użytkownika"
user,field.username.explanation,,pl_PL,"Enter the desired username","Wpisz żądaną nazwę użytkownika",0,"Wpisz żądaną nazwę użytkownika"
user,field.username.label,,pl_PL,Username,"Nazwa użytkownika",0,"Nazwa użytkownika"
user,form.name,,pl_PL,User,Użytkownik,0,Użytkownik
user,form.title_create,,pl_PL,"New user","Nowy użytkownik",0,"Nowy użytkownik"
user,form.title_edit,,pl_PL,"Edit user","Edytuj użytkownika",0,"Edytuj użytkownika"
user,list.new,,pl_PL,"New user","Nowy użytkownik",0,"Nowy użytkownik"
user,list.title,,pl_PL,Users,Użytkownicy,0,Użytkownicy
user,login.button,,pl_PL,Login,Logowanie,0,Logowanie
user,login.error_invalid_credentials,,pl_PL,"Wrong username or password","Nieprawidłowa nazwa użytkownika lub hasło",0,"Nieprawidłowa nazwa użytkownika lub hasło"
user,login.title,,pl_PL,Login,Logowanie,0,Logowanie
user,logout.success,,pl_PL,"You are logged out","Zostałeś wylogowany",0,"Zostałeś wylogowany"
user,no_changes,,pl_PL,"No changes made","Nie wprowadzono zmian",0,"Nie wprowadzono zmian"
user,role_assignment.added,,pl_PL,"Role assigned:<br>{role} -> {target}","Przypisano rolę:<br>{role} -> {target}",0,"Przypisano rolę:<br>{role} -> {target}"
user,role_assignment.error_add,,pl_PL,"Error: Unable to assign role:<br>{role} -> {target}","Błąd: nie udało się przypisać roli:<br>{role} -> {target}",0,"Błąd: nie udało się przypisać roli:<br>{role} -> {target}"
user,role_assignment.error_add_generic,,pl_PL,"Error: Unable to assign role.","Błąd: nie udało się przypisać roli.",0,"Błąd: nie udało się przypisać roli."
user,role_assignment.error_remove,,pl_PL,"Error: Unable to remove role assignment:<br>{role} -> {target}","Błąd: nie udało się usunąć przypisania roli:<br>{role} -> {target}",0,"Błąd: nie udało się usunąć przypisania roli:<br>{role} -> {target}"
user,role_assignment.error_remove_generic,,pl_PL,"Error: Unable to remove role assignment.","Błąd: nie udało się usunąć przypisania roli.",0,"Błąd: nie udało się usunąć przypisania roli."
user,role_assignment.removed,,pl_PL,"Role assignment removed:<br>{role} -> {target}","Usunięto przypisanie roli:<br>{role} -> {target}",0,"Usunięto przypisanie roli:<br>{role} -> {target}"
user,role_selector.available_roles,,pl_PL,"Available roles","Dostępne role",0,"Dostępne role"
user,role_selector.help,,pl_PL,"Check a parent role to grant all child roles automatically. Child roles will be highlighted in green to show they are inherited.","Zaznacz rolę nadrzędną, aby automatycznie nadać wszystkie role podrzędne. Role podrzędne będą podświetlone na zielono, aby pokazać, że są dziedziczone.",0,"Zaznacz rolę nadrzędną, aby automatycznie nadać wszystkie role podrzędne. Role podrzędne będą podświetlone na zielono, aby pokazać, że są dziedziczone."
user,role_selector.title,,pl_PL,"Role assignment","Przypisanie roli",0,"Przypisanie roli"
user,role.all,,pl_PL,"All roles","Wszystkie role",0,"Wszystkie role"
user,role.delete_confirm,,pl_PL,"Are you sure you want to delete this role and all its children?","Czy na pewno chcesz usunąć tę rolę i wszystkie jej role podrzędne?",0,"Czy na pewno chcesz usunąć tę rolę i wszystkie jej role podrzędne?"
user,role.delete_error,,pl_PL,"Error: Unable to delete role(s)!","Błąd: nie udało się usunąć roli(ról)!",0,"Błąd: nie udało się usunąć roli(ról)!"
user,role.delete_failed,,pl_PL,"Delete failed","Usuwanie nie powiodło się",0,"Usuwanie nie powiodło się"
user,role.deleted,,pl_PL,"Role deleted!<br><i>{title}</i>","Usunięto rolę!<br><i>{title}</i>",0,"Usunięto rolę!<br><i>{title}</i>"
user,role.deleted_multiple,,pl_PL,"Roles deleted!<br><i>{titles}</i><br><i>({count} total)</i>","Usunięto role!<br><i>{titles}</i><br><i>({count} łącznie)</i>",0,"Usunięto role!<br><i>{titles}</i><br><i>({count} łącznie)</i>"
user,role.error_save,,pl_PL,"Error: Unable to save role","Błąd: nie udało się zapisać roli",0,"Błąd: nie udało się zapisać roli"
user,role.field.description,,pl_PL,Description,Opis,0,Opis
user,role.field.description.explanation,,pl_PL,"Purpose of the role","Cel roli",0,"Cel roli"
user,role.field.role,,pl_PL,Role,Rola,0,Rola
user,role.field.role.explanation,,pl_PL,"System-level name. 32 characters maximum","Nazwa na poziomie systemowym. Maksymalnie 32 znaki",0,"Nazwa na poziomie systemowym. Maksymalnie 32 znaki"
user,role.field.title,,pl_PL,"Display name","Nazwa wyświetlana",0,"Nazwa wyświetlana"
user,role.field.title.explanation,,pl_PL,"Role display name. 255 characters maximum","Nazwa wyświetlana roli. Maksymalnie 255 znaków",0,"Nazwa wyświetlana roli. Maksymalnie 255 znaków"
user,role.help_create,,pl_PL,"Create a hierarchical structure of roles.","Utwórz hierarchiczną strukturę ról.",0,"Utwórz hierarchiczną strukturę ról."
user,role.help_move,,pl_PL,"Drag and drop to move roles under a different parent.","Przeciągnij i upuść, aby przenieść role pod innego rodzica.",0,"Przeciągnij i upuść, aby przenieść role pod innego rodzica."
user,role.invalid_type,,pl_PL,"Unknown role type: {type}","Nieznany typ roli: {type}",0,"Nieznany typ roli: {type}"
user,role.move_error,,pl_PL,"Error: Unable to move role!","Błąd: nie udało się przenieść roli!",0,"Błąd: nie udało się przenieść roli!"
user,role.move_success,,pl_PL,"Role moved!<br><i>({title})</i>","Przeniesiono rolę!<br><i>({title})</i>",0,"Przeniesiono rolę!<br><i>({title})</i>"
user,role.new,,pl_PL,"New role","Nowa rola",0,"Nowa rola"
user,role.new_child,,pl_PL,"New child role","Nowa rola podrzędna",0,"Nowa rola podrzędna"
user,role.not_found,,pl_PL,"Role not found: {id}","Nie znaleziono roli: {id}",0,"Nie znaleziono roli: {id}"
user,role.saved,,pl_PL,"Role saved","Zapisano rolę",0,"Zapisano rolę"
user,role.title_create,,pl_PL,"New role","Nowa rola",0,"Nowa rola"
user,role.title_edit,,pl_PL,"Edit role","Edytuj rolę",0,"Edytuj rolę"
user,role.updated,,pl_PL,"Role updated","Zaktualizowano rolę",0,"Zaktualizowano rolę"
user,role.validation.role_invalid_chars,,pl_PL,"Role name can only contain letters without accents and underscores","Nazwa roli może zawierać tylko litery bez znaków diakrytycznych i podkreślenia",0,"Nazwa roli może zawierać tylko litery bez znaków diakrytycznych i podkreślenia"
user,role.validation.role_max_length,,pl_PL,"Role name must be 32 characters or fewer","Nazwa roli może mieć maksymalnie 32 znaki",0,"Nazwa roli może mieć maksymalnie 32 znaki"
user,role.validation.title_max_length,,pl_PL,"Display name must be 255 characters or fewer","Nazwa wyświetlana może mieć maksymalnie 255 znaków",0,"Nazwa wyświetlana może mieć maksymalnie 255 znaków"
user,saved,,pl_PL,"User saved","Zapisano użytkownika",0,"Zapisano użytkownika"
user,signup.button,,pl_PL,"Sign up","Zarejestruj się",0,"Zarejestruj się"
user,signup.error_password_min_length,,pl_PL,"Password must be at least 6 characters long","Hasło musi mieć co najmniej 6 znaków",0,"Hasło musi mieć co najmniej 6 znaków"
user,signup.error_username_required,,pl_PL,"You must specify a username","Musisz podać nazwę użytkownika",0,"Musisz podać nazwę użytkownika"
user,signup.error_username_taken,,pl_PL,"Username already taken. Please choose another","Ta nazwa użytkownika jest już zajęta. Wybierz inną",0,"Ta nazwa użytkownika jest już zajęta. Wybierz inną"
user,signup.title,,pl_PL,Register,Rejestracja,0,Rejestracja
user,updated,,pl_PL,"User updated","Zaktualizowano użytkownika",0,"Zaktualizowano użytkownika"
user,usergroup_assignment.added,,pl_PL,"User assigned to group:<br>{group} -> {user}","Przypisano użytkownika do grupy:<br>{group} -> {user}",0,"Przypisano użytkownika do grupy:<br>{group} -> {user}"
user,usergroup_assignment.error_add,,pl_PL,"Error: Unable to assign user to group:<br>{group} -> {user}","Błąd: nie udało się przypisać użytkownika do grupy:<br>{group} -> {user}",0,"Błąd: nie udało się przypisać użytkownika do grupy:<br>{group} -> {user}"
user,usergroup_assignment.error_add_generic,,pl_PL,"Error: Unable to assign user to group.","Błąd: nie udało się przypisać użytkownika do grupy.",0,"Błąd: nie udało się przypisać użytkownika do grupy."
user,usergroup_assignment.error_remove,,pl_PL,"Error: Unable to remove user from group:<br>{group} -> {user}","Błąd: nie udało się usunąć użytkownika z grupy:<br>{group} -> {user}",0,"Błąd: nie udało się usunąć użytkownika z grupy:<br>{group} -> {user}"
user,usergroup_assignment.error_remove_generic,,pl_PL,"Error: Unable to remove user from group.","Błąd: nie udało się usunąć użytkownika z grupy.",0,"Błąd: nie udało się usunąć użytkownika z grupy."
user,usergroup_assignment.removed,,pl_PL,"User assignment removed:<br>{group} -> {user}","Usunięto przypisanie użytkownika:<br>{group} -> {user}",0,"Usunięto przypisanie użytkownika:<br>{group} -> {user}"
user,usergroup_selector.available_usergroups,,pl_PL,"Available usergroups","Dostępne grupy użytkowników",0,"Dostępne grupy użytkowników"
user,usergroup_selector.help,,pl_PL,"Check usergroups to assign the user to them. Uncheck to remove the user from a usergroup.","Zaznacz grupy użytkowników, aby przypisać do nich użytkownika. Odznacz, aby usunąć użytkownika z grupy.",0,"Zaznacz grupy użytkowników, aby przypisać do nich użytkownika. Odznacz, aby usunąć użytkownika z grupy."
user,usergroup_selector.title,,pl_PL,"Usergroup assignment","Przypisanie do grupy użytkowników",0,"Przypisanie do grupy użytkowników"
user,usergroup.all,,pl_PL,"User groups","Grupy użytkowników",0,"Grupy użytkowników"
user,usergroup.delete_confirm,,pl_PL,"Are you sure you want to delete this user group and all its children?","Czy na pewno chcesz usunąć tę grupę użytkowników i wszystkie jej podgrupy?",0,"Czy na pewno chcesz usunąć tę grupę użytkowników i wszystkie jej podgrupy?"
user,usergroup.delete_error,,pl_PL,"Error: Unable to delete user group(s)!","Błąd: nie udało się usunąć grup(y) użytkowników!",0,"Błąd: nie udało się usunąć grup(y) użytkowników!"
user,usergroup.delete_failed,,pl_PL,"Delete failed","Usuwanie nie powiodło się",0,"Usuwanie nie powiodło się"
user,usergroup.deleted,,pl_PL,"User group deleted!<br><i>{title}</i>","Usunięto grupę użytkowników!<br><i>{title}</i>",0,"Usunięto grupę użytkowników!<br><i>{title}</i>"
user,usergroup.deleted_multiple,,pl_PL,"User groups deleted!<br><i>{titles}</i><br><i>({count} total)</i>","Usunięto grupy użytkowników!<br><i>{titles}</i><br><i>({count} łącznie)</i>",0,"Usunięto grupy użytkowników!<br><i>{titles}</i><br><i>({count} łącznie)</i>"
user,usergroup.error_save,,pl_PL,"Error: Unable to save user group","Błąd: nie udało się zapisać grupy użytkowników",0,"Błąd: nie udało się zapisać grupy użytkowników"
user,usergroup.field.description,,pl_PL,Description,Opis,0,Opis
user,usergroup.field.description.explanation,,pl_PL,"Purpose of the user group","Cel grupy użytkowników",0,"Cel grupy użytkowników"
user,usergroup.field.is_system_group,,pl_PL,"System group","Grupa systemowa",0,"Grupa systemowa"
user,usergroup.field.is_system_group.explanation,,pl_PL,"Examples: Everyone, Registered users","Przykłady: Wszyscy, Zarejestrowani użytkownicy",0,"Przykłady: Wszyscy, Zarejestrowani użytkownicy"
user,usergroup.field.title,,pl_PL,"Display name","Nazwa wyświetlana",0,"Nazwa wyświetlana"
user,usergroup.field.title.explanation,,pl_PL,"User group name. 255 characters maximum","Nazwa grupy użytkowników. Maksymalnie 255 znaków",0,"Nazwa grupy użytkowników. Maksymalnie 255 znaków"
