domain,key,context,locale,source_text,expected_text,human_reviewed,text
user,action.datasheet,,pt_BR,Datasheet,"Ficha de dados",0,"Ficha de dados"
user,action.edit,,pt_BR,Edit,Editar,0,Editar
user,action.roles,,pt_BR,"Custom roles","Papéis personalizados",0,"Papéis personalizados"
user,action.usergroups,,pt_BR,"Group memberships","Associações a grupos",0,"Associações a grupos"
user,col.actions,,pt_BR,Actions,Ações,0,Ações
user,col.username,,pt_BR,Username,"Nome de usuário",0,"Nome de usuário"
user,description.action.edit,,pt_BR,"Edit user","Editar usuário",0,"Editar usuário"
user,description.tab.active,,pt_BR,Active,Ativo,0,Ativo
user,description.tab.service,,pt_BR,Service,Serviço,0,Serviço
user,description.tab.shipping,,pt_BR,"Awaiting shipment","Aguardando envio",0,"Aguardando envio"
user,description.title,,pt_BR,User,Usuário,0,Usuário
user,error_missing_user_id,,pt_BR,"User ID is missing","ID do usuário ausente",0,"ID do usuário ausente"
user,error_no_selector_specified,,pt_BR,"No user or user group specified","Nenhum usuário ou grupo de usuários especificado",0,"Nenhum usuário ou grupo de usuários especificado"
user,error_not_found,,pt_BR,"User not found","Usuário não encontrado",0,"Usuário não encontrado"
user,error_not_found_with_id,,pt_BR,"User not found: {id}","Usuário não encontrado: {id}",0,"Usuário não encontrado: {id}"
user,error_parameter_mismatch,,pt_BR,"Parameter mismatch","Incompatibilidade de parâmetro",0,"Incompatibilidade de parâmetro"
user,error_save,,pt_BR,"Error: Unable to save user","Erro: Não foi possível salvar o usuário",0,"Erro: Não foi possível salvar o usuário"
user,field.locale.explanation,,pt_BR,"Interface language for this user","Idioma da interface para este usuário",0,"Idioma da interface para este usuário"
user,field.locale.label,,pt_BR,Language,Idioma,0,Idioma
user,field.password_confirm.explanation,,pt_BR,"Re-enter the password","Redigite a senha",0,"Redigite a senha"
user,field.password_confirm.label,,pt_BR,"Confirm password","Confirmar senha",0,"Confirmar senha"
user,field.password.explanation,,pt_BR,"Enter the password","Insira a senha",0,"Insira a senha"
user,field.password.label,,pt_BR,Password,Senha,0,Senha
user,field.timezone.explanation,,pt_BR,"IANA timezone identifier (e.g. Europe/Budapest). Leave empty for UTC.","Identificador de fuso horário IANA (ex.: America/Sao_Paulo). Deixe em branco para UTC.",0,"Identificador de fuso horário IANA (ex.: America/Sao_Paulo). Deixe em branco para UTC."
user,field.timezone.label,,pt_BR,Timezone,"Fuso horário",0,"Fuso horário"
